epoch,train_loss,val_loss,val_acc,val_f1_macro,val_f1_weighted,val_balanced_acc,val_recall_0,val_recall_1,val_recall_2
1,0.6173247694969177,0.4630105897136357,0.9565217391304348,0.9581699346405229,0.9563512361466325,0.9583333333333334,1.0,1.0,0.875
2,0.5961036793887615,0.43938427904377814,0.9565217391304348,0.9581699346405229,0.9563512361466325,0.9583333333333334,1.0,1.0,0.875
3,0.5584707409143448,0.4221445464569589,0.9565217391304348,0.9581699346405229,0.9563512361466325,0.9583333333333334,1.0,1.0,0.875
4,0.5204498656094074,0.4036808130533799,0.9565217391304348,0.9581699346405229,0.9563512361466325,0.9583333333333334,1.0,1.0,0.875
5,0.4821943901479244,0.38689188076102216,0.9565217391304348,0.9581699346405229,0.9563512361466325,0.9583333333333334,1.0,1.0,0.875
6,0.45610980316996574,0.3729047062604324,0.9565217391304348,0.9581699346405229,0.9563512361466325,0.9583333333333334,1.0,1.0,0.875
7,0.42310281470417976,0.36292594800824707,0.9565217391304348,0.9581699346405229,0.9563512361466325,0.9583333333333334,1.0,1.0,0.875
8,0.3948247730731964,0.35098388402358344,0.9565217391304348,0.9581699346405229,0.9563512361466325,0.9583333333333334,1.0,1.0,0.875
9,0.3899522740393877,0.3421214818954468,0.9565217391304348,0.9581699346405229,0.9563512361466325,0.9583333333333334,1.0,1.0,0.875
10,0.37098145857453346,0.3340832578099292,0.9565217391304348,0.9581699346405229,0.9563512361466325,0.9583333333333334,1.0,1.0,0.875
11,0.3546081408858299,0.32274805722029315,0.9565217391304348,0.9581699346405229,0.9563512361466325,0.9583333333333334,1.0,1.0,0.875
12,0.33610524609684944,0.31393948974816693,0.9565217391304348,0.9581699346405229,0.9563512361466325,0.9583333333333334,1.0,1.0,0.875
13,0.3218245916068554,0.3053593493026236,0.9565217391304348,0.9581699346405229,0.9563512361466325,0.9583333333333334,1.0,1.0,0.875
14,0.31991870515048504,0.30037255779556604,0.9565217391304348,0.9581699346405229,0.9563512361466325,0.9583333333333334,1.0,1.0,0.875
15,0.2767900377511978,0.30086886494056037,0.9565217391304348,0.9581699346405229,0.9563512361466325,0.9583333333333334,1.0,1.0,0.875
