exp_id,seed,reserved_per_class,hidden_dims,dropout,bin_lr,head_lr,ft_lr,weight_decay,scaler_strategy,use_transfer,transfer_mode,phase1_freeze,phase2_finetune,use_class_weights,multiclass_weights,save_model_pt,test_loss,test_acc,test_balanced_acc,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_0,test_recall_1,test_recall_2,test_precision_0,test_precision_1,test_precision_2,bin_val_loss,bin_val_acc,bin_val_f1,bin_val_balanced_acc
E10_lr_bin_0p0001_head_0p0001_ft_5e-05,42,72,"(128, 64)",0.3,0.0001,0.0001,5e-05,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6625033204372113,0.7846153846153846,0.787878787878788,0.7757437070938215,0.7736314029220207,0.7799999999999999,1.0,0.5454545454545454,0.8181818181818182,0.84,0.75,0.75,0.17059193541472023,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0001_head_0p0001_ft_0p0001,42,72,"(128, 64)",0.3,0.0001,0.0001,0.0001,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6192367159403287,0.8153846153846154,0.8181818181818182,0.8077803203661328,0.8061608871677521,0.8147222222222221,1.0,0.5909090909090909,0.8636363636363636,0.84,0.8125,0.7916666666666666,0.17059193541472023,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0001_head_0p0001_ft_0p0003,42,72,"(128, 64)",0.3,0.0001,0.0001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5117073806432577,0.8615384615384616,0.8636363636363636,0.8573764399851357,0.8562078723951635,0.863562091503268,1.0,0.6818181818181818,0.9090909090909091,0.875,0.8823529411764706,0.8333333333333334,0.17059193541472023,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0001_head_0p0001_ft_0p0005,42,72,"(128, 64)",0.3,0.0001,0.0001,0.0005,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.4767624680812542,0.8615384615384616,0.8636363636363636,0.8573764399851357,0.8562078723951635,0.863562091503268,1.0,0.6818181818181818,0.9090909090909091,0.875,0.8823529411764706,0.8333333333333334,0.17059193541472023,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0001_head_0p0003_ft_5e-05,42,72,"(128, 64)",0.3,0.0001,0.0003,5e-05,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6234987506499657,0.8153846153846154,0.818181818181818,0.8122843340234644,0.810734193342889,0.8133333333333334,1.0,0.6818181818181818,0.7727272727272727,0.84,0.75,0.85,0.17059193541472023,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0001_head_0p0003_ft_0p0001,42,72,"(128, 64)",0.3,0.0001,0.0003,0.0001,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6257481033985431,0.8,0.8030303030303031,0.7970685672478565,0.7952843378476563,0.798796992481203,1.0,0.6818181818181818,0.7272727272727273,0.84,0.7142857142857143,0.8421052631578947,0.17059193541472023,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0001_head_0p0003_ft_0p0003,42,72,"(128, 64)",0.3,0.0001,0.0003,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6062368869781494,0.8153846153846154,0.8181818181818182,0.8134387351778655,0.8119063545150501,0.8187205387205387,1.0,0.7272727272727273,0.7272727272727273,0.84,0.7272727272727273,0.8888888888888888,0.17059193541472023,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0001_head_0p0003_ft_0p0005,42,72,"(128, 64)",0.3,0.0001,0.0003,0.0005,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.47078900245519784,0.8615384615384616,0.8636363636363636,0.8573764399851357,0.8562078723951635,0.863562091503268,1.0,0.6818181818181818,0.9090909090909091,0.875,0.8823529411764706,0.8333333333333334,0.17059193541472023,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0001_head_0p0005_ft_5e-05,42,72,"(128, 64)",0.3,0.0001,0.0005,5e-05,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6022719841737013,0.8307692307692308,0.8333333333333334,0.829014396456257,0.8274094897350712,0.828968253968254,1.0,0.7272727272727273,0.7727272727272727,0.875,0.7619047619047619,0.85,0.17059193541472023,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0001_head_0p0005_ft_0p0001,42,72,"(128, 64)",0.3,0.0001,0.0005,0.0001,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5982954832223746,0.8307692307692308,0.8333333333333334,0.829014396456257,0.8274094897350712,0.828968253968254,1.0,0.7272727272727273,0.7727272727272727,0.875,0.7619047619047619,0.85,0.17059193541472023,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0001_head_0p0005_ft_0p0003,42,72,"(128, 64)",0.3,0.0001,0.0005,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5842358648777009,0.8461538461538461,0.8484848484848485,0.8440303657694962,0.8429686255773211,0.8466666666666667,1.0,0.7272727272727273,0.8181818181818182,0.84,0.8,0.9,0.17059193541472023,0.9324324324324325,0.9358974358974359,0.9356919108162889
