exp_id,seed,reserved_per_class,hidden_dims,dropout,bin_lr,head_lr,ft_lr,weight_decay,scaler_strategy,use_transfer,transfer_mode,phase1_freeze,phase2_finetune,use_class_weights,multiclass_weights,save_model_pt,test_loss,test_acc,test_balanced_acc,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_0,test_recall_1,test_recall_2,test_precision_0,test_precision_1,test_precision_2,bin_val_loss,bin_val_acc,bin_val_f1,bin_val_balanced_acc
E6_reserved_20,42,20,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.7587702406777276,0.8333333333333334,0.8333333333333334,0.8372183372183373,0.8372183372183373,0.8492063492063492,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7142857142857143,1.0,0.09834711784882659,0.9704142011834319,0.9726775956284153,0.9697802197802198
E6_reserved_25,42,25,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5350875141827957,0.8260869565217391,0.8273809523809524,0.8322021116138764,0.8282510328546134,0.8425925925925926,0.8571428571428571,0.75,0.875,1.0,0.75,0.7777777777777778,0.1793156845305494,0.9341317365269461,0.9364161849710982,0.9370129870129871
E6_reserved_30,42,30,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6246715276329605,0.8518518518518519,0.8518518518518517,0.8546296296296297,0.8546296296296296,0.872053872053872,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7272727272727273,1.0,0.2050772887513493,0.9212121212121213,0.9257142857142857,0.9221614429331757
E6_reserved_35,42,35,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5541678965091705,0.75,0.7545454545454545,0.7557894736842105,0.7498026315789474,0.7698412698412698,0.9,0.5454545454545454,0.8181818181818182,1.0,0.6666666666666666,0.6428571428571429,0.22495345981574497,0.9141104294478528,0.9176470588235294,0.9165151515151515
E6_reserved_40,42,40,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5348461733924018,0.8611111111111112,0.861111111111111,0.8597584541062803,0.8597584541062803,0.8603341103341103,0.9166666666666666,0.75,0.9166666666666666,0.9166666666666666,0.8181818181818182,0.8461538461538461,0.21197983381188018,0.9130434782608695,0.9156626506024096,0.916511338925132
E6_reserved_45,42,45,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5730329461214019,0.8048780487804879,0.8076923076923078,0.8085470085470085,0.8057535959974985,0.8146367521367521,0.9230769230769231,0.7857142857142857,0.7142857142857143,0.9230769230769231,0.6875,0.8333333333333334,0.21007573360916953,0.9182389937106918,0.9212121212121213,0.9213125199107997
E6_reserved_50,42,50,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5401799261569977,0.8222222222222222,0.8222222222222223,0.8200396825396825,0.8200396825396825,0.8224233283056813,0.9333333333333333,0.6666666666666666,0.8666666666666667,0.9333333333333333,0.7692307692307693,0.7647058823529411,0.28159539145269213,0.9044585987261147,0.9056603773584906,0.909640522875817
E6_reserved_55,42,55,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5251636219024658,0.84,0.8419117647058824,0.8438030560271647,0.8413242784380305,0.8571428571428572,0.9375,0.8823529411764706,0.7058823529411765,1.0,0.7142857142857143,0.8571428571428571,0.18203526663203393,0.9290322580645162,0.9308176100628931,0.9334339369550637
E6_reserved_60,42,60,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.46746378474765354,0.7407407407407407,0.7407407407407406,0.743859649122807,0.743859649122807,0.7490196078431373,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.9411764705882353,0.6,0.7058823529411765,0.2204403338673847,0.9150326797385621,0.9192546583850931,0.9172117039586919
E6_reserved_65,42,65,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5607069427684203,0.847457627118644,0.8482456140350877,0.8505739521651394,0.8494155628981263,0.8574879227053139,0.8947368421052632,0.85,0.8,0.9444444444444444,0.7391304347826086,0.8888888888888888,0.16349434221027703,0.9403973509933775,0.9426751592356688,0.9439731353835278
E6_reserved_72,42,72,"(128, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.505094831264936,0.8615384615384616,0.8636363636363636,0.8590840711238256,0.8582539263986402,0.8622890559732664,1.0,0.7272727272727273,0.8636363636363636,0.84,0.8421052631578947,0.9047619047619048,0.17515719883345268,0.9324324324324325,0.9358974358974359,0.9356919108162889
