exp_id,seed,fold,reserved_per_class,hidden_dims,dropout,bin_lr,head_lr,ft_lr,weight_decay,scaler_strategy,use_transfer,transfer_mode,phase1_freeze,phase2_finetune,use_class_weights,multiclass_weights,selection_score,val_loss_final,val_acc_final,val_balanced_acc_final,val_f1_macro_final,val_f1_weighted_final,val_precision_macro_final,val_recall_0_final,val_recall_1_final,val_recall_2_final,val_precision_0_final,val_precision_1_final,val_precision_2_final,test_loss,test_acc,test_balanced_acc,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_0,test_recall_1,test_recall_2,test_precision_0,test_precision_1,test_precision_2,bin_val_loss,bin_val_acc,bin_val_f1,bin_val_balanced_acc,n_splits_cv
E8r_arch_192_64,7,1,72,"(192, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.7734126984126984,0.8117655378121597,0.7692307692307693,0.7731481481481483,0.7734126984126984,0.7672619047619047,0.7936507936507936,0.8888888888888888,0.5555555555555556,0.875,0.6666666666666666,0.7142857142857143,1.0,0.48554985089735553,0.7954545454545454,0.7936507936507938,0.7946360153256705,0.7970219435736677,0.7968253968253968,0.8666666666666667,0.7142857142857143,0.8,0.8666666666666667,0.6666666666666666,0.8571428571428571,0.2995749430076496,0.8851351351351351,0.89171974522293,0.8873226460291137,5
E8r_arch_192_64,7,2,72,"(192, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.9211816305469557,0.39387046603056103,0.9230769230769231,0.9259259259259259,0.9211816305469557,0.9204125982376756,0.9296296296296296,1.0,0.7777777777777778,1.0,0.8888888888888888,1.0,0.9,0.2869969724222671,0.8837209302325582,0.8825396825396826,0.8815666240953597,0.8827705010543823,0.882051282051282,0.9333333333333333,0.7857142857142857,0.9285714285714286,0.9333333333333333,0.8461538461538461,0.8666666666666667,0.2995749430076496,0.8851351351351351,0.89171974522293,0.8873226460291137,5
E8r_arch_192_64,7,3,72,"(192, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.9212962962962963,0.29404252079816967,0.9230769230769231,0.9212962962962963,0.9212962962962963,0.9230769230769231,0.9212962962962963,0.8888888888888888,0.875,1.0,0.8888888888888888,0.875,1.0,0.3267015419727148,0.9302325581395349,0.9317460317460317,0.9302134646962233,0.9294306335204491,0.9301587301587301,1.0,0.8666666666666667,0.9285714285714286,0.9333333333333333,0.9285714285714286,0.9285714285714286,0.2995749430076496,0.8851351351351351,0.89171974522293,0.8873226460291137,5
E8r_arch_192_64,7,4,72,"(192, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8860939112487101,0.3052821285449542,0.8846153846153846,0.8888888888888888,0.8860939112487101,0.8877857823291259,0.9090909090909092,0.8888888888888888,1.0,0.7777777777777778,1.0,0.7272727272727273,1.0,0.8038244600905928,0.8372093023255814,0.8396825396825397,0.8380587484035761,0.8362113516884968,0.8404304029304029,0.9285714285714286,0.7333333333333333,0.8571428571428571,0.8125,0.7857142857142857,0.9230769230769231,0.2995749430076496,0.8851351351351351,0.89171974522293,0.8873226460291137,5
E8r_arch_192_64,7,5,72,"(192, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",1.0,0.03266161164412132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8424451822458312,0.813953488372093,0.8142857142857144,0.8177655677655679,0.8186813186813187,0.8354700854700855,0.7857142857142857,0.8571428571428571,0.8,0.9166666666666666,0.6666666666666666,0.9230769230769231,0.2995749430076496,0.8851351351351351,0.89171974522293,0.8873226460291137,5
E8r_arch_192_64,21,1,72,"(192, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8117905056759546,0.4831935671659616,0.8076923076923077,0.8101851851851851,0.8117905056759546,0.8093593712788759,0.8166666666666668,0.7777777777777778,0.7777777777777778,0.875,0.875,0.7,0.875,0.3336032412268899,0.7954545454545454,0.7952380952380954,0.7995221027479092,0.8015640273704789,0.815686274509804,0.8,0.7857142857142857,0.8,1.0,0.6470588235294118,0.8,0.23244526297659487,0.9121621621621622,0.9182389937106918,0.9133038511147964,5
E8r_arch_192_64,21,2,72,"(192, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.8141923436041084,0.31999112092531645,0.8076923076923077,0.8055555555555555,0.8141923436041084,0.8125404007756949,0.8472222222222222,0.75,0.8888888888888888,0.7777777777777778,1.0,0.6666666666666666,0.875,0.4367283527241197,0.8604651162790697,0.8571428571428571,0.8564560439560439,0.858340787119857,0.8615779645191409,1.0,0.7857142857142857,0.7857142857142857,0.8823529411764706,0.7857142857142857,0.9166666666666666,0.23244526297659487,0.9121621621621622,0.9182389937106918,0.9133038511147964,5
E8r_arch_192_64,21,3,72,"(192, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.767672858617131,0.4307346985890315,0.7692307692307693,0.7638888888888888,0.767672858617131,0.7731602762562514,0.775,0.8888888888888888,0.625,0.7777777777777778,1.0,0.625,0.7,0.5196727098420609,0.9069767441860465,0.9063492063492063,0.9088827838827839,0.9080948121645795,0.9173669467787114,0.9285714285714286,0.9333333333333333,0.8571428571428571,0.9285714285714286,0.8235294117647058,1.0,0.23244526297659487,0.9121621621621622,0.9182389937106918,0.9133038511147964,5
E8r_arch_192_64,21,4,72,"(192, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.960233918128655,0.323281181546358,0.9615384615384616,0.9583333333333334,0.960233918128655,0.9612685560053982,0.9666666666666667,1.0,0.875,1.0,1.0,1.0,0.9,0.6946589440800423,0.7906976744186046,0.7904761904761904,0.7939560439560439,0.7929338103756709,0.8027544351073762,0.7857142857142857,0.8,0.7857142857142857,0.9166666666666666,0.7058823529411765,0.7857142857142857,0.23244526297659487,0.9121621621621622,0.9182389937106918,0.9133038511147964,5
E8r_arch_192_64,21,5,72,"(192, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",0.754251012145749,0.5033465623855591,0.7692307692307693,0.7592592592592592,0.754251012145749,0.7595920274057926,0.7787878787878788,1.0,0.7777777777777778,0.5,0.9,0.6363636363636364,0.8,0.3202969764554223,0.9069767441860465,0.9079365079365079,0.9079365079365079,0.9069767441860465,0.9079365079365079,1.0,0.8571428571428571,0.8666666666666667,1.0,0.8571428571428571,0.8666666666666667,0.23244526297659487,0.9121621621621622,0.9182389937106918,0.9133038511147964,5
