seed,fold,class,feature,mean_abs_shap
7,1,0,NP3RIGRU_min,0.10547725118881654
7,1,0,NP3RTCON_std,0.1005582982186713
7,1,0,NP3GAIT_mean,0.09938215844364638
7,1,0,NP3BRADY_min,0.09733104986633155
7,1,0,NP2TRMR_mean,0.09661344832322226
7,1,0,NP3HMOVR_mean,0.09648722654153731
7,1,0,NP3BRADY_mean,0.09640768488263758
7,1,0,NP3HMOVL_min,0.09521211874391783
7,1,0,NP3RIGRU_mean,0.09495896962859297
7,1,0,NP3HMOVL_mean,0.09193552698973023
7,1,0,NP3BRADY_max,0.09146052895662261
7,1,0,NP3RTCON_max,0.08995416867347959
7,1,0,NP3FACXP_mean,0.08954780060653883
7,1,0,NP3RTARU_max,0.08858147510407142
7,1,0,NP3PRSPL_mean,0.08781411402184666
7,1,0,NP2TRMR_max,0.08762682076472138
7,1,0,NP3RTCON_mean,0.08101497362548157
7,1,0,ENRLGBA,0.07885224001629501
7,1,0,NP3HMOVR_min,0.07860778987309534
7,1,0,NP3PRSPR_max,0.07806747236448518
7,1,0,NP3RIGRU_max,0.07684484938655184
7,1,0,NP3PSTBL_min,0.07385579524920743
7,1,0,NP2TRMR_min,0.07265299850344081
7,1,0,NP3PRSPR_min,0.0715165954104318
7,1,0,NP3RTARU_mean,0.07109007210087244
7,1,0,NP3RTARU_std,0.07105446238499638
7,1,0,NP3RIGLU_mean,0.06906274625244407
7,1,0,NP3RIGN_std,0.06900814484355727
7,1,0,NP3PRSPR_mean,0.06773187705660512
7,1,0,NP3FACXP_min,0.06762319181084099
7,1,0,NP3RIGLL_std,0.06647204331016025
7,1,0,NP2SPCH_max,0.0664392987268523
7,1,0,NP3PRSPL_min,0.06552483393088972
7,1,0,NP3FTAPL_mean,0.06536042771200165
7,1,0,NP3PRSPR_std,0.06425211701956685
7,1,0,NP3BRADY_std,0.0629849009134196
7,1,0,NP3RTALU_max,0.06290255075548193
7,1,0,NP3RTCON_min,0.06269400617781479
7,1,0,NP3RIGLU_max,0.06213084993800488
7,1,0,NP3RIGLU_std,0.0617639245086105
7,1,0,NP3RIGLU_min,0.061179729643039034
7,1,0,NP3PRSPL_max,0.06107726354656835
7,1,0,NP3FTAPR_mean,0.06100151555100058
7,1,0,NP3SPCH_min,0.05992239209884532
7,1,0,NP3RTALU_mean,0.05991723949527251
7,1,0,NP2TRMR_std,0.055397297636711064
7,1,0,NP2SPCH_mean,0.055319878636310583
7,1,0,NP3RTALU_std,0.055233615809306726
7,1,0,NP2SPCH_std,0.054834312570415045
7,1,0,NP2DRES_mean,0.0547584909429754
7,1,0,NP3HMOVR_max,0.05456016335566723
7,1,0,NP2HYGN_std,0.05445273493897262
7,1,0,NP3RTARU_var,0.05381414067723003
7,1,0,NP3FTAPR_min,0.052053975158669046
7,1,0,NP3PSTBL_max,0.05176594280123723
7,1,0,NP3GAIT_max,0.05175013529515158
7,1,0,NP3RIGRL_max,0.05144551323931472
7,1,0,NP3RTARU_min,0.050974751350516614
7,1,0,NP2HOBB_std,0.050697136716519965
7,1,0,NP3RIGRL_mean,0.050497896585774665
7,1,0,NP3RIGRL_std,0.05042182282214009
7,1,0,NP1LTHD_mean,0.05041718401280659
7,1,0,NP3PSTBL_mean,0.04968174529229172
7,1,0,NP3FTAPL_min,0.04950778509951928
7,1,0,NP2TRMR_var,0.04909504925020348
7,1,0,NP3PSTBL_std,0.048248753463654565
7,1,0,NP3POSTR_max,0.04821271084149275
7,1,0,NP3RTALU_min,0.04765609079973125
7,1,0,NP3KTRMR_std,0.04756807804940137
7,1,0,NP2HYGN_max,0.046793140792735284
7,1,0,NP3TTAPR_max,0.046550661128255226
7,1,0,NP3PRSPL_std,0.04645543000649488
7,1,0,NP3RIGRU_std,0.04483898350660889
7,1,0,NP3FACXP_max,0.0443194012878559
7,1,0,NP3GAIT_min,0.044258686118652614
7,1,0,NP1PAIN_var,0.043922338358233885
7,1,0,NP3RIGN_mean,0.04372906970215794
7,1,0,NP1HALL_max,0.04359117375584873
7,1,0,NP3LGAGR_max,0.04323373123000021
7,1,0,NP2HWRT_mean,0.04288897263209452
7,1,0,NP3BRADY_var,0.04273411094359276
7,1,0,NP3TTAPR_mean,0.0424131653909245
7,1,0,NP3RIGRU_var,0.041858128009280265
7,1,0,NP3LGAGL_min,0.04172388717371982
7,1,0,NP2HWRT_std,0.041541213287389404
7,1,0,NP3FACXP_std,0.04107732978484121
7,1,0,NP3HMOVL_max,0.04060403266007148
7,1,0,NP3FTAPR_max,0.04059976681318147
7,1,0,NP3FTAPL_max,0.03978639186756817
7,1,0,AGE_AT_VISIT,0.03950630794374017
7,1,0,NP2WALK_max,0.039504382091352916
7,1,0,NP3LGAGR_mean,0.0394933914107451
7,1,0,NP3RIGLL_max,0.038558348505360676
7,1,0,NP3RTALL_max,0.038041886278695515
7,1,0,NP2WALK_mean,0.03803714250067341
7,1,0,NP1DPRS_var,0.037860193364099175
7,1,0,NP1LTHD_min,0.037394066729155066
7,1,0,NP2EAT_max,0.03736394409641621
7,1,0,NP2SALV_max,0.0370637915104668
7,1,0,NP1DPRS_max,0.03698970714939586
7,1,0,NP2HOBB_max,0.03687091873754844
7,1,0,NP1CNST_min,0.03675959967186188
7,1,0,NP1SLPD_mean,0.03643114101509677
7,1,0,NP3RIGLL_mean,0.03624763049763188
7,1,0,NP3SPCH_std,0.036166519483167285
7,1,0,NP2TURN_min,0.035794547730329536
7,1,0,NP2SPCH_var,0.03577571465082575
7,1,0,NP3PRSPR_var,0.03521524787443215
7,1,0,NP3RIGN_max,0.03517164432119151
7,1,0,EDUCYRS,0.035127217033375645
7,1,0,NP2DRES_std,0.03473499170422778
7,1,0,NP2HWRT_min,0.03441862353490482
7,1,0,NP3TTAPR_min,0.03438234891094587
7,1,0,NP3FRZGT_mean,0.03434660309440374
7,1,0,NP1SLPD_std,0.03425231025872219
7,1,0,NP3PTRMR_mean,0.03418567714728411
7,1,0,NP3RIGRL_var,0.03321195931861491
7,1,0,NP1APAT_max,0.03302705595377723
7,1,0,NP3RIGN_var,0.03285934198159091
7,1,0,NP2SPCH_min,0.032653514630030196
7,1,0,NP3PTRMR_std,0.032375409271543136
7,1,0,NP3RTALU_var,0.03186897416140598
7,1,0,NP1PAIN_std,0.03135673816512087
7,1,0,NP3RIGLU_var,0.031006432638503976
7,1,0,NP3RTALL_var,0.03095445001591044
7,1,0,NP2TURN_std,0.030524272092446528
7,1,0,NP3RTCON_var,0.03037473186487153
7,1,0,NP2DRES_max,0.030308659692883575
7,1,0,NP3KTRMR_var,0.030049932392975934
7,1,0,NP3RTARL_mean,0.02992478786879257
7,1,0,NP1SLPN_var,0.029879687775358522
7,1,0,NP2TURN_var,0.029837257226564277
7,1,0,NP3RIGLL_var,0.029666268139866704
7,1,0,NP1FATG_mean,0.029046953672061136
7,1,0,NP3TTAPR_std,0.02902586913453572
7,1,0,NP3PTRML_var,0.028496319630903568
7,1,0,NP1DPRS_std,0.028468115311707197
7,1,0,NP1SLPD_max,0.028426730525582315
7,1,0,NP2DRES_min,0.027957897936543283
7,1,0,NP3FACXP_var,0.027929444336053755
7,1,0,NP3PRSPL_var,0.02759731398815973
7,1,0,NP3SPCH_max,0.027319602758102635
7,1,0,NP3SPCH_mean,0.027154227845423314
7,1,0,NP2HYGN_mean,0.02616040545620277
7,1,0,NP1HALL_std,0.026104295994188988
7,1,0,NP3LGAGL_mean,0.02522820178254811
7,1,0,NP3HMOVR_std,0.025203217999933056
7,1,0,NP3RTALL_mean,0.024740912512756695
7,1,0,NP3RISNG_std,0.023718926423177092
7,1,0,NP3RISNG_mean,0.023672962020810727
7,1,0,NP3GAIT_std,0.02306104744441898
7,1,0,NP2RISE_min,0.022737639970673632
7,1,0,NP1SLPD_min,0.02262584634461232
7,1,0,NP1CNST_mean,0.022576727963650095
7,1,0,NP1HALL_var,0.022442896656919845
7,1,0,NP3PTRMR_min,0.02239192259414601
7,1,0,NP2SALV_mean,0.02224410993460436
7,1,0,NP1HALL_mean,0.022146167339098563
7,1,0,NP3PSTBL_var,0.022006066919320943
7,1,0,NP2HOBB_mean,0.02194931781853089
7,1,0,NP1FATG_std,0.02186659634804379
7,1,0,NP1APAT_var,0.02162626508007692
7,1,0,NP3RIGN_min,0.021617829276873272
7,1,0,NP3LGAGL_std,0.021460821109811613
7,1,0,NP3POSTR_min,0.021451998248392643
7,1,0,NP1COG_var,0.02143437924113538
7,1,0,NP1URIN_min,0.021331482715405893
7,1,0,NP3RTALL_std,0.02120969229718978
7,1,0,NP3POSTR_std,0.02098920447269416
7,1,0,NP1SLPN_max,0.020979094129480028
7,1,0,NP3RISNG_min,0.02054016490231145
7,1,0,NP2SALV_var,0.02016384272502583
7,1,0,NP3TTAPR_var,0.020137432740970393
7,1,0,NP1DPRS_mean,0.01963484606369328
7,1,0,NP3TTAPL_max,0.019610646643854795
7,1,0,NP3RISNG_var,0.01937840119281549
7,1,0,NP1LTHD_std,0.019326207491517918
7,1,0,NP1PAIN_max,0.01919890994474209
7,1,0,NP2HWRT_max,0.01919449920177417
7,1,0,NP2WALK_min,0.01912635345781155
7,1,0,NP2SWAL_max,0.019121914410527865
7,1,0,NP1DDS_max,0.01911429617696815
7,1,0,NP1FATG_var,0.01906901349892537
7,1,0,NP2SWAL_var,0.01902509603196577
7,1,0,NP3LGAGR_var,0.01881497923101588
7,1,0,NP3RIGLL_min,0.018524452671278183
7,1,0,NP3GAIT_var,0.018033708905680238
7,1,0,NP2HOBB_var,0.018006823390402778
7,1,0,NP3TTAPL_mean,0.017704499627912377
7,1,0,NP3KTRMR_max,0.017551368293672886
7,1,0,NP1PAIN_mean,0.017480026029880514
7,1,0,NP1SLPN_mean,0.01747577637218067
7,1,0,NP1DDS_mean,0.0172304345542318
7,1,0,NP1SLPN_min,0.01701437921997007
7,1,0,NP1CNST_var,0.016941762596056807
7,1,0,NP2SALV_std,0.01651158433890496
7,1,0,NP3LGAGR_std,0.016492281531482897
7,1,0,NP3POSTR_var,0.016315598623735116
7,1,0,NP1URIN_std,0.01627110966007776
7,1,0,NP3RIGRL_min,0.016200933568209272
