feature,mean_abs_shap_mean,mean_abs_shap_std,n_evaluations
NP3BRADY_mean,0.08250431163703871,0.025046938306628064,25
NP3BRADY_min,0.07092731203195252,0.022052307074149638,25
NP3BRADY_max,0.0684402665966802,0.019351098513040725,25
NP3RTCON_max,0.061488963305294506,0.01843697018245038,25
NP3PSTBL_min,0.05983275827072324,0.04559150589517921,25
NP3PRSPL_mean,0.059080981714457866,0.014011793776927827,25
NP3RTCON_std,0.0582723256508199,0.018309732052167536,25
ENRLGBA,0.05774529952434812,0.0316013571304654,25
NP3RIGLU_mean,0.05421913645577238,0.01342322507961368,25
NP3RTCON_mean,0.05367779628289294,0.01302239633383993,25
NP3FACXP_mean,0.05309021276849065,0.013417924406324186,25
NP2TRMR_mean,0.05179596544653859,0.012919241647532954,25
NP3PRSPL_min,0.05160240491943017,0.01975996138043726,25
NP3PRSPR_mean,0.05112846885711398,0.014732637971345268,25
NP3FACXP_min,0.05110737620697356,0.014037552782051857,25
AGE_AT_VISIT,0.05060792436506266,0.029749562652868083,25
NP3RIGRU_mean,0.05001440165324032,0.014660587749931972,25
NP3PRSPR_max,0.04894728888717603,0.01936306424711358,25
NP3PRSPL_max,0.048646952235621585,0.013937573166726332,25
NP3FACXP_max,0.04804170459092633,0.014986706980136136,25
NP3RIGRU_min,0.04717859030803442,0.01453930535930596,25
NP3RIGLU_min,0.04696177473016254,0.011704694575015974,25
NP3GAIT_mean,0.046748631607080864,0.015688184242768955,25
NP3PRSPR_std,0.046582016732555326,0.020249958306004852,25
NP2TRMR_max,0.04632591541418351,0.013933128854184884,25
NP3HMOVL_mean,0.046086197350260844,0.01570458639780812,25
NP3HMOVL_min,0.04564409240059731,0.014032945221394576,25
NP2SPCH_mean,0.04431676035598138,0.027092910581467174,25
NP3RTARU_max,0.04371204816578648,0.013580539271823571,25
NP2SPCH_max,0.042584114573967435,0.022304077199692532,25
NP3PSTBL_mean,0.042475221480772714,0.014327263898768062,25
NP3HMOVR_min,0.04225322804731233,0.0199468768270096,25
NP3RIGRU_max,0.041935496003366414,0.013790805955588738,25
NP3RIGLU_max,0.04160992761780766,0.010699399704374682,25
NP3RTCON_min,0.04077030814040319,0.01389829532849578,25
NP3RTARU_std,0.04051673111159673,0.012926298039937027,25
NP3HMOVR_mean,0.04035280259968113,0.018578398655036014,25
NP3BRADY_std,0.04018178726583274,0.01247698438686885,25
NP3LGAGR_mean,0.04011244606219242,0.014743385991131187,25
NP3RTALU_mean,0.04004597120758166,0.008119900161984809,25
NP3FTAPL_min,0.04001022919266421,0.010775153816659114,25
NP3FTAPR_min,0.03942801853634996,0.015263056821804457,25
NP3RIGLL_mean,0.038973694732089906,0.010551350015464618,25
NP2TRMR_std,0.03870555280742869,0.014887707951027895,25
NP3RTARU_mean,0.037978226729450996,0.01316844398173576,25
NP3GAIT_min,0.03770832606438832,0.01427931556516295,25
NP3LGAGL_mean,0.03745160906929276,0.012524200781025853,25
NP3RIGRL_max,0.03724598456990612,0.01035595430112677,25
NP3GAIT_max,0.0371374211747689,0.015203704970143197,25
NP3RIGLL_max,0.036546519711621345,0.009213231810196855,25
NP3PSTBL_max,0.03632360790350321,0.015888807738993416,25
NP2TURN_min,0.03609833334716158,0.018499216244756485,25
NP3RTALU_max,0.035972777188067684,0.00787860408431911,25
NP2HOBB_min,0.035950886728274206,0.015278797004561799,25
NP3FTAPR_mean,0.03552970901172032,0.01196353131835747,25
NP3RISNG_mean,0.03534451711157273,0.011452942213082053,25
NP2WALK_mean,0.03497953511307364,0.01371314502071539,25
NP3PRSPL_std,0.034814088019784084,0.014909721553605629,25
NP3LGAGL_min,0.034450204315397415,0.008885289640538961,25
NP2SPCH_min,0.03443283946877443,0.02099675940591626,25
NP2DRES_mean,0.034352268082358604,0.00993175186201169,25
NP3TTAPR_max,0.03421928071103835,0.01250429902349583,25
NP2TRMR_min,0.03411524929520143,0.01043407632247233,25
NP3TTAPL_max,0.034092338457532706,0.011421179197164497,25
NP3RTALU_min,0.03389882441038944,0.012478816172135119,25
NP1SLPD_mean,0.033805490083635543,0.015354147571732868,25
NP3FTAPL_mean,0.03354118883190941,0.009041737902805652,25
NP3RIGLL_std,0.033489005431841225,0.014286917384250204,25
NP2WALK_min,0.03347599784194838,0.01382685090254452,25
NP3LGAGL_max,0.03335867910648294,0.010079597385562964,25
NP3RIGN_std,0.03329006521226166,0.011151857199717116,25
NP3RIGRL_mean,0.03326662549461825,0.014705000554530827,25
NP1SLPD_min,0.03325843211606888,0.013470668957537969,25
NP3RIGN_mean,0.03309182933396457,0.012115009374367573,25
NP3LGAGR_max,0.032998509310429386,0.01205304200632768,25
NP3PRSPR_min,0.032843224213087864,0.01046423768558632,25
NP2HYGN_std,0.03201068466061405,0.0068674781249497404,25
NP3TTAPL_mean,0.03185143568723479,0.010051036742341368,25
NP3FTAPL_max,0.03174995000094403,0.009227951853583802,25
NP3RISNG_min,0.0317128141787044,0.01702366503591673,25
NP3RIGRL_std,0.031069319945164126,0.007355311690121911,25
NP3RIGN_max,0.030974036482058872,0.010760750510432503,25
NP2HYGN_max,0.030825638107890994,0.007348024282973687,25
NP2TRMR_var,0.03062619205303962,0.011006790553540553,25
NP3BRADY_var,0.030101367840076918,0.01189446739006715,25
NP1LTHD_mean,0.02973943591082778,0.010145741321435886,25
NP2WALK_max,0.02903747108737829,0.01781432486374942,25
NP3PRSPR_var,0.028859772579290996,0.014561671405969947,25
NP3TTAPR_mean,0.028857874509353617,0.010219997720103253,25
NP3PSTBL_std,0.028653987123924075,0.013283962746301153,25
NP3RTCON_var,0.028597341260532008,0.011061179271744465,25
NP3SPCH_min,0.02827755486058229,0.010530211617183927,25
NP3HMOVR_max,0.02824099943885458,0.011426964864267562,25
NP3PTRMR_mean,0.02816529084767231,0.011027105757738449,25
NP3RISNG_max,0.028134125976841107,0.010145207296572789,25
NP3HMOVL_max,0.027734242602906647,0.009465194921869079,25
NP3RTARU_var,0.027501499458121033,0.010384570295370321,25
NP3RIGRU_std,0.027206260495624836,0.011139834613597384,25
NP2DRES_std,0.026887160952036023,0.011555875313463526,25
NP2HOBB_std,0.02684850788764897,0.01882733777486825,25
NP3FACXP_std,0.02667858800807545,0.01082946814167394,25
NP3RIGRL_min,0.02656975310685377,0.013928890179802913,25
NP2DRES_min,0.02644033871611553,0.010272973143029123,25
NP2DRES_max,0.026431967970126084,0.009127016021835112,25
NP1FATG_mean,0.026409406374615085,0.016129404046082357,25
NP3TTAPR_std,0.02630415944145799,0.012481362080051336,25
NP3TTAPR_min,0.026279714555985444,0.010050469597845698,25
NP3PTRMR_std,0.02622992177850255,0.010336338678318895,25
NP2SPCH_std,0.02618667838476119,0.02141054528880267,25
NP3PTRML_max,0.026112712822219466,0.009348878111943322,25
NP3FTAPR_max,0.025887159565918375,0.009632357552348736,25
NP3RTARU_min,0.025374348283010266,0.008802713071549409,25
NP3PTRML_var,0.025293939089864582,0.012771299277001553,25
NP3LGAGR_min,0.025158765391834762,0.010943308635581694,25
NP1SLPN_mean,0.025084918512699422,0.01568662387426441,25
NP1LTHD_min,0.025028511319003886,0.015352045481361213,25
NP3LGAGR_std,0.02496338034175211,0.013059755114715604,25
NP1DPRS_var,0.024956026048875982,0.013467538995708912,25
NP1SLPD_max,0.024892019598390346,0.01082164676244263,25
NP3RTALU_std,0.024774661062721668,0.011272440388948996,25
NP3RIGLU_std,0.024714333179567324,0.009769591911090293,25
NP3SPCH_max,0.024610077463378927,0.010039424477100352,25
NP1SLPN_min,0.024400021380265514,0.016621794453808382,25
NP1FATG_std,0.024396314281417343,0.009581313350463286,25
NP3PRSPL_var,0.024372344971198966,0.010380999818286852,25
NP3RISNG_std,0.024117316623012152,0.008035906320322734,25
NP3RIGLL_min,0.024081784919781614,0.0071856714765321334,25
NP2TURN_mean,0.023846191309799435,0.013204795124032137,25
NP3PTRML_mean,0.02329872339673647,0.013022946823976856,25
NP2HOBB_mean,0.023283133900432237,0.012066873314566384,25
NP3SPCH_mean,0.023048555483158862,0.007280340350059996,25
NP2HOBB_max,0.022982423817452777,0.01696088598177829,25
NP3POSTR_max,0.02286466036353085,0.021338086884422645,25
NP3PTRML_std,0.022557968071923867,0.009807798999512011,25
NP3PTRMR_max,0.02206482772460071,0.011463044784522494,25
NP3LGAGL_std,0.022000873959905097,0.011069842667136051,25
NP2HYGN_mean,0.021768434121643372,0.0048707029556896925,25
NP1FATG_max,0.021633911591541346,0.014778867308945133,25
NP1CNST_min,0.02159901557546031,0.0074135177746797514,25
NP3KTRMR_std,0.02146442127747673,0.01677444841790244,25
NP3FRZGT_std,0.021384089480797747,0.01514814428732394,25
NP3RIGRL_var,0.020781930703148405,0.006779446611481174,25
NP3RIGRU_var,0.020678000069511003,0.009752501468122036,25
NP2HWRT_mean,0.020555985598589115,0.008426255737306038,25
NP3RISNG_var,0.020420969557101043,0.005561086100521063,25
NP3TTAPL_min,0.02033713741914859,0.008229098778351212,25
NP3RIGN_var,0.020320984931861286,0.007802784865134714,25
NP2EAT_max,0.020050276757991755,0.007792532509404274,25
NP3POSTR_mean,0.01982846792550394,0.009537374571536633,25
NP3RIGLL_var,0.01981884856944161,0.009052095167190938,25
NP2FREZ_mean,0.01976488276969081,0.008852037846565797,25
NP3TTAPL_std,0.01975767939132412,0.011940804513356218,25
NP2SALV_var,0.019696271626319078,0.014377056307699943,25
NP3LGAGR_var,0.01967624013128352,0.00988248580360153,25
NP1CNST_var,0.01950508302340667,0.0097770335023859,25
NP2EAT_std,0.01925613581420642,0.010928795201455331,25
NP1SLPN_max,0.019248746488282686,0.008660868551723062,25
NP2HWRT_min,0.019178955941467523,0.009077835804595567,25
NP2HWRT_max,0.019120667115161624,0.009074110710597686,25
NP3SPCH_std,0.01901844196213146,0.013318266777321803,25
NP2HYGN_var,0.018837067478919316,0.006098649377438163,25
NP1DPRS_max,0.018468884055467972,0.007275375471279546,25
NP2DRES_var,0.018450387029770265,0.01178931923776689,25
NP3RIGN_min,0.01844293150962399,0.013440822160444859,25
NP3GAIT_std,0.01840973427388275,0.006968396343177292,25
SEX,0.01840853554921311,0.01360519309388711,25
NP1URIN_max,0.018223463795597444,0.008544070461300034,25
NP2HWRT_std,0.01821841817048344,0.00849958443243121,25
NP3PTRMR_var,0.01802844112663208,0.009361086924982328,25
NP3FRZGT_max,0.017846163837674553,0.014296585454755758,25
NP3HMOVL_std,0.017813924849722825,0.00678323759390604,25
NP3HMOVR_std,0.017732153451896424,0.00998717848034129,25
NP3FRZGT_mean,0.01770097590578966,0.013222980805688057,25
NP2RISE_min,0.01764933067536902,0.006133919178354928,25
NP3LGAGL_var,0.017469248827751294,0.010611043280546234,25
NP2TURN_max,0.017465471915512704,0.011452763365142607,25
NP1FATG_var,0.017380921725847796,0.008988330512836554,25
NP1COG_std,0.017231168389549564,0.012742518785559279,25
NP3TTAPL_var,0.017121583114784632,0.01060125181488648,25
NP2RISE_mean,0.017082016147177893,0.012205194661891709,25
NP3PSTBL_var,0.017073815890384182,0.007628965350060893,25
NP1LTHD_max,0.01703236682282795,0.008196109369208011,25
NP2TURN_std,0.01693238146987589,0.014710567999507363,25
NP1SLPD_std,0.016852609451779976,0.014517876008670928,25
NP1PAIN_max,0.016756929976710855,0.007353036825831069,25
NP2RISE_max,0.016669371860385796,0.015914857383052212,25
NP2FREZ_var,0.01650556165533928,0.011008485556821329,25
NP1COG_max,0.016338070592883926,0.008528658654065515,25
NP3RTALL_max,0.01630886928007424,0.008397387116049015,25
NP3GAIT_var,0.01630547333586726,0.00832457491277725,25
NP3POSTR_min,0.01628566061070712,0.006892339383641277,25
NP3RTALU_var,0.0161783025952378,0.006190213093110302,25
NP2FREZ_std,0.01617415810961694,0.007619456336817411,25
NP1APAT_max,0.01612646145031162,0.008831932476412627,25
NP3RTARL_max,0.0161167517879624,0.005581285462244434,25
NP2SPCH_var,0.016112945960738312,0.018388787485509997,25
NP3RTARL_mean,0.01610487227735028,0.0075635884535006,25
NP3RTARL_std,0.015980692646232423,0.00666258734462049,25
NP1COG_var,0.015833832817523482,0.0064359074324864774,25
NP1DPRS_std,0.015769907956081262,0.007500688361346103,25
NP2FREZ_max,0.01575035257181306,0.0059026992868030015,25
NP2SALV_mean,0.015682901354816786,0.009621904876814413,25
NP3FACXP_var,0.015653859930337313,0.005813441680874672,25
NP2SALV_std,0.015619192238802058,0.009796129026245624,25
NP2SALV_min,0.015542442218252777,0.006049748182149646,25
NP3TTAPR_var,0.015414501918388678,0.008664980369805326,25
NP3RTALL_mean,0.015278130108496196,0.007440085391273234,25
NP3POSTR_std,0.015226331735490315,0.01430919578457738,25
NP1URIN_min,0.015210597788858858,0.007414989535846339,25
NP1CNST_mean,0.014907519104255086,0.008051071350865191,25
ENRLLRRK2,0.014835867083324121,0.00881995496909177,25
NP3RTALL_std,0.014747091808650314,0.00734712083780273,25
NP2WALK_std,0.014623502772830048,0.009988506920246738,25
NP3RIGLU_var,0.014538727231705859,0.009517523676705998,25
NP1CNST_std,0.014390994574307621,0.00804964863320712,25
NP3RTALJ_mean,0.014167820860032675,0.008536395279244718,25
NP2FREZ_min,0.014137884047569795,0.006944457638593418,25
NP3FTAPL_std,0.014123325399719602,0.006301779123875055,25
NP3KTRML_mean,0.014086065960877116,0.010320784178308073,25
NP1APAT_std,0.014054420626884757,0.009537090310139764,25
NP1ANXS_std,0.014018603179142069,0.00714426359629841,25
NP3FRZGT_var,0.013910456279489143,0.009602438552151305,25
NP1PAIN_std,0.013825295204933414,0.007312861456737595,25
NP1LTHD_std,0.013782312648700428,0.006951090353779544,25
NP1FATG_min,0.013759169016300319,0.006076445400234571,25
NP2SWAL_mean,0.013591596267236545,0.007429820130668536,25
NP3HMOVR_var,0.013282432961015165,0.008680831166996207,25
NP1URIN_mean,0.01328180609307001,0.005561380364789392,25
NP1SLPN_std,0.013271049515526332,0.008785909414603202,25
NP3POSTR_var,0.01323785469449612,0.015277189314355065,25
NP2HYGN_min,0.013228854201763375,0.008036142655715296,25
NP3FTAPR_std,0.013175198894179592,0.007296133032991092,25
NP1URIN_std,0.013141642877650466,0.008235475999472617,25
NP1SLPD_var,0.013137325562679237,0.008090886000317297,25
NP1PAIN_var,0.013124639212074699,0.006561025040100901,25
NP1LTHD_var,0.013095797357646995,0.007566708321313826,25
NP2SALV_max,0.013081142977081427,0.00692617788078948,25
NP3KTRMR_max,0.012978547966951255,0.00814227825313265,25
NP1DPRS_mean,0.01287031434747528,0.005129279578554126,25
NP2RISE_std,0.01286642527441664,0.012145752862033624,25
NP1PAIN_mean,0.01281856133758442,0.005873703126361566,25
NP3RTARL_var,0.012586213812591887,0.005783092220219276,25
NP1HALL_max,0.012574303481786762,0.0071413197442005754,25
NP3KTRML_std,0.01248790834938469,0.007304098364465493,25
EDUCYRS,0.01248273178642185,0.0059059911571055935,25
NP2WALK_var,0.012369181602857498,0.012021395943370943,25
NP2EAT_var,0.012202019648947788,0.00784666992715411,25
NP1SLPN_var,0.012137570497471892,0.007018425764409028,25
NP3SPCH_var,0.01209376549769401,0.007915487815582685,25
NP1APAT_var,0.012074535668898085,0.0073688560641614045,25
NP3KTRML_max,0.012039822035028675,0.008173070355108081,25
NP3FTAPL_var,0.012019262635219607,0.007128575132857587,25
NP1URIN_var,0.012011628099604654,0.006113298748938971,25
NP1COG_mean,0.01199910929209858,0.004334362524767589,25
NP1PAIN_min,0.01196653034775975,0.004495392358006407,25
NP1APAT_mean,0.011940396112684439,0.008585701167913254,25
NP3KTRML_var,0.011936715802573487,0.00993231947175988,25
NP3PTRML_min,0.011936010541063594,0.004387204930943373,25
NP3HMOVL_var,0.011810064401725925,0.00605821389316976,25
NP1DPRS_min,0.011799108207654861,0.0050377005195790595,25
NP1HALL_mean,0.011674320297626519,0.007216879140454583,25
NP2EAT_min,0.011401076260813114,0.005680275097881785,25
NP3FTAPR_var,0.011361282711179367,0.006734067368759689,25
NP2RISE_var,0.011334903786113097,0.011772315404214678,25
NP3RTALJ_std,0.011301157014398416,0.006285557035604173,25
NP3KTRMR_min,0.011115262443209723,0.00889777491543926,25
NP2TURN_var,0.011110028789823957,0.010485714716243068,25
NP3KTRMR_mean,0.011026608069496197,0.006742682063656514,25
NP1CNST_max,0.010977235200199506,0.0045500928918995945,25
NP3KTRMR_var,0.01097403187455889,0.008269065405580983,25
NP3RTALL_var,0.010969187839599928,0.006803254914203773,25
NP3RTALJ_max,0.010880988467854888,0.006393092513554073,25
NP3KTRML_min,0.010762641751531465,0.006156965690447087,25
NP1APAT_min,0.010602216199434739,0.0063580910059703455,25
NP2HOBB_var,0.010439691296967974,0.005357439326159972,25
NP2EAT_mean,0.010368277039474539,0.00426691822011555,25
NP1COG_min,0.010149143056594296,0.007365950851823175,25
NP3RTALJ_var,0.010035267708955685,0.005978481189852825,25
NP1ANXS_var,0.009948965850901914,0.006500803072157304,25
NP1ANXS_min,0.009758337013395416,0.0059142120175228385,25
NP1HALL_std,0.009532373807862008,0.005217540573160457,25
NP2SWAL_max,0.00933308718708085,0.0031225405088168246,25
NP1ANXS_max,0.009282374086738047,0.004498407637838081,25
NP2HWRT_var,0.009280119248431801,0.004860697608444545,25
NP1ANXS_mean,0.009275928445464496,0.0044442664766394255,25
NP1DDS_mean,0.009113505881828883,0.005988429815911069,25
NP1HALL_var,0.009035646284343151,0.004974080981504839,25
NP3PTRMR_min,0.008773730817040512,0.005223805609576716,25
NP1DDS_var,0.008713218502432308,0.005103912370370465,25
NP2SWAL_std,0.008705578682506081,0.004062404559778358,25
NP1DDS_std,0.008191360671948405,0.004018166843236137,25
NP2SWAL_min,0.007927425013975462,0.006946826043040787,25
NP1HALL_min,0.007346730460304133,0.004418778861947485,25
NP2SWAL_var,0.006954070435445759,0.0047497581776119475,25
NP1DDS_max,0.00695154639039884,0.0035393816118715112,25
NP3FRZGT_min,0.006454355303160083,0.008877191355877672,25
RAWHITE,0.0063935616867646875,0.00433092176206267,25
NP3RTARL_min,0.005162798563596405,0.0030807688186973415,25
NP3RTALL_min,0.004295116430234553,0.0043879233580170676,25
NP3RTALJ_min,0.003156310356032598,0.003142675472326871,25
NP1DDS_min,0.0,0.0,25
