epoch,train_loss,val_loss,val_acc,val_f1_macro,val_f1_weighted,val_balanced_acc,val_recall_0,val_recall_1,val_recall_2
1,1.6029300391674042,1.188865303993225,0.13043478260869565,0.10526315789473684,0.10983981693363844,0.125,0.0,0.375,0.0
2,1.1799101382493973,0.853866369827934,0.6086956521739131,0.4945652173913044,0.5160680529300568,0.5833333333333334,0.875,0.875,0.0
3,1.0147257149219513,0.768929748431496,0.6521739130434783,0.5258467023172906,0.5487096024180423,0.625,1.0,0.875,0.0
4,0.9498376771807671,0.7826413667720297,0.7391304347826086,0.6926728586171311,0.690752456589043,0.75,1.0,0.25,1.0
5,0.8989421986043453,0.7712980819785077,0.7391304347826086,0.6926728586171311,0.690752456589043,0.75,1.0,0.25,1.0
6,0.817838117480278,0.7426645159721375,0.6521739130434783,0.6342383107088989,0.6417469998032658,0.6428571428571429,1.0,0.5,0.42857142857142855
7,0.8715314865112305,0.7286266840022543,0.6956521739130435,0.6575851393188854,0.6687844932023153,0.6785714285714285,1.0,0.75,0.2857142857142857
8,0.9345345422625542,0.7377608029738717,0.7391304347826086,0.7264239028944911,0.7290220436000486,0.7380952380952381,1.0,0.5,0.7142857142857143
9,0.8762949854135513,0.6980871998745463,0.6086956521739131,0.5042016806722689,0.526123492875411,0.5833333333333334,1.0,0.75,0.0
10,0.7888097614049911,0.6886541532433551,0.6521739130434783,0.5258467023172906,0.5487096024180423,0.625,1.0,0.875,0.0
11,0.7857670038938522,0.6947082514348237,0.6086956521739131,0.5042016806722689,0.526123492875411,0.5833333333333334,1.0,0.75,0.0
12,0.841621994972229,0.7126791606778684,0.7391304347826086,0.7271870286576169,0.7320480031477474,0.7321428571428571,1.0,0.625,0.5714285714285714
13,0.7630562856793404,0.7019131157709204,0.6956521739130435,0.6575851393188854,0.6687844932023153,0.6785714285714285,1.0,0.75,0.2857142857142857
14,0.7112176828086376,0.7061617633570796,0.7391304347826086,0.7271870286576169,0.7320480031477474,0.7321428571428571,1.0,0.625,0.5714285714285714
15,0.7541793398559093,0.6940116467683212,0.6956521739130435,0.6575851393188854,0.6687844932023153,0.6785714285714285,1.0,0.75,0.2857142857142857
16,0.6587279811501503,0.7022315315578295,0.7391304347826086,0.7271870286576169,0.7320480031477474,0.7321428571428571,1.0,0.625,0.5714285714285714
17,0.7603491023182869,0.7275333741436834,0.7391304347826086,0.6926728586171311,0.690752456589043,0.75,1.0,0.25,1.0
18,0.7272774055600166,0.7315805839455646,0.7391304347826086,0.6926728586171311,0.690752456589043,0.75,1.0,0.25,1.0
19,0.7590731158852577,0.6865307559137759,0.782608695652174,0.7712418300653594,0.7757885763000852,0.7738095238095237,1.0,0.75,0.5714285714285714
20,0.7295925468206406,0.6792035180589427,0.6956521739130435,0.6575851393188854,0.6687844932023153,0.6785714285714285,1.0,0.75,0.2857142857142857
21,0.7831699177622795,0.7108863255252009,0.6956521739130435,0.6571598336304217,0.6567464930636285,0.7023809523809524,1.0,0.25,0.8571428571428571
22,0.7619775682687759,0.725506595943285,0.7391304347826086,0.6926728586171311,0.690752456589043,0.75,1.0,0.25,1.0
23,0.6907661929726601,0.7553348904070647,0.7391304347826086,0.6926728586171311,0.690752456589043,0.75,1.0,0.25,1.0
24,0.7308164164423943,0.7413294289423071,0.7391304347826086,0.6926728586171311,0.690752456589043,0.75,1.0,0.25,1.0
25,0.7121370881795883,0.7328576601069906,0.7391304347826086,0.6926728586171311,0.690752456589043,0.75,1.0,0.25,1.0
26,0.6461774632334709,0.6968904915063278,0.6521739130434783,0.6209150326797386,0.6223358908780903,0.6547619047619048,1.0,0.25,0.7142857142857143
27,0.679204523563385,0.676227559214053,0.782608695652174,0.7712418300653594,0.7757885763000852,0.7738095238095237,1.0,0.75,0.5714285714285714
28,0.6992825865745544,0.6776440169500269,0.7391304347826086,0.7271870286576169,0.7320480031477474,0.7321428571428571,1.0,0.625,0.5714285714285714
29,0.7118353843688965,0.6938681472902712,0.6521739130434783,0.6209150326797386,0.6223358908780903,0.6547619047619048,1.0,0.25,0.7142857142857143
30,0.7077145725488663,0.6945808063382688,0.6956521739130435,0.6571598336304217,0.6567464930636285,0.7023809523809524,1.0,0.25,0.8571428571428571
31,0.6715278141200542,0.7128997237786002,0.6956521739130435,0.6571598336304217,0.6567464930636285,0.7023809523809524,1.0,0.25,0.8571428571428571
32,0.7007028572261333,0.764407577721969,0.7391304347826086,0.6926728586171311,0.690752456589043,0.75,1.0,0.25,1.0
33,0.6578737944364548,0.7244500621505405,0.6956521739130435,0.6571598336304217,0.6567464930636285,0.7023809523809524,1.0,0.25,0.8571428571428571
34,0.6121282279491425,0.7016401912855066,0.6956521739130435,0.6571598336304217,0.6567464930636285,0.7023809523809524,1.0,0.25,0.8571428571428571
35,0.6963297128677368,0.677097183206807,0.6956521739130435,0.6759049773755655,0.6781182372614597,0.6964285714285715,1.0,0.375,0.7142857142857143
36,0.7237264849245548,0.7130040163579194,0.6956521739130435,0.6571598336304217,0.6567464930636285,0.7023809523809524,1.0,0.25,0.8571428571428571
37,0.6575486846268177,0.6907971527265466,0.6956521739130435,0.6571598336304217,0.6567464930636285,0.7023809523809524,1.0,0.25,0.8571428571428571
