epoch,train_loss,val_loss,val_acc,val_f1_macro,val_f1_weighted,val_balanced_acc,val_recall_0,val_recall_1,val_recall_2
1,1.0656595536640712,0.6231098175048828,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
2,0.9738462064947401,0.611388087272644,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
3,1.0946317102227892,0.6036049723625183,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
4,0.6074232322829111,0.5826141834259033,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
5,0.7049238749912807,0.5665253400802612,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
6,0.615898950610842,0.5591228008270264,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
7,0.6581927333559309,0.542570948600769,0.5714285714285714,0.5238095238095238,0.4489795918367347,0.6666666666666666,1.0,1.0,0.0
8,0.6416060924530029,0.5118291974067688,0.7142857142857143,0.7222222222222222,0.6904761904761905,0.7777777777777778,1.0,1.0,0.3333333333333333
9,0.5104018296514239,0.4742532968521118,0.8571428571428571,0.8666666666666667,0.8571428571428571,0.8888888888888888,1.0,1.0,0.6666666666666666
10,0.6204215168952942,0.44580158591270447,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.5191578056131091,0.423385888338089,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.42324225732258386,0.4049930274486542,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.4127228549548558,0.38756999373435974,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.4743717133998871,0.373073011636734,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.5148436341966901,0.35965004563331604,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.5488859925951276,0.3476216197013855,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.4493917861155101,0.3344252407550812,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.5052874122347151,0.3236941695213318,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.36003908089229036,0.31382420659065247,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.2992527008056641,0.3028935492038727,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,0.4070544379098075,0.2915523052215576,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,0.3517583906650543,0.2819978892803192,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,0.29775968406881603,0.2724038362503052,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0.23008896623338973,0.26399242877960205,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,0.26385481357574464,0.2539641261100769,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,0.2538463639361518,0.24490101635456085,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,0.17505934706756046,0.23545199632644653,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,0.2417395966393607,0.2261866331100464,1.0,1.0,1.0,1.0,1.0,1.0,1.0
