model,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,f1_cv_mean,f1_cv_std,recall_cv_mean,recall_cv_std,precision_cv_mean,precision_cv_std,misclassification_cost_mean_cv_mean,misclassification_cost_mean_cv_std,misclassification_cost_total_cv_mean,misclassification_cost_total_cv_std,misclassification_score_cv_mean,misclassification_score_cv_std,misclassification_cost_mean_true_class_0_cv_mean,misclassification_cost_mean_true_class_0_cv_std,misclassification_cost_mean_true_class_1_cv_mean,misclassification_cost_mean_true_class_1_cv_std,auc_cv_mean,auc_cv_std,precision_class_0_cv_mean,precision_class_0_cv_std,recall_class_0_cv_mean,recall_class_0_cv_std,f1_class_0_cv_mean,f1_class_0_cv_std,support_class_0_cv_mean,support_class_0_cv_std,precision_class_1_cv_mean,precision_class_1_cv_std,recall_class_1_cv_mean,recall_class_1_cv_std,f1_class_1_cv_mean,f1_class_1_cv_std,support_class_1_cv_mean,support_class_1_cv_std,tn_cv_mean,tn_cv_std,fp_cv_mean,fp_cv_std,fn_cv_mean,fn_cv_std,tp_cv_mean,tp_cv_std,specificity_cv_mean,specificity_cv_std,npv_cv_mean,npv_cv_std,fpr_cv_mean,fpr_cv_std,fnr_cv_mean,fnr_cv_std,accuracy_test_mean,accuracy_test_std,f1_test_mean,f1_test_std,recall_test_mean,recall_test_std,precision_test_mean,precision_test_std,misclassification_cost_mean_test_mean,misclassification_cost_mean_test_std,misclassification_cost_total_test_mean,misclassification_cost_total_test_std,misclassification_score_test_mean,misclassification_score_test_std,misclassification_cost_mean_true_class_0_test_mean,misclassification_cost_mean_true_class_0_test_std,misclassification_cost_mean_true_class_1_test_mean,misclassification_cost_mean_true_class_1_test_std,auc_test_mean,auc_test_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_test_mean,support_class_1_test_std,tn_test_mean,tn_test_std,fp_test_mean,fp_test_std,fn_test_mean,fn_test_std,tp_test_mean,tp_test_std,specificity_test_mean,specificity_test_std,npv_test_mean,npv_test_std,fpr_test_mean,fpr_test_std,fnr_test_mean,fnr_test_std,model_type
extra_trees_opt_fold1,binary,"[0, 1]",2,0.9267015706806283,0.006005113624462543,0.9306887004605165,0.005895791683416319,0.8967619047619048,0.01080484946599754,0.9678151931296497,0.007048094426843236,0.3003141361256544,0.028802897219077417,57.36,5.501353368843787,-0.3003141361256544,0.028802897219077417,0.036744186046511626,0.008334685305870147,0.5161904761904761,0.05402424732998769,0.971142857142857,0.003911509959205979,0.8849314533947836,0.010341532852690323,0.9632558139534882,0.008334685305870138,0.922179736419983,0.00618223431298744,86.0,0.0,0.9678151931296497,0.007048094426843236,0.8967619047619048,0.01080484946599754,0.9306887004605165,0.005895791683416319,105.0,0.0,82.84,0.7167829363048352,3.16,0.7167829363048327,10.84,1.1345091939297416,94.16,1.1345091939297407,0.9632558139534882,0.008334685305870138,0.8849314533947836,0.010341532852690323,0.036744186046511626,0.008334685305870147,0.10323809523809524,0.010804849465997543,0.9391941391941392,0.01415519096086881,0.9427209308179958,0.013754561285847242,0.9119999999999999,0.021727833887253894,0.9759445945235956,0.01470038614659501,0.2542124542124542,0.060095095151245996,69.4,16.40596097629016,-0.2542124542124542,0.060095095151245996,0.027642276422764234,0.01722520171498179,0.44000000000000006,0.10863916943626947,0.9793766937669377,0.0059885671715764,0.9010511220120379,0.021433677358322304,0.9723577235772357,0.017225201714981785,0.9351736935267956,0.014659015869684969,123.0,0.0,0.9759445945235956,0.01470038614659501,0.9119999999999999,0.021727833887253894,0.9427209308179958,0.013754561285847242,150.0,0.0,119.6,2.1186998109427604,3.4,2.118699810942761,13.2,3.259175083088085,136.8,3.259175083088084,0.9723577235772357,0.017225201714981785,0.9010511220120379,0.021433677358322304,0.027642276422764234,0.01722520171498179,0.08800000000000001,0.0217278338872539,extra_trees
extra_trees_opt_fold5,binary,"[0, 1]",2,0.9259685863874345,0.006623490753723198,0.9300500922082963,0.0064328887875040415,0.8967619047619048,0.011099313464590307,0.966521622433112,0.007858074310427642,0.3010471204188482,0.029876082543842716,57.5,5.706331765873959,-0.3010471204188482,0.029876082543842716,0.03837209302325582,0.009382727470473027,0.5161904761904761,0.05549656732295151,0.9709368770764119,0.003857238929826037,0.8848088462726578,0.010619524552273111,0.961627906976744,0.00938272747047304,0.9213229367078934,0.006917135053660577,86.0,0.0,0.966521622433112,0.007858074310427642,0.8967619047619048,0.011099313464590307,0.9300500922082963,0.0064328887875040415,105.0,0.0,82.7,0.8069145624606809,3.3,0.8069145624606803,10.84,1.1654279137819819,94.16,1.1654279137819823,0.961627906976744,0.00938272747047304,0.8848088462726578,0.010619524552273111,0.03837209302325582,0.009382727470473027,0.10323809523809524,0.011099313464590308,0.9384615384615385,0.011557665021928416,0.9419923294921684,0.011410311455493368,0.9106666666666665,0.020655911179772894,0.9759377419377667,0.01298619468329021,0.2578754578754579,0.055234618891807315,70.4,15.079050957463398,-0.2578754578754579,0.055234618891807315,0.027642276422764227,0.015425744683748192,0.44666666666666666,0.10327955589886444,0.9800433604336043,0.005522240574681505,0.899715515519306,0.01986113334716241,0.9723577235772357,0.015425744683748186,0.9344399753995363,0.011784122414742627,123.0,0.0,0.9759377419377667,0.01298619468329021,0.9106666666666665,0.020655911179772894,0.9419923294921684,0.011410311455493368,150.0,0.0,119.6,1.8973665961010275,3.4,1.8973665961010275,13.4,3.0983866769659336,136.6,3.0983866769659336,0.9723577235772357,0.015425744683748186,0.899715515519306,0.01986113334716241,0.027642276422764227,0.015425744683748192,0.08933333333333335,0.020655911179772894,extra_trees
extra_trees_opt_fold7,binary,"[0, 1]",2,0.9254450261780105,0.006924731179134229,0.9295910370737047,0.006731927236471555,0.8967619047619048,0.011837481840174129,0.9654991295902382,0.008747534068603879,0.3015706806282722,0.031606928928926394,57.6,6.036923425424945,-0.3015706806282722,0.031606928928926394,0.03953488372093023,0.010400316174417628,0.5161904761904761,0.05918740920087069,0.9708394241417497,0.0038889648360107784,0.8846643704974465,0.011322471940524473,0.9604651162790697,0.010400316174417595,0.9207252511943226,0.007220849410876234,86.0,0.0,0.9654991295902382,0.008747534068603879,0.8967619047619048,0.011837481840174129,0.9295910370737047,0.006731927236471555,105.0,0.0,82.60000000000001,0.8944271909999173,3.4,0.894427190999916,10.84,1.2429355932182846,94.16000000000001,1.2429355932182848,0.9604651162790697,0.010400316174417595,0.8846643704974465,0.011322471940524473,0.03953488372093023,0.010400316174417628,0.10323809523809527,0.011837481840174144,0.9347985347985348,0.011163984811391905,0.938630031978829,0.011084977271039772,0.9086666666666667,0.020379122698862887,0.9710293427001077,0.012766127978385503,0.26593406593406593,0.054171738882480516,72.6,14.788884714917184,-0.26593406593406593,0.054171738882480516,0.03333333333333334,0.015544314796422749,0.45666666666666667,0.10189561349431443,0.9791924119241191,0.006350307943134065,0.8971364149275146,0.019101203531392323,0.9666666666666666,0.015544314796422735,0.9304180545981351,0.011369280957484367,123.0,0.0,0.9710293427001077,0.012766127978385503,0.9086666666666667,0.020379122698862887,0.938630031978829,0.011084977271039772,150.0,0.0,118.9,1.9119507199599979,4.1,1.911950719959998,13.7,3.0568684048294337,136.3,3.056868404829433,0.9666666666666666,0.015544314796422735,0.8971364149275146,0.019101203531392323,0.03333333333333334,0.015544314796422749,0.09133333333333334,0.02037912269886289,extra_trees
extra_trees_opt_fold2,binary,"[0, 1]",2,0.9260732984293195,0.006458657455480816,0.9303002425503643,0.006214094370735644,0.8986666666666666,0.010692334951121709,0.9647814763731217,0.008308599334837456,0.2967539267015707,0.028626398897288484,56.68000000000001,5.4676421893821034,-0.2967539267015707,0.028626398897288484,0.04046511627906976,0.009939423519271077,0.5066666666666666,0.0534616747556086,0.9708194905869323,0.0038242929688095642,0.8863951365463926,0.010340786465822678,0.9595348837209301,0.00993942351927101,0.9212503470024458,0.006813575536048512,86.0,0.0,0.9647814763731217,0.008308599334837456,0.8986666666666666,0.010692334951121709,0.9303002425503643,0.006214094370735644,105.0,0.0,82.51999999999998,0.8547904226573129,3.4800000000000004,0.8547904226573123,10.639999999999999,1.1226951698677803,94.35999999999999,1.1226951698677776,0.9595348837209301,0.00993942351927101,0.8863951365463926,0.010340786465822678,0.04046511627906976,0.009939423519271077,0.10133333333333332,0.01069233495112172,0.9384615384615385,0.013792450545976002,0.9420842009704321,0.013587072631695207,0.9126666666666665,0.02382031501486508,0.9739370009830391,0.014461330767899874,0.25347985347985347,0.06432718364400056,69.2,17.561321134812154,-0.25347985347985347,0.06432718364400056,0.03008130081300813,0.01716112758697839,0.43666666666666665,0.11910157507432545,0.979788617886179,0.005763094920010498,0.9016579603114924,0.023086483848807158,0.9699186991869919,0.01716112758697839,0.9343133547851616,0.01409285533577211,123.0,0.0,0.9739370009830391,0.014461330767899874,0.9126666666666665,0.02382031501486508,0.9420842009704321,0.013587072631695207,150.0,0.0,119.3,2.110818693198342,3.7,2.110818693198342,13.1,3.573047252229764,136.9,3.5730472522297645,0.9699186991869919,0.01716112758697839,0.9016579603114924,0.023086483848807158,0.03008130081300813,0.01716112758697839,0.08733333333333335,0.02382031501486509,extra_trees
extra_trees_opt_fold4,binary,"[0, 1]",2,0.9254450261780105,0.006317530106386735,0.9295084261489045,0.0062693323953666655,0.8958095238095239,0.012508097654267705,0.9663842172697601,0.008185411808900318,0.3036649214659686,0.03269446150742476,58.0,6.24464214791813,-0.3036649214659686,0.03269446150742476,0.03837209302325581,0.009697671320307598,0.5209523809523808,0.06254048827133855,0.9707087486157254,0.0037491423170643015,0.8838301890147878,0.011808088320918547,0.9616279069767442,0.009697671320307577,0.9208343325168439,0.006442184594777684,86.0,0.0,0.9663842172697601,0.008185411808900318,0.8958095238095239,0.012508097654267705,0.9295084261489045,0.0062693323953666655,105.0,0.0,82.70000000000002,0.8339997335464546,3.3,0.8339997335464535,10.940000000000001,1.3133502536981096,94.05999999999999,1.3133502536981088,0.9616279069767442,0.009697671320307577,0.8838301890147878,0.011808088320918547,0.03837209302325581,0.009697671320307598,0.1041904761904762,0.012508097654267712,0.9366300366300366,0.012337551237185941,0.9403052328813922,0.012289294189924822,0.9099999999999999,0.022498285257018417,0.9731220900983498,0.01224443159263503,0.2611721611721612,0.06033895994858159,71.3,16.472536065962778,-0.2611721611721612,0.06033895994858159,0.030894308943089432,0.014744141472883948,0.45,0.11249142628509215,0.9790677506775068,0.006211412593011793,0.8988124882065543,0.021528083770401007,0.9691056910569106,0.014744141472883955,0.9324335007697198,0.012451086222323457,123.0,0.0,0.9731220900983498,0.01224443159263503,0.9099999999999999,0.022498285257018417,0.9403052328813922,0.012289294189924822,150.0,0.0,119.2,1.813529401164726,3.8,1.8135294011647258,13.5,3.3747427885527643,136.5,3.3747427885527643,0.9691056910569106,0.014744141472883955,0.8988124882065543,0.021528083770401007,0.030894308943089432,0.014744141472883948,0.09,0.02249828525701843,extra_trees
svm_opt_fold2,binary,"[0, 1]",2,0.928586387434555,0.008017293212658608,0.9321260509574396,0.00791250773811578,0.8939047619047619,0.013075357684745216,0.9743880195955923,0.00745591014675001,0.3047120418848167,0.03597315444173981,58.2,6.8708724983723055,-0.3047120418848167,0.03597315444173981,0.029069767441860468,0.008649578916442403,0.5304761904761904,0.06537678842372616,0.9705537098560356,0.003780904542315124,0.8830356984781049,0.01287172265578885,0.9709302325581394,0.008649578916442392,0.9246046742446492,0.008143715388388014,86.0,0.0,0.9743880195955923,0.00745591014675001,0.8939047619047619,0.013075357684745216,0.9321260509574396,0.00791250773811578,105.0,0.0,83.49999999999999,0.7438637868140456,2.5,0.7438637868140465,11.14,1.3729125568982494,93.86,1.3729125568982494,0.9709302325581394,0.008649578916442392,0.8830356984781049,0.01287172265578885,0.029069767441860468,0.008649578916442403,0.10609523809523809,0.013075357684745239,0.9384615384615385,0.011163984811391886,0.941711920676986,0.011103117549560854,0.9059999999999999,0.019739038214402194,0.980681410959833,0.011301459578460822,0.2681318681318681,0.05321660669012656,73.2,14.528133626404552,-0.2681318681318681,0.05321660669012656,0.021951219512195124,0.013303997516133958,0.4699999999999999,0.09869519107201088,0.9783739837398375,0.006207953826876216,0.8954971738220543,0.018929140046678915,0.978048780487805,0.013303997516133963,0.9348005507507671,0.01126149918689598,123.0,0.0,0.980681410959833,0.011301459578460822,0.9059999999999999,0.019739038214402194,0.941711920676986,0.011103117549560854,150.0,0.0,120.3,1.636391694484477,2.7,1.636391694484477,14.1,2.960855732160327,135.9,2.960855732160327,0.978048780487805,0.013303997516133963,0.8954971738220543,0.018929140046678915,0.021951219512195124,0.013303997516133958,0.094,0.019739038214402184,svm
random_forest_opt_fold1,binary,"[0, 1]",2,0.9270157068062825,0.0074706006206228335,0.9307762445361394,0.007218547797769831,0.894095238095238,0.010744988343520572,0.9711333202938146,0.007876829504821258,0.30586387434554974,0.030152906764800026,58.419999999999995,5.7592051920768075,-0.30586387434554974,0.030152906764800026,0.032790697674418605,0.00913611194951075,0.5295238095238095,0.05372494171760299,0.9704894795127352,0.00409599873097065,0.8827065926062302,0.010639588047683125,0.9672093023255813,0.009136111949510714,0.9227767508925566,0.007791245133420382,86.0,0.0,0.9711333202938146,0.007876829504821258,0.894095238095238,0.010744988343520572,0.9307762445361394,0.007218547797769831,105.0,0.0,83.18,0.7857056276579253,2.8200000000000003,0.7857056276579246,11.120000000000001,1.128223776069663,93.88000000000001,1.1282237760696645,0.9672093023255813,0.009136111949510714,0.8827065926062302,0.010639588047683125,0.032790697674418605,0.00913611194951075,0.1059047619047619,0.0107449883435206,0.9402930402930403,0.010927790395733558,0.943648685350483,0.010897947241331822,0.9113333333333333,0.020858133387124122,0.978733582379683,0.011713246702260958,0.25457875457875456,0.055397674466547815,69.5,15.123565129367554,-0.25457875457875456,0.055397674466547815,0.024390243902439025,0.013818481066647114,0.44333333333333336,0.10429066693562057,0.9800867208672086,0.005559084080064443,0.9007127121598613,0.019955406072720994,0.9756097560975607,0.013818481066647108,0.9364802893802257,0.011001577318244395,123.0,0.0,0.978733582379683,0.011713246702260958,0.9113333333333333,0.020858133387124122,0.943648685350483,0.010897947241331822,150.0,0.0,120.0,1.699673171197595,3.0,1.699673171197595,13.3,3.1287200080686173,136.7,3.1287200080686173,0.9756097560975607,0.013818481066647108,0.9007127121598613,0.019955406072720994,0.024390243902439025,0.013818481066647114,0.08866666666666667,0.02085813338712412,random_forest
random_forest_opt_fold10,binary,"[0, 1]",2,0.9265968586387434,0.006685736092180604,0.930495140234201,0.006568556891649144,0.8954285714285714,0.010791783218449726,0.9689447209182507,0.005947277192060798,0.3033507853403142,0.02979359689255982,57.94,5.690577006478927,-0.3033507853403142,0.02979359689255982,0.035348837209302326,0.007002536304270521,0.5228571428571428,0.05395891609224875,0.9704784053156146,0.0040788265658709775,0.8837605269087708,0.010524862838643189,0.9646511627906978,0.007002536304270524,0.9221881228309574,0.0068527256237538685,86.0,0.0,0.9689447209182507,0.005947277192060798,0.8954285714285714,0.010791783218449726,0.930495140234201,0.006568556891649144,105.0,0.0,82.96000000000001,0.6022181221672661,3.04,0.6022181221672649,10.98,1.1331372379372235,94.02000000000001,1.1331372379372247,0.9646511627906978,0.007002536304270524,0.8837605269087708,0.010524862838643189,0.035348837209302326,0.007002536304270521,0.10457142857142857,0.01079178321844975,0.9380952380952381,0.01214267144366478,0.9416321228139919,0.011880842328066297,0.9099999999999999,0.02066786137526475,0.9759265519200291,0.01372380310006647,0.2597069597069597,0.05567149677822582,70.9,15.19831862045565,-0.2597069597069597,0.05567149677822582,0.027642276422764234,0.016350247294307164,0.45,0.10333930687632374,0.979528455284553,0.006185147650252633,0.8990274689168629,0.020042255393934668,0.9723577235772357,0.01635024729430716,0.9340692469476715,0.012513484983175565,123.0,0.0,0.9759265519200291,0.01372380310006647,0.9099999999999999,0.02066786137526475,0.9416321228139919,0.011880842328066297,150.0,0.0,119.6,2.0110804171997807,3.4,2.0110804171997807,13.5,3.100179206289712,136.5,3.100179206289712,0.9723577235772357,0.01635024729430716,0.8990274689168629,0.020042255393934668,0.027642276422764234,0.016350247294307164,0.09000000000000001,0.020667861375264752,random_forest
svm_opt_fold6,binary,"[0, 1]",2,0.9278534031413613,0.00690093932387496,0.9312204775798154,0.0067243262226202955,0.8906666666666666,0.009844341558508853,0.9762342244437585,0.00811859801663572,0.312565445026178,0.027484556258039642,59.7,5.249550245285569,-0.312565445026178,0.027484556258039642,0.02674418604651163,0.009188581078395115,0.5466666666666666,0.04922170779254425,0.970454042081949,0.0034478378432992985,0.8801447384870201,0.009579976843332979,0.9732558139534883,0.00918858107839511,0.9240917361299512,0.007127589396534515,86.0,0.0,0.9762342244437585,0.00811859801663572,0.8906666666666666,0.009844341558508853,0.9312204775798154,0.0067243262226202955,105.0,0.0,83.70000000000002,0.7902179727419781,2.3,0.7902179727419799,11.48,1.0336558636434299,93.52000000000001,1.0336558636434297,0.9732558139534883,0.00918858107839511,0.8801447384870201,0.009579976843332979,0.02674418604651163,0.009188581078395115,0.10933333333333335,0.009844341558508857,0.9395604395604396,0.010679399074808232,0.9427355734596933,0.010673921152039495,0.9066666666666666,0.01832491389163406,0.9820320734145229,0.00887403709554581,0.26556776556776557,0.050113138867475295,72.5,13.680886910820755,-0.26556776556776557,0.050113138867475295,0.020325203252032523,0.010319475753203128,0.4666666666666667,0.09162456945817021,0.978639566395664,0.00598481600541308,0.8962394132510813,0.01758507771318931,0.9796747967479675,0.010319475753203116,0.935992461508987,0.010689031781362629,123.0,0.0,0.9820320734145229,0.00887403709554581,0.9066666666666666,0.01832491389163406,0.9427355734596933,0.010673921152039495,150.0,0.0,120.5,1.2692955176439846,2.5,1.2692955176439846,14.0,2.748737083745107,136.0,2.748737083745107,0.9796747967479675,0.010319475753203116,0.8962394132510813,0.01758507771318931,0.020325203252032523,0.010319475753203128,0.09333333333333334,0.01832491389163405,svm
random_forest_opt_fold9,binary,"[0, 1]",2,0.9262827225130892,0.006515000402272998,0.9301958852690024,0.0064490456470316536,0.8950476190476191,0.011688404325074255,0.968819748969487,0.006798091577864667,0.30450261780104715,0.03138955836859608,58.160000000000004,5.9954056484018565,-0.30450261780104715,0.03138955836859608,0.03558139534883721,0.008059779057717851,0.5247619047619047,0.05844202162537131,0.9703654485049833,0.003913272997828725,0.8834017472760498,0.011191888495178999,0.9644186046511628,0.008059779057717808,0.9218503826879964,0.006639109045343793,86.0,0.0,0.968819748969487,0.006798091577864667,0.8950476190476191,0.011688404325074255,0.9301958852690024,0.0064490456470316536,105.0,0.0,82.94,0.6931409989637339,3.06,0.6931409989637349,11.02,1.2272824541327978,93.98000000000002,1.2272824541327985,0.9644186046511628,0.008059779057717808,0.8834017472760498,0.011191888495178999,0.03558139534883721,0.008059779057717851,0.10495238095238095,0.011688404325074269,0.9402930402930403,0.012694890090910894,0.9436143232054406,0.012450119610181732,0.9106666666666667,0.02089361648629895,0.9793758127796689,0.012552821382863325,0.256043956043956,0.05717754600750425,69.9,15.60947006004866,-0.256043956043956,0.05717754600750425,0.02357723577235773,0.014568758867984404,0.44666666666666666,0.10446808243149473,0.9792520325203251,0.006342250894982452,0.9000545278987528,0.020321769739212996,0.9764227642276422,0.01456875886798438,0.9365280547731791,0.013012322738953835,123.0,0.0,0.9793758127796689,0.012552821382863325,0.9106666666666667,0.02089361648629895,0.9436143232054406,0.012450119610181732,150.0,0.0,120.1,1.7919573407620815,2.9,1.7919573407620817,13.4,3.1340424729448424,136.6,3.1340424729448424,0.9764227642276422,0.01456875886798438,0.9000545278987528,0.020321769739212996,0.02357723577235773,0.014568758867984404,0.08933333333333335,0.020893616486298953,random_forest
