model,target_type,classes,n_classes,bayes_best_cv_score_cv_mean,bayes_best_cv_score_cv_std,accuracy_cv_mean,accuracy_cv_std,f1_cv_mean,f1_cv_std,recall_cv_mean,recall_cv_std,precision_cv_mean,precision_cv_std,misclassification_cost_mean_cv_mean,misclassification_cost_mean_cv_std,misclassification_cost_total_cv_mean,misclassification_cost_total_cv_std,misclassification_score_cv_mean,misclassification_score_cv_std,misclassification_cost_mean_true_class_0_cv_mean,misclassification_cost_mean_true_class_0_cv_std,misclassification_cost_mean_true_class_1_cv_mean,misclassification_cost_mean_true_class_1_cv_std,auc_cv_mean,auc_cv_std,precision_class_0_cv_mean,precision_class_0_cv_std,recall_class_0_cv_mean,recall_class_0_cv_std,f1_class_0_cv_mean,f1_class_0_cv_std,support_class_0_cv_mean,support_class_0_cv_std,precision_class_1_cv_mean,precision_class_1_cv_std,recall_class_1_cv_mean,recall_class_1_cv_std,f1_class_1_cv_mean,f1_class_1_cv_std,support_class_1_cv_mean,support_class_1_cv_std,tn_cv_mean,tn_cv_std,fp_cv_mean,fp_cv_std,fn_cv_mean,fn_cv_std,tp_cv_mean,tp_cv_std,specificity_cv_mean,specificity_cv_std,npv_cv_mean,npv_cv_std,fpr_cv_mean,fpr_cv_std,fnr_cv_mean,fnr_cv_std,accuracy_test_mean,accuracy_test_std,f1_test_mean,f1_test_std,recall_test_mean,recall_test_std,precision_test_mean,precision_test_std,misclassification_cost_mean_test_mean,misclassification_cost_mean_test_std,misclassification_cost_total_test_mean,misclassification_cost_total_test_std,misclassification_score_test_mean,misclassification_score_test_std,misclassification_cost_mean_true_class_0_test_mean,misclassification_cost_mean_true_class_0_test_std,misclassification_cost_mean_true_class_1_test_mean,misclassification_cost_mean_true_class_1_test_std,auc_test_mean,auc_test_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_test_mean,support_class_1_test_std,tn_test_mean,tn_test_std,fp_test_mean,fp_test_std,fn_test_mean,fn_test_std,tp_test_mean,tp_test_std,specificity_test_mean,specificity_test_std,npv_test_mean,npv_test_std,fpr_test_mean,fpr_test_std,fnr_test_mean,fnr_test_std,X_Processing,Subdomain
decision_tree,binary,"[0, 1]",2,0.9457929125138428,0.006543784319630702,0.9138364779874214,0.016947452170933432,0.9195542493738165,0.015642969780753156,0.8923076923076921,0.02177204920175816,0.9490908801498046,0.023833777110737073,0.32389937106918243,0.06022466424412253,206.0,38.302886459261934,-0.32389937106918243,0.06022466424412253,0.05964912280701755,0.02944953991114426,0.5384615384615385,0.10886024600879089,0.9723066926575701,0.010074340873599255,0.8768387973623492,0.021892544152228872,0.9403508771929825,0.029449539911144268,0.9071784082266664,0.018688023775067043,285.0,0.0,0.9490908801498046,0.023833777110737073,0.8923076923076921,0.02177204920175816,0.9195542493738165,0.015642969780753156,351.0,0.0,268.0,8.393118874676114,17.0,8.393118874676114,37.8,7.64198926981712,313.2,7.6419892698171195,0.9403508771929825,0.029449539911144268,0.8768387973623492,0.021892544152228872,0.05964912280701755,0.02944953991114426,0.10769230769230768,0.021772049201758178,0.8963369963369964,0.017613762590342676,0.9031323796042869,0.016458157119000633,0.8799999999999999,0.028458329944145988,0.9285837911912699,0.02717266980523354,0.36739926739926737,0.07382868467908603,100.3,20.155230917390487,-0.36739926739926737,0.07382868467908603,0.08373983739837398,0.03492677207338464,0.6000000000000001,0.14229164972072997,0.9475636856368563,0.007672152718927671,0.8632310029654076,0.02707876219259418,0.9162601626016261,0.03492677207338463,0.8883689851564137,0.01944169373762975,123.0,0.0,0.9285837911912699,0.02717266980523354,0.8799999999999999,0.028458329944145988,0.9031323796042869,0.016458157119000633,150.0,0.0,112.7,4.295992965026311,10.3,4.295992965026311,18.0,4.268749491621899,132.0,4.268749491621899,0.9162601626016261,0.03492677207338463,0.8632310029654076,0.02707876219259418,0.08373983739837398,0.03492677207338464,0.12,0.02845832994414599,X_V06_STATS,examen_motor
random_forest,binary,"[0, 1]",2,0.9687419712070874,0.004740929765320886,0.9429245283018869,0.020925671848048062,0.9464914657175815,0.01972535431048826,0.9185185185185185,0.030866388993716617,0.9765423095331306,0.00942372826650104,0.23694968553459123,0.08886097941064419,150.7,56.515582905169715,-0.23694968553459123,0.08886097941064419,0.027017543859649124,0.01097796494059164,0.40740740740740744,0.1543319449685831,0.980411356025391,0.007941871393219451,0.9073622544068678,0.03451992289041108,0.972982456140351,0.010977964940591643,0.9388401293058397,0.022297754138059327,285.0,0.0,0.9765423095331306,0.00942372826650104,0.9185185185185185,0.030866388993716617,0.9464914657175815,0.01972535431048826,351.0,0.0,277.3,3.1287200080686173,7.7,3.1287200080686173,28.6,10.834102536794536,322.4,10.834102536794534,0.972982456140351,0.010977964940591643,0.9073622544068678,0.03451992289041108,0.027017543859649124,0.01097796494059164,0.08148148148148147,0.03086638899371662,0.936996336996337,0.011163984811391909,0.9410850507205035,0.011018544099805376,0.9173333333333332,0.02181855592645969,0.966518773744793,0.01202346311240889,0.2446886446886447,0.0576281533072576,66.8,15.732485852881327,-0.2446886446886447,0.0576281533072576,0.03902439024390244,0.014744141472883951,0.4133333333333334,0.10909277963229845,0.9766422764227644,0.006473700197416248,0.9056318610025716,0.02165081215273138,0.9609756097560975,0.014744141472883943,0.9322608880716825,0.011366226334920222,123.0,0.0,0.966518773744793,0.01202346311240889,0.9173333333333332,0.02181855592645969,0.9410850507205035,0.011018544099805376,150.0,0.0,118.2,1.8135294011647258,4.8,1.8135294011647258,12.4,3.272783388968954,137.6,3.272783388968954,0.9609756097560975,0.014744141472883943,0.9056318610025716,0.02165081215273138,0.03902439024390244,0.014744141472883951,0.08266666666666667,0.02181855592645969,X_V06_STATS,examen_motor
extra_trees,binary,"[0, 1]",2,0.969825027685493,0.004484673994220868,0.9429245283018869,0.023869123711161788,0.9460551029796852,0.022735346017004877,0.9116809116809119,0.03491885339192826,0.9835539176991072,0.012056620533475717,0.25204402515723273,0.10063179699796583,160.3,64.00182289070628,-0.25204402515723273,0.10063179699796583,0.018596491228070177,0.013644667212247844,0.4415954415954416,0.17459426695964136,0.9810751237067026,0.010772939196424615,0.9012806147542358,0.03816748006224036,0.9814035087719299,0.013644667212247835,0.9393991735296187,0.02512201950980884,285.0,0.0,0.9835539176991072,0.012056620533475717,0.9116809116809119,0.03491885339192826,0.9460551029796852,0.022735346017004877,351.0,0.0,279.7,3.8887301554906353,5.3,3.8887301554906357,31.0,12.256517540566824,320.0,12.256517540566824,0.9814035087719299,0.013644667212247835,0.9012806147542358,0.03816748006224036,0.018596491228070177,0.013644667212247844,0.08831908831908832,0.03491885339192827,0.9336996336996337,0.012624231526801314,0.9377179666358492,0.012181234071112221,0.9093333333333333,0.02065591117977288,0.9683245792378591,0.015205340567854431,0.2655677655677656,0.05574642840420767,72.5,15.218774954348694,-0.2655677655677656,0.05574642840420767,0.036585365853658534,0.018078135588247064,0.4533333333333334,0.10327955589886444,0.9759295392953931,0.006585778478602649,0.8975154072245657,0.020660103543370115,0.9634146341463413,0.018078135588247068,0.9290945677658655,0.013185237667792985,123.0,0.0,0.9683245792378591,0.015205340567854431,0.9093333333333333,0.02065591117977288,0.9377179666358492,0.012181234071112221,150.0,0.0,118.5,2.223610677354389,4.5,2.223610677354389,13.6,3.0983866769659336,136.4,3.0983866769659336,0.9634146341463413,0.018078135588247068,0.8975154072245657,0.020660103543370115,0.036585365853658534,0.018078135588247064,0.09066666666666666,0.02065591117977289,X_V06_STATS,examen_motor
xgboost,binary,"[0, 1]",2,0.965405315614618,0.005413935883070234,0.9581761006289309,0.013890372137087988,0.9614125155846036,0.012847704593906564,0.9444444444444443,0.01454263326791408,0.9790486625892543,0.012781827550889094,0.16446540880503147,0.04544481538358209,104.6,28.902902583958205,-0.16446540880503147,0.04544481538358209,0.024912280701754382,0.015289909562443041,0.2777777777777778,0.07271316633957055,0.9891213075423602,0.005988336847957668,0.934519584471367,0.016727661222292866,0.9750877192982456,0.015289909562443046,0.9543439915725209,0.015125341276356334,285.0,0.0,0.9790486625892543,0.012781827550889094,0.9444444444444443,0.01454263326791408,0.9614125155846036,0.012847704593906564,351.0,0.0,277.9,4.3576242252962665,7.1,4.3576242252962665,19.5,5.104464277037851,331.5,5.104464277037851,0.9750877192982456,0.015289909562443046,0.934519584471367,0.016727661222292866,0.024912280701754382,0.015289909562443041,0.05555555555555556,0.014542633267914109,0.9285714285714286,0.012835040318454605,0.9342947068368186,0.011672318966179037,0.924,0.016086187618536738,0.9451607590385331,0.018828037517640932,0.23846153846153845,0.04376740147722901,65.1,11.948500603283522,-0.23846153846153845,0.04376740147722901,0.06585365853658538,0.024071997822441685,0.38,0.08043093809268381,0.9756422764227641,0.007762279615186378,0.9100359531680589,0.016743184597328993,0.9341463414634147,0.02407199782244168,0.9217175988794464,0.014403306143480574,123.0,0.0,0.9451607590385331,0.018828037517640932,0.924,0.016086187618536738,0.9342947068368186,0.011672318966179037,150.0,0.0,114.9,2.960855732160327,8.1,2.9608557321603275,11.4,2.4129281427805145,138.6,2.412928142780514,0.9341463414634147,0.02407199782244168,0.9100359531680589,0.016743184597328993,0.06585365853658538,0.024071997822441685,0.076,0.01608618761853676,X_V06_STATS,examen_motor
adaboost,binary,"[0, 1]",2,0.9662436323366557,0.005097937813714733,0.940566037735849,0.005873763407178992,0.9445683692403547,0.005719501940376573,0.9179487179487179,0.010121870916979464,0.9728393913930875,0.00389444807384693,0.2405660377358491,0.02791095797839485,153.0,17.75136927425913,-0.2405660377358491,0.02791095797839485,0.031578947368421054,0.004678362573099414,0.41025641025641024,0.05060935458489735,0.9820217923726696,0.0037970525948368694,0.9056215582135139,0.010475923070992646,0.968421052631579,0.00467836257309943,0.935935954078451,0.0060260001473914845,285.0,0.0,0.9728393913930875,0.00389444807384693,0.9179487179487179,0.010121870916979464,0.9445683692403547,0.005719501940376573,351.0,0.0,276.0,1.3333333333333333,9.0,1.3333333333333333,28.8,3.552776691859794,322.2,3.5527766918597936,0.968421052631579,0.00467836257309943,0.9056215582135139,0.010475923070992646,0.031578947368421054,0.004678362573099414,0.08205128205128205,0.01012187091697947,0.9315018315018315,0.011717795471560514,0.9366167968051977,0.010846887415396349,0.9213333333333333,0.019575747151595768,0.9529480971133525,0.01929787856000643,0.24139194139194137,0.05017854522273721,65.9,13.69874284580726,-0.24139194139194137,0.05017854522273721,0.056097560975609764,0.02437518354663291,0.3933333333333333,0.09787873575797884,0.9749024390243901,0.005301710886419384,0.9082596006780623,0.019193912943785613,0.9439024390243903,0.02437518354663291,0.9254339027622258,0.012990281154200091,123.0,0.0,0.9529480971133525,0.01929787856000643,0.9213333333333333,0.019575747151595768,0.9366167968051977,0.010846887415396349,150.0,0.0,116.1,2.998147576235848,6.9,2.998147576235848,11.8,2.9363620727393656,138.2,2.936362072739365,0.9439024390243903,0.02437518354663291,0.9082596006780623,0.019193912943785613,0.056097560975609764,0.02437518354663291,0.07866666666666665,0.01957574715159577,X_V06_STATS,examen_motor
svm,binary,"[0, 1]",2,0.9690653377630122,0.004849931392246495,0.925,0.02163561117258287,0.9270036791438578,0.022941038536916328,0.8695156695156694,0.04303576790295753,0.9940235979783785,0.004966908057318041,0.3630503144654088,0.11660795450904808,230.9,74.16265906775457,-0.3630503144654088,0.11660795450904808,0.006666666666666666,0.005596952567955742,0.6524216524216524,0.21517883951478767,0.975132703553756,0.005665146983552725,0.8624781163845132,0.03842721967906209,0.9933333333333334,0.00559695256795576,0.9227842285889368,0.020178429705176283,285.0,0.0,0.9940235979783785,0.004966908057318041,0.8695156695156694,0.04303576790295753,0.9270036791438578,0.022941038536916328,351.0,0.0,283.1,1.5951314818673865,1.9,1.5951314818673865,45.8,15.105554533938097,305.2,15.105554533938097,0.9933333333333334,0.00559695256795576,0.8624781163845132,0.03842721967906209,0.006666666666666666,0.005596952567955742,0.1304843304843305,0.04303576790295754,0.9245421245421246,0.017024102620691928,0.9269998250233904,0.018200494242395174,0.8766666666666666,0.03965904066127721,0.9851818221084161,0.019825819356944076,0.3465201465201465,0.10246521193375249,94.6,27.97300285791443,-0.3465201465201465,0.10246521193375249,0.01707317073170732,0.023453871570101686,0.6166666666666667,0.1982952033063861,0.9776043360433604,0.007296850504924832,0.8690221140121128,0.03476752025491709,0.9829268292682926,0.023453871570101672,0.9217729941459591,0.015897110258463576,123.0,0.0,0.9851818221084161,0.019825819356944076,0.8766666666666666,0.03965904066127721,0.9269998250233904,0.018200494242395174,150.0,0.0,120.9,2.8848262031225076,2.1,2.8848262031225076,18.5,5.948856099191582,131.5,5.948856099191582,0.9829268292682926,0.023453871570101672,0.8690221140121128,0.03476752025491709,0.01707317073170732,0.023453871570101686,0.12333333333333334,0.03965904066127721,X_V06_STATS,examen_motor
logistic_regression,binary,"[0, 1]",2,0.9702834994462901,0.004094546007577232,0.9306603773584907,0.008032729417889803,0.9343211133686179,0.007804960732941999,0.8940170940170941,0.010811205675789345,0.9784655627435855,0.005035729500880221,0.3033018867924528,0.03177198819350156,192.9,20.206984491066997,-0.3033018867924528,0.03177198819350156,0.024210526315789474,0.005596952567955743,0.52991452991453,0.054056028378946665,0.9794671864847304,0.00366371731997786,0.8820983154773112,0.01116218475858054,0.9757894736842105,0.005596952567955722,0.9265650372792817,0.008263585157106118,285.0,0.0,0.9784655627435855,0.005035729500880221,0.8940170940170941,0.010811205675789345,0.9343211133686179,0.007804960732941999,351.0,0.0,278.1,1.5951314818673865,6.9,1.5951314818673865,37.2,3.7947331922020555,313.8,3.794733192202055,0.9757894736842105,0.005596952567955722,0.8820983154773112,0.01116218475858054,0.024210526315789474,0.005596952567955743,0.10598290598290598,0.010811205675789333,0.9245421245421246,0.014260123390140616,0.9281408816502641,0.014531651177160317,0.8886666666666667,0.024353365676084423,0.971702710067974,0.011609550163400189,0.3201465201465201,0.06670288433752404,87.4,18.209887424144064,-0.3201465201465201,0.06670288433752404,0.03170731707317074,0.013523008075744875,0.5566666666666666,0.12176682838042206,0.9759457994579946,0.006657028944492542,0.8775762929001706,0.02262489424229101,0.9682926829268294,0.01352300807574488,0.920522007171493,0.013990149421418144,123.0,0.0,0.971702710067974,0.011609550163400189,0.8886666666666667,0.024353365676084423,0.9281408816502641,0.014531651177160317,150.0,0.0,119.1,1.66332999331662,3.9,1.66332999331662,16.7,3.6530048514126614,133.3,3.6530048514126614,0.9682926829268294,0.01352300807574488,0.8775762929001706,0.02262489424229101,0.03170731707317074,0.013523008075744875,0.11133333333333333,0.024353365676084412,X_V06_DELTA,examen_motor
knn,binary,"[0, 1]",2,0.9614374307862681,0.005254513791756256,0.9281446540880504,0.062194981308596804,0.9275101191283983,0.06282510608697871,0.874074074074074,0.10907378044195863,0.9946495162294152,0.005101094069922399,0.3498427672955975,0.30297331879679845,222.5,192.69103075476383,-0.3498427672955975,0.30297331879679845,0.005263157894736842,0.005030599571369958,0.6296296296296295,0.5453689022097931,0.9825376118358575,0.015146443977785098,0.8760105687874027,0.10716010378827265,0.9947368421052631,0.005030599571369973,0.9287587808832887,0.06159164938432331,285.0,0.0,0.9946495162294152,0.005101094069922399,0.874074074074074,0.10907378044195863,0.9275101191283983,0.06282510608697871,351.0,0.0,283.5,1.4337208778404378,1.5,1.4337208778404378,44.2,38.28489693512748,306.8,38.28489693512748,0.9947368421052631,0.005030599571369973,0.8760105687874027,0.10716010378827265,0.005263157894736842,0.005030599571369958,0.12592592592592594,0.10907378044195862,0.8857142857142858,0.01889989994714468,0.8840836402523118,0.021501458018618667,0.796,0.034167344166724574,0.9950266283346814,0.005816207029171801,0.5626373626373626,0.09385362316605766,153.6,25.62203912433374,-0.5626373626373626,0.09385362316605766,0.004878048780487805,0.005684600803090253,1.02,0.17083672083362283,0.9678753387533876,0.008454466100490811,0.8007920738776146,0.02636145936297733,0.9951219512195122,0.005684600803090259,0.8872224615388532,0.01650195656776066,123.0,0.0,0.9950266283346814,0.005816207029171801,0.796,0.034167344166724574,0.8840836402523118,0.021501458018618667,150.0,0.0,122.4,0.699205898780101,0.6,0.6992058987801011,30.6,5.125101625008686,119.4,5.125101625008686,0.9951219512195122,0.005684600803090259,0.8007920738776146,0.02636145936297733,0.004878048780487805,0.005684600803090253,0.20400000000000001,0.034167344166724574,X_STATS,examen_motor
gaussian_nb,binary,"[0, 1]",2,0.9512558139534883,0.008363544078824494,0.929874213836478,0.006960988560119066,0.9332691526805716,0.00729085008961017,0.8894586894586896,0.015879623905852597,0.9818367618401076,0.00455376039088822,0.3141509433962264,0.04188808303172298,199.8,26.640820808175814,-0.3141509433962264,0.04188808303172298,0.020350877192982456,0.005435766099940234,0.5527065527065528,0.07939811952926298,0.9650322387164492,0.002619997811370222,0.8782728535358004,0.014842353483053928,0.9796491228070175,0.005435766099940202,0.9260985912335513,0.006531781635793235,285.0,0.0,0.9818367618401076,0.00455376039088822,0.8894586894586896,0.015879623905852597,0.9332691526805716,0.00729085008961017,351.0,0.0,279.2,1.5491933384829668,5.8,1.5491933384829668,38.8,5.573747990954262,312.2,5.573747990954261,0.9796491228070175,0.005435766099940202,0.8782728535358004,0.014842353483053928,0.020350877192982456,0.005435766099940234,0.11054131054131056,0.0158796239058526,0.928937728937729,0.01067241679287529,0.9331351662160869,0.010952226613164376,0.9039999999999999,0.02334920095389102,0.964768464014757,0.013292940540154773,0.28205128205128205,0.060288287646537285,77.0,16.45870252750468,-0.28205128205128205,0.060288287646537285,0.04065040650406504,0.01670572900533598,0.4800000000000001,0.1167460047694551,0.9615040650406502,0.008831327883784585,0.8919170396668626,0.02181288600854474,0.959349593495935,0.01670572900533598,0.9241220045074805,0.010443623441244885,123.0,0.0,0.964768464014757,0.013292940540154773,0.9039999999999999,0.02334920095389102,0.9331351662160869,0.010952226613164376,150.0,0.0,118.0,2.0548046676563256,5.0,2.0548046676563256,14.4,3.5023801430836525,135.6,3.502380143083653,0.959349593495935,0.01670572900533598,0.8919170396668626,0.02181288600854474,0.04065040650406504,0.01670572900533598,0.096,0.023349200953891015,X_STATS,examen_motor
decision_tree,binary,"[0, 1]",2,0.9175636766334441,0.011078517675694646,0.8869496855345911,0.010904742694591003,0.8954691795936153,0.010600537537041183,0.8780626780626781,0.025896514769633384,0.9145465684295131,0.021879481437784204,0.3822327044025157,0.0630172167677114,243.1,40.07894986426443,-0.3822327044025157,0.0630172167677114,0.10210526315789474,0.029701615642116035,0.6096866096866097,0.12948257384816686,0.9570540310891189,0.009818508000424764,0.8577231451222028,0.023946949505588386,0.8978947368421053,0.029701615642116028,0.8767675652697358,0.01191921992639652,285.0,0.0,0.9145465684295131,0.021879481437784204,0.8780626780626781,0.025896514769633384,0.8954691795936153,0.010600537537041183,351.0,0.0,255.9,8.46496045800307,29.1,8.464960458003072,42.8,9.089676684141313,308.2,9.089676684141313,0.8978947368421053,0.029701615642116028,0.8577231451222028,0.023946949505588386,0.10210526315789474,0.029701615642116035,0.12193732193732194,0.025896514769633373,0.8849816849816851,0.014155190960868798,0.8929760521249447,0.013612396413365814,0.874,0.026749870196985163,0.9137004960467692,0.02261524594539357,0.391941391941392,0.06785076429523713,107.0,18.52325865259974,-0.391941391941392,0.06785076429523713,0.10162601626016259,0.02974864281856389,0.6300000000000001,0.13374935098492585,0.9257859078590787,0.02073016331167646,0.8548641829326366,0.025126779053671347,0.8983739837398375,0.029748642818563886,0.8755584951927844,0.015260947271791258,123.0,0.0,0.9137004960467692,0.02261524594539357,0.874,0.026749870196985163,0.8929760521249447,0.013612396413365814,150.0,0.0,110.5,3.6590830666833583,12.5,3.6590830666833583,18.9,4.012480529547776,131.1,4.0124805295477755,0.8983739837398375,0.029748642818563886,0.8548641829326366,0.025126779053671347,0.10162601626016259,0.02974864281856389,0.126,0.02674987019698517,X_STATS,impacto_motor
