modelo,n_samples,n_samples_evaluadas,n_clusters,samples_por_grupo,silhouette,calinski_harabasz,davies_bouldin,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info,normalized_mutual_info,Subdomain,LDA_components
agglo,909,909,2,"{0: 456, 1: 453}",0.7446857574977747,5282.947208242415,0.3312502640642495,0.6837020034120145,0.6785359159632909,0.6811091638732989,0.7531320223171534,0.6808545135046392,0.6811091638732989,examen_motor,1
kmeans,909,909,2,"{0: 453, 1: 456}",0.7446857574977747,5282.947208242415,0.3312502640642495,0.6837020034120145,0.6785359159632909,0.6811091638732989,0.7531320223171534,0.6808545135046392,0.6811091638732989,examen_motor,1
gmm,909,909,2,"{0: 482, 1: 427}",0.733473830788509,4807.8434438426275,0.3312452634259919,0.6758677556858848,0.6725327308874708,0.6741961189962622,0.7723638347559043,0.6739356013136031,0.6741961189962623,examen_motor,1
agglo,909,909,2,"{0: 471, 1: 438}",0.6393808050278702,2615.6435734069614,0.4721414597911653,0.4704485138645791,0.4673345060713201,0.46888633977168337,0.5509215747212383,0.46846201655831293,0.4688863397716833,impacto_motor,1
kmeans,909,909,2,"{0: 482, 1: 427}",0.6377685338582911,2625.0516301224006,0.47452440446429345,0.456335834863001,0.4540840758274947,0.45520717068583166,0.5282498546974606,0.454771546146968,0.45520717068583166,impacto_motor,1
gmm,909,909,2,"{0: 497, 1: 412}",0.6227122322796614,2276.927451565909,0.4741222292291997,0.5113341161579356,0.5106923453635529,0.5110130292641255,0.6217288633888909,0.5106212994852565,0.5110130292641255,impacto_motor,1
agglo,909,909,2,"{0: 486, 1: 423}",0.557121079610061,1633.7094598603899,0.6002330788332417,0.14498611068563652,0.14439016467672805,0.1446875240309356,0.19564138181076354,0.14400331753587375,0.14468752403093557,non_motor,1
kmeans,909,909,2,"{0: 546, 1: 363}",0.5739398623503056,1682.532819673856,0.5754774067341211,0.1593146805623877,0.16290505669015545,0.1610898655053443,0.21951501233882156,0.16040983769921052,0.16108986550534427,non_motor,1
gmm,909,909,2,"{0: 301, 1: 608}",0.5735823636617178,1585.7010169063917,0.550902914904457,0.14266607260828945,0.15455744708010136,0.14837388367111007,0.19481545116787177,0.14766368629687399,0.14837388367111007,non_motor,1
agglo,909,909,2,"{0: 452, 1: 457}",0.7640550653070577,6101.265073329032,0.3051564883987219,0.7298574560481135,0.7243527335958814,0.7270946761186037,0.7918535224001412,0.72687674595541,0.7270946761186037,MOTOR,1
kmeans,909,909,2,"{0: 451, 1: 458}",0.7641486150488324,6102.217797780723,0.30493867321373247,0.7334821880679799,0.727965380184065,0.7307133714468784,0.795778929970018,0.7304983287370282,0.7307133714468784,MOTOR,1
gmm,909,909,2,"{0: 466, 1: 443}",0.7629645612973572,6025.376268633898,0.30431569049878915,0.7302165022458684,0.7250281228544222,0.7276130634932358,0.8036578653771574,0.7273954989035117,0.7276130634932358,MOTOR,1
agglo,909,909,2,"{0: 447, 1: 462}",0.7684598795588968,6284.681709860546,0.30462908471161887,0.7883148627282907,0.7825058796964148,0.7853996302401484,0.8355663321776967,0.7852282447185229,0.7853996302401485,FULL,1
kmeans,909,909,2,"{0: 462, 1: 447}",0.7684598795588968,6284.681709860546,0.30462908471161887,0.7883148627282908,0.7825058796964149,0.7853996302401487,0.8355663321776967,0.785228244718523,0.7853996302401486,FULL,1
gmm,909,909,2,"{0: 443, 1: 466}",0.767863930431502,6251.795568964264,0.3044448396998852,0.8042279950217495,0.7985137446007285,0.8013606833111103,0.8517523350418928,0.8012020234209087,0.8013606833111102,FULL,1
