modelo,n_samples,n_samples_evaluadas,n_clusters,samples_por_grupo,silhouette,calinski_harabasz,davies_bouldin,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info,normalized_mutual_info,Subdomain
agglo,909,909,2,"{0: 455, 1: 454}",0.2246639605576797,213.25901400504245,1.8422450667112793,0.5915708505866001,0.587096810511415,0.5893253391670621,0.6785967257202175,0.5889973959564451,0.5893253391670622,examen_motor
kmeans,909,909,2,"{0: 522, 1: 387}",0.25940821692109156,228.87746400700465,1.864009758676858,0.51822254823106,0.5226492534236954,0.5204264876994443,0.5345958265841722,0.5200404093295464,0.5204264876994443,examen_motor
gmm,909,909,2,"{0: 522, 1: 387}",0.25940821692109156,228.87746400700465,1.864009758676858,0.51822254823106,0.5226492534236954,0.5204264876994443,0.5345958265841722,0.5200404093295464,0.5204264876994443,examen_motor
agglo,909,909,2,"{0: 611, 1: 298}",0.2839581269616981,201.86940928188508,1.9525305639592023,0.22663329424861575,0.24643350875376288,0.23611903243960897,0.20267986810536337,0.2354808680285737,0.23611903243960897,impacto_motor
kmeans,909,909,2,"{0: 216, 1: 693}",0.36454309025316844,244.86224686568892,1.7533308252205986,0.15470539426239033,0.19408642029657638,0.17217271116826408,0.09086806776986672,0.17143350921851144,0.17217271116826405,impacto_motor
gmm,909,909,2,"{0: 736, 1: 173}",0.36009658479604595,168.85714794194806,2.040551876930122,0.08681906178019283,0.12271423812023483,0.10169204633089651,0.03168271127778167,0.10084731291541998,0.10169204633089651,impacto_motor
agglo,909,909,2,"{0: 432, 1: 477}",0.13136880245233182,110.64298952719555,2.6404011906724225,0.01952974446676825,0.019416363394553937,0.019472888891479488,0.02366179400289151,0.018689191279894518,0.019472888891479485,non_motor
kmeans,909,909,2,"{0: 259, 1: 650}",0.2568760739483441,151.35836117825005,2.3056823494992478,0.01625110474730372,0.018708461968460887,0.01739341780648017,0.005130026086884532,0.01654992448659637,0.017393417806480172,non_motor
gmm,909,909,2,"{0: 729, 1: 180}",0.2810089348342779,106.51343742250033,2.5750502428409994,0.014124084931933487,0.019523996022571277,0.0163907462304539,-0.00228299959275492,0.015474457113963615,0.0163907462304539,non_motor
agglo,909,909,2,"{0: 463, 1: 446}",0.20691729749516055,189.13087527892213,1.9354808980042855,0.5768077259805945,0.5725893112432761,0.5746907775867195,0.6713553534342006,0.5743511048179314,0.5746907775867196,MOTOR
kmeans,909,909,2,"{0: 532, 1: 377}",0.24844306461830046,205.65994752538992,1.9691055462132958,0.4862222111674949,0.4929339645167706,0.4895550845490217,0.49657956940984543,0.48914308098811843,0.4895550845490217,MOTOR
gmm,909,909,2,"{0: 377, 1: 532}",0.24844306461830046,205.65994752538992,1.9691055462132958,0.4862222111674949,0.4929339645167706,0.4895550845490217,0.49657956940984543,0.48914308098811843,0.4895550845490217,MOTOR
