model,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_test_mean,precision_test_std,misclassification_cost_mean_cv_mean,misclassification_cost_mean_cv_std,misclassification_cost_mean_test_mean,misclassification_cost_mean_test_std,misclassification_cost_total_cv_mean,misclassification_cost_total_cv_std,misclassification_cost_total_test_mean,misclassification_cost_total_test_std,misclassification_score_cv_mean,misclassification_score_cv_std,misclassification_score_test_mean,misclassification_score_test_std,misclassification_cost_mean_true_class_0_cv_mean,misclassification_cost_mean_true_class_0_cv_std,misclassification_cost_mean_true_class_0_test_mean,misclassification_cost_mean_true_class_0_test_std,misclassification_cost_mean_true_class_1_cv_mean,misclassification_cost_mean_true_class_1_cv_std,misclassification_cost_mean_true_class_1_test_mean,misclassification_cost_mean_true_class_1_test_std,auc_cv_mean,auc_cv_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std,tn_cv_mean,tn_cv_std,tn_test_mean,tn_test_std,fp_cv_mean,fp_cv_std,fp_test_mean,fp_test_std,fn_cv_mean,fn_cv_std,fn_test_mean,fn_test_std,tp_cv_mean,tp_cv_std,tp_test_mean,tp_test_std,specificity_cv_mean,specificity_cv_std,specificity_test_mean,specificity_test_std,npv_cv_mean,npv_cv_std,npv_test_mean,npv_test_std,fpr_cv_mean,fpr_cv_std,fpr_test_mean,fpr_test_std,fnr_cv_mean,fnr_cv_std,fnr_test_mean,fnr_test_std,X_Processing,Subdomain
decision_tree,binary,"[0, 1]",2,0.8726178010471205,0.011676031776986217,0.8868131868131869,0.008711139917820262,0.8836853261254352,0.010269614542163213,0.8973421747548198,0.008128639911092606,0.879904761904762,0.009560247753725958,0.9006666666666666,0.02187506613746615,0.8886748037284198,0.014431999744425786,0.8947419364068754,0.01915712389868619,0.3914659685863874,0.030544552275511092,0.33150183150183155,0.05169465965816006,74.77000000000001,5.834009484622618,90.5,14.112642086677699,-0.3914659685863874,0.030544552275511092,-0.33150183150183155,0.05169465965816006,0.1362790697674419,0.01926945303331448,0.13008130081300812,0.027100271002710025,0.6004761904761906,0.047801238768629926,0.4966666666666667,0.10937533068733077,0.87181284606866,0.012224628251346823,0.8852926829268292,0.009133591434397974,0.8558938680244431,0.011190161757298188,0.8786093510297583,0.021095806715290894,0.8637209302325581,0.019269453033314492,0.8699186991869918,0.02710027100271001,0.8589621573177888,0.013625052634429726,0.8737538196210256,0.010112691705904429,86.0,0.0,123.0,0.0,0.8886748037284198,0.014431999744425786,0.8947419364068754,0.01915712389868619,0.879904761904762,0.009560247753725958,0.9006666666666666,0.02187506613746615,0.8836853261254352,0.010269614542163213,0.8973421747548198,0.008128639911092606,105.0,0.0,150.0,0.0,74.28,1.6571729608650467,107.0,3.3333333333333335,11.72,1.6571729608650456,16.0,3.3333333333333335,12.61,1.0038260141412287,14.9,3.2812599206199233,92.39,1.0038260141412259,135.1,3.2812599206199238,0.8637209302325581,0.019269453033314492,0.8699186991869918,0.02710027100271001,0.8558938680244431,0.011190161757298188,0.8786093510297583,0.021095806715290894,0.1362790697674419,0.01926945303331448,0.13008130081300812,0.027100271002710025,0.1200952380952381,0.009560247753725989,0.09933333333333334,0.02187506613746616,X_STATS,examen_motor
random_forest,binary,"[0, 1]",2,0.920261780104712,0.009038219017447516,0.9304029304029304,0.0109209669230759,0.9257036219166388,0.008655796417629025,0.9356569164662085,0.010643794196367573,0.9043809523809523,0.01495908588253031,0.9219999999999999,0.021784579436715495,0.9488865993814513,0.01032054445605888,0.950231460674465,0.01531922459055623,0.29,0.04029822975184093,0.24102564102564106,0.056027859925567726,55.39000000000001,7.696961882601615,65.8,15.295605759679985,-0.29,0.04029822975184093,-0.24102564102564106,0.056027859925567726,0.06034883720930233,0.012999817409838545,0.05934959349593496,0.019932981624317933,0.4780952380952381,0.07479542941265148,0.39,0.1089228971835775,0.9648887043189369,0.0048938196002170555,0.9765718157181572,0.006849375698504034,0.8903698263401661,0.01535209822260995,0.9088220618418028,0.02157139708931616,0.9396511627906976,0.01299981740983855,0.9406504065040651,0.019932981624317923,0.913865798852294,0.009550857035401407,0.9241581042226636,0.011409146070503926,86.0,0.0,123.0,0.0,0.9488865993814513,0.01032054445605888,0.950231460674465,0.01531922459055623,0.9043809523809523,0.01495908588253031,0.9219999999999999,0.021784579436715495,0.9257036219166388,0.008655796417629025,0.9356569164662085,0.010643794196367573,105.0,0.0,150.0,0.0,80.80999999999999,1.1179842972461134,115.7,2.4517567397911058,5.19,1.1179842972461147,7.3,2.4517567397911058,10.040000000000001,1.5707040176656808,11.7,3.2676869155073254,94.96000000000001,1.5707040176656824,138.3,3.267686915507325,0.9396511627906976,0.01299981740983855,0.9406504065040651,0.019932981624317923,0.8903698263401661,0.01535209822260995,0.9088220618418028,0.02157139708931616,0.06034883720930233,0.012999817409838545,0.05934959349593496,0.019932981624317933,0.09561904761904763,0.014959085882530294,0.07799999999999999,0.021784579436715502,X_STATS,examen_motor
extra_trees,binary,"[0, 1]",2,0.9193717277486911,0.00821542917692132,0.9285714285714286,0.01416045604974749,0.9252806026752107,0.007811029008199022,0.9343355880495288,0.013126606090823974,0.9084761904761904,0.013069575624490784,0.9253333333333332,0.022177733244221592,0.9434920027581667,0.009606403171805295,0.9440816600217332,0.01990851919893096,0.28188481675392674,0.0353748350131774,0.23553113553113553,0.058405480175209745,53.839999999999996,6.756593487516884,64.3,15.944696087832257,-0.28188481675392674,0.0353748350131774,-0.23553113553113553,0.058405480175209745,0.06732558139534883,0.012089668586576773,0.06747967479674796,0.026288659756699785,0.4576190476190476,0.06534787812245384,0.37333333333333335,0.11088866622110799,0.9651112956810632,0.005233404391065218,0.9757317073170733,0.007974157206046826,0.8937957568911822,0.013568479896640536,0.9116641844521851,0.02208929778716702,0.9326744186046513,0.012089668586576773,0.9325203252032521,0.026288659756699785,0.9123572583124732,0.008742502213028846,0.9216252398358626,0.01573043896910921,86.0,0.0,123.0,0.0,0.9434920027581667,0.009606403171805295,0.9440816600217332,0.01990851919893096,0.9084761904761904,0.013069575624490784,0.9253333333333332,0.022177733244221592,0.9252806026752107,0.007811029008199022,0.9343355880495288,0.013126606090823974,105.0,0.0,150.0,0.0,80.21000000000001,1.0397114984456064,114.7,3.2335051500740732,5.79,1.0397114984456026,8.3,3.2335051500740732,9.610000000000001,1.3723054405715305,11.2,3.32665998663324,95.39,1.372305440571533,138.8,3.3266599866332394,0.9326744186046513,0.012089668586576773,0.9325203252032521,0.026288659756699785,0.8937957568911822,0.013568479896640536,0.9116641844521851,0.02208929778716702,0.06732558139534883,0.012089668586576773,0.06747967479674796,0.026288659756699785,0.09152380952380952,0.013069575624490765,0.07466666666666667,0.022177733244221596,X_STATS,examen_motor
xgboost,binary,"[0, 1]",2,0.9072251308900524,0.0100551431079098,0.9201465201465202,0.011685944922105403,0.9142360340225612,0.00966351813832281,0.9263333522106736,0.011375738099072894,0.9,0.014443572274383915,0.9146666666666665,0.021034950339909753,0.9295398954892644,0.007880599124510602,0.9387079438603644,0.013979658344698399,0.31267015706806284,0.04116291795085744,0.2673992673992674,0.055498501476744865,59.71999999999999,7.862117328613766,73.0,15.15109090315135,-0.31267015706806284,0.04116291795085744,-0.2673992673992674,0.055498501476744865,0.08395348837209302,0.009427453016609834,0.07317073170731708,0.01838029805725005,0.4999999999999999,0.07221786137191953,0.42666666666666664,0.10517475169954874,0.9579629014396456,0.007443623306774251,0.9691815718157182,0.008347047711285464,0.8830699711380616,0.015329259337182896,0.8996049971899156,0.020711037190633892,0.9160465116279071,0.009427453016609877,0.9268292682926829,0.018380298057250073,0.8988835365724117,0.010491907789548019,0.9127711272885234,0.012207786024035792,86.0,0.0,123.0,0.0,0.9295398954892644,0.007880599124510602,0.9387079438603644,0.013979658344698399,0.9,0.014443572274383915,0.9146666666666665,0.021034950339909753,0.9142360340225612,0.00966351813832281,0.9263333522106736,0.011375738099072894,105.0,0.0,150.0,0.0,78.78,0.8107609594284441,114.0,2.260776661041756,7.220000000000001,0.8107609594284454,9.0,2.260776661041756,10.500000000000002,1.5165750888103102,12.8,3.155242550986462,94.5,1.5165750888103096,137.2,3.1552425509864617,0.9160465116279071,0.009427453016609877,0.9268292682926829,0.018380298057250073,0.8830699711380616,0.015329259337182896,0.8996049971899156,0.020711037190633892,0.08395348837209302,0.009427453016609834,0.07317073170731708,0.01838029805725005,0.1,0.014443572274383901,0.08533333333333334,0.02103495033990975,X_STATS,examen_motor
adaboost,binary,"[0, 1]",2,0.9101047120418848,0.006185253245528449,0.9285714285714286,0.010252048610345954,0.9169016602048785,0.005943867398782537,0.9343899145999094,0.00954400910847803,0.9025714285714287,0.011621389303452669,0.9259999999999999,0.01790234138766473,0.9326010060275671,0.008773857371007047,0.9433310053001532,0.01603877316848674,0.30413612565445025,0.03005035941258766,0.23406593406593407,0.0458306675251198,58.089999999999996,5.739618647804246,63.9,12.511772234357705,-0.30413612565445025,0.03005035941258766,-0.23406593406593407,0.0458306675251198,0.08069767441860465,0.011355993846344175,0.06829268292682927,0.02106163601921458,0.4871428571428571,0.05810694651726323,0.37,0.08951170693832369,0.9611699889258029,0.0056696284561976295,0.9710243902439025,0.008832691161838307,0.8863396486273063,0.011393916097400406,0.9121657118541915,0.01825409270970891,0.9193023255813955,0.011355993846344161,0.9317073170731709,0.021061636019214576,0.9019711738908256,0.006598796399115143,0.9215748101637147,0.011295828763787367,86.0,0.0,123.0,0.0,0.9326010060275671,0.008773857371007047,0.9433310053001532,0.01603877316848674,0.9025714285714287,0.011621389303452669,0.9259999999999999,0.01790234138766473,0.9169016602048785,0.005943867398782537,0.9343899145999094,0.00954400910847803,105.0,0.0,150.0,0.0,79.06000000000002,0.9766154707855972,114.6,2.590581230363393,6.9399999999999995,0.9766154707855992,8.4,2.590581230363393,10.23,1.220245876862528,11.1,2.685351208149711,94.77,1.2202458768625302,138.9,2.6853512081497106,0.9193023255813955,0.011355993846344161,0.9317073170731709,0.021061636019214576,0.8863396486273063,0.011393916097400406,0.9121657118541915,0.01825409270970891,0.08069767441860465,0.011355993846344175,0.06829268292682927,0.02106163601921458,0.09742857142857143,0.011621389303452648,0.07400000000000001,0.017902341387664736,X_STATS,examen_motor
svm,binary,"[0, 1]",2,0.9036649214659687,0.00775780480659434,0.9238095238095239,0.015230736146044144,0.9041917642186272,0.008428012620989467,0.9256082047485921,0.01617685449939535,0.8300000000000001,0.014034834106790937,0.8653333333333334,0.02771993978580031,0.9937704423045473,0.0030187950893299127,0.9954361363506894,0.005328000836327146,0.4701570680628272,0.03852112994435296,0.37216117216117217,0.07598120974742834,89.8,7.35753581937141,101.6,20.74287026104793,-0.4701570680628272,0.03852112994435296,-0.37216117216117217,0.07598120974742834,0.006395348837209301,0.0030642225389228483,0.004878048780487805,0.005684600803090253,0.85,0.07017417053395426,0.6733333333333335,0.13859969892900156,0.9685276854928017,0.005357588811093208,0.976482384823848,0.008067669709060525,0.8280601905892769,0.011791355767502442,0.8589829548749256,0.02417833762886178,0.9936046511627907,0.0030642225389228422,0.9951219512195122,0.005684600803090258,0.9030691214407772,0.007084436406815961,0.9218790616842221,0.014253907979002457,86.0,0.0,123.0,0.0,0.9937704423045473,0.0030187950893299127,0.9954361363506894,0.005328000836327146,0.8300000000000001,0.014034834106790937,0.8653333333333334,0.02771993978580031,0.9041917642186272,0.008428012620989467,0.9256082047485921,0.01617685449939535,105.0,0.0,150.0,0.0,85.45,0.2635231383473646,122.4,0.6992058987801011,0.55,0.26352313834736496,0.6,0.6992058987801011,17.85,1.4736575812130397,20.2,4.157990967870047,87.15,1.4736575812130415,129.8,4.157990967870046,0.9936046511627907,0.0030642225389228422,0.9951219512195122,0.005684600803090258,0.8280601905892769,0.011791355767502442,0.8589829548749256,0.02417833762886178,0.006395348837209301,0.0030642225389228483,0.004878048780487805,0.005684600803090253,0.16999999999999998,0.014034834106790864,0.13466666666666666,0.027719939785800316,X_STATS,examen_motor
logistic_regression,binary,"[0, 1]",2,0.9083769633507852,0.009221532156106736,0.9216117216117217,0.016670132518560223,0.9140534642017306,0.008980993510018085,0.9274024357517998,0.015411728650285996,0.8873333333333333,0.015468170490136114,0.9113333333333333,0.02132638775824014,0.9434942358640844,0.010476159221367375,0.944532097532848,0.021924044359277195,0.3393717277486911,0.04169883081907159,0.2732600732600733,0.05924561646639042,64.82000000000001,7.9644766864426755,74.6,16.174053295324583,-0.3393717277486911,0.04169883081907159,-0.2732600732600733,0.05924561646639042,0.06593023255813953,0.012785411169677637,0.06585365853658535,0.027756287542697815,0.5633333333333334,0.07734085245068052,0.44333333333333325,0.1066319387912007,0.9622923588039866,0.00555609145707739,0.9709105691056911,0.00691066002974941,0.8726951272598908,0.015359965219431978,0.8966853691953449,0.02152089243010724,0.9340697674418605,0.012785411169677593,0.9341463414634147,0.02775628754269781,0.9017720022203355,0.0095601686703807,0.914756216560658,0.018401044304121154,86.0,0.0,123.0,0.0,0.9434942358640844,0.010476159221367375,0.944532097532848,0.021924044359277195,0.8873333333333333,0.015468170490136114,0.9113333333333333,0.02132638775824014,0.9140534642017306,0.008980993510018085,0.9274024357517998,0.015411728650285996,105.0,0.0,150.0,0.0,80.33,1.0995453605922745,114.9,3.414023367751831,5.67,1.0995453605922767,8.1,3.414023367751831,11.83,1.6241579014642906,13.3,3.198958163736021,93.16999999999999,1.62415790146429,136.7,3.1989581637360205,0.9340697674418605,0.012785411169677593,0.9341463414634147,0.02775628754269781,0.8726951272598908,0.015359965219431978,0.8966853691953449,0.02152089243010724,0.06593023255813953,0.012785411169677637,0.06585365853658535,0.027756287542697815,0.11266666666666666,0.0154681704901361,0.08866666666666667,0.021326387758240143,X_STATS,examen_motor
knn,binary,"[0, 1]",2,0.887958115183246,0.007127601346129932,0.9065934065934066,0.01095504178566932,0.8876178732288542,0.007935733957492369,0.9078313680462502,0.012269279748971315,0.8083809523809522,0.013103076057429875,0.8386666666666667,0.022835969028738,0.9853654830765285,0.0031515260339228636,0.9899560325938278,0.008876355972461973,0.5334031413612565,0.0358228110203578,0.447985347985348,0.06063472885432084,101.88,6.842156904888335,122.3,16.553280977229594,-0.5334031413612565,0.0358228110203578,-0.447985347985348,0.06063472885432084,0.01488372093023256,0.003233589707692125,0.01056910569105691,0.009426843973401672,0.9580952380952381,0.06551538028714952,0.8066666666666666,0.11417984514369008,0.9413078626799557,0.007188693650489661,0.9538265582655827,0.009211716575642159,0.8092094929452328,0.010556407956101493,0.8345771828898364,0.018147691638513177,0.9851162790697675,0.003233589707692138,0.9894308943089432,0.009426843973401672,0.8881891124451584,0.00635250457456004,0.9052752023209166,0.009711682981226842,86.0,0.0,123.0,0.0,0.9853654830765285,0.0031515260339228636,0.9899560325938278,0.008876355972461973,0.8083809523809522,0.013103076057429875,0.8386666666666667,0.022835969028738,0.8876178732288542,0.007935733957492369,0.9078313680462502,0.012269279748971315,105.0,0.0,150.0,0.0,84.72,0.27808871486152353,121.7,1.1595018087284057,1.28,0.2780887148615228,1.3,1.1595018087284057,20.119999999999997,1.3758229860301394,24.2,3.425395354310701,84.88,1.3758229860301394,125.8,3.4253953543107016,0.9851162790697675,0.003233589707692138,0.9894308943089432,0.009426843973401672,0.8092094929452328,0.010556407956101493,0.8345771828898364,0.018147691638513177,0.01488372093023256,0.003233589707692125,0.01056910569105691,0.009426843973401672,0.19161904761904763,0.013103076057429901,0.16133333333333333,0.022835969028738003,X_STATS,examen_motor
gaussian_nb,binary,"[0, 1]",2,0.9194764397905761,0.007776626843495195,0.9322344322344323,0.010396450772848828,0.924667380036692,0.00752661540712023,0.936723004716216,0.010314972910864254,0.8998095238095238,0.012293545758720074,0.914,0.021418810240038208,0.9516385537474459,0.007778908576205154,0.961109065268962,0.014668946190649231,0.3008376963350785,0.033796747641287886,0.25677655677655675,0.055079201322584564,57.46,6.455178799485988,70.1,15.036621961065592,-0.3008376963350785,0.033796747641287886,-0.25677655677655675,0.055079201322584564,0.056511627906976745,0.009528894570771627,0.04552845528455284,0.01846003942105843,0.5009523809523809,0.061467728793600226,0.43000000000000005,0.10709405120019101,0.9494999999999999,0.00605858172918668,0.9594905149051491,0.008343478620573708,0.885986369756276,0.012525076363476564,0.901598615009761,0.020485670851716986,0.9434883720930234,0.009528894570771603,0.9544715447154472,0.018460039421058432,0.9134434278495294,0.00808801427180698,0.9270094727183663,0.010628418079997533,86.0,0.0,123.0,0.0,0.9516385537474459,0.007778908576205154,0.961109065268962,0.014668946190649231,0.8998095238095238,0.012293545758720074,0.914,0.021418810240038208,0.924667380036692,0.00752661540712023,0.936723004716216,0.010314972910864254,105.0,0.0,150.0,0.0,81.14,0.8194849330863591,117.4,2.2705848487901865,4.86,0.8194849330863597,5.6,2.270584848790187,10.52,1.2908223046656042,12.9,3.212821536005731,94.47999999999999,1.2908223046656067,137.1,3.212821536005731,0.9434883720930234,0.009528894570771603,0.9544715447154472,0.018460039421058432,0.885986369756276,0.012525076363476564,0.901598615009761,0.020485670851716986,0.056511627906976745,0.009528894570771627,0.04552845528455284,0.01846003942105843,0.1001904761904762,0.01229354575872004,0.086,0.021418810240038208,X_STATS,examen_motor
minmax_decision_tree,binary,"[0, 1]",2,0.8728272251308902,0.011367809210477092,0.8871794871794872,0.008599177954412222,0.8838431357270601,0.01004307424222163,0.8976417836968045,0.008060181686560714,0.8798095238095238,0.009793020483434311,0.9006666666666666,0.020233208249048958,0.8891139284828556,0.014058626377074291,0.8951990266025053,0.01710217910806725,0.39146596858638744,0.030655035218858217,0.3311355311355311,0.04857068577465912,74.77000000000001,5.855111726801919,90.4,13.25979721648194,-0.39146596858638744,0.030655035218858217,-0.3311355311355311,0.04857068577465912,0.13569767441860464,0.018781859537901464,0.12926829268292683,0.02437518354663291,0.6009523809523809,0.048965102417171655,0.4966666666666667,0.10116604124524477,0.8720559246954596,0.011881909397435336,0.88569918699187,0.00888520728172815,0.8558983339889522,0.01125983913353409,0.8785712342673726,0.01982417715577285,0.8643023255813954,0.018781859537901496,0.8707317073170732,0.024375183546632914,0.8592357119856757,0.01321219038066286,0.8742341963508237,0.00982237097181992,86.0,0.0,123.0,0.0,0.8891139284828556,0.014058626377074291,0.8951990266025053,0.01710217910806725,0.8798095238095238,0.009793020483434311,0.9006666666666666,0.020233208249048958,0.8838431357270601,0.01004307424222163,0.8976417836968045,0.008060181686560714,105.0,0.0,150.0,0.0,74.33,1.6152399202595267,107.1,2.998147576235848,11.669999999999998,1.615239920259526,15.9,2.998147576235848,12.62,1.0282671507606052,14.9,3.0349812373573433,92.38000000000001,1.0282671507606043,135.1,3.0349812373573437,0.8643023255813954,0.018781859537901496,0.8707317073170732,0.024375183546632914,0.8558983339889522,0.01125983913353409,0.8785712342673726,0.01982417715577285,0.13569767441860464,0.018781859537901464,0.12926829268292683,0.02437518354663291,0.12019047619047618,0.009793020483434334,0.09933333333333334,0.020233208249048958,X_STATS,examen_motor
