model,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_test_mean,precision_test_std,misclassification_cost_mean_cv_mean,misclassification_cost_mean_cv_std,misclassification_cost_mean_test_mean,misclassification_cost_mean_test_std,misclassification_cost_total_cv_mean,misclassification_cost_total_cv_std,misclassification_cost_total_test_mean,misclassification_cost_total_test_std,misclassification_score_cv_mean,misclassification_score_cv_std,misclassification_score_test_mean,misclassification_score_test_std,misclassification_cost_mean_true_class_0_cv_mean,misclassification_cost_mean_true_class_0_cv_std,misclassification_cost_mean_true_class_0_test_mean,misclassification_cost_mean_true_class_0_test_std,misclassification_cost_mean_true_class_1_cv_mean,misclassification_cost_mean_true_class_1_cv_std,misclassification_cost_mean_true_class_1_test_mean,misclassification_cost_mean_true_class_1_test_std,auc_cv_mean,auc_cv_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std,tn_cv_mean,tn_cv_std,tn_test_mean,tn_test_std,fp_cv_mean,fp_cv_std,fp_test_mean,fp_test_std,fn_cv_mean,fn_cv_std,fn_test_mean,fn_test_std,tp_cv_mean,tp_cv_std,tp_test_mean,tp_test_std,specificity_cv_mean,specificity_cv_std,specificity_test_mean,specificity_test_std,npv_cv_mean,npv_cv_std,npv_test_mean,npv_test_std,fpr_cv_mean,fpr_cv_std,fpr_test_mean,fpr_test_std,fnr_cv_mean,fnr_cv_std,fnr_test_mean,fnr_test_std
decision_tree_SP_RFECV,binary,"[0, 1]",2,0.8797905759162304,0.0068717485248584575,0.8904761904761905,0.01125045128184562,0.8850986163896071,0.006488585923181282,0.8944671159125377,0.011986980914539532,0.8445714285714286,0.020420374275784366,0.8460000000000001,0.030864098765274094,0.9339407889242122,0.020737086774891555,0.9502903320670985,0.02395767829129014,0.46198952879581145,0.04633118371341145,0.447985347985348,0.07459208285101096,88.24,8.849256089261589,122.3,20.363638618325993,-0.46198952879581145,0.04633118371341145,-0.447985347985348,0.07459208285101096,0.0772093023255814,0.02742477460479248,0.055284552845528454,0.03178943804577817,0.7771428571428572,0.10210187137892161,0.77,0.1543204938263704,0.9320681063122922,0.006237087186706711,0.9465013550135503,0.005549940979399456,0.8328487036414245,0.016685997846942406,0.835442812565778,0.02655231158843556,0.9227906976744185,0.027424774604792423,0.9447154471544715,0.03178943804577816,0.8733365438614952,0.00849163913635708,0.8859880712654075,0.011264005355663846,86.0,0.0,123.0,0.0,0.9339407889242122,0.020737086774891555,0.9502903320670985,0.02395767829129014,0.8445714285714286,0.020420374275784366,0.8460000000000001,0.030864098765274094,0.8850986163896071,0.006488585923181282,0.8944671159125377,0.011986980914539532,105.0,0.0,150.0,0.0,79.36,2.3585306160121533,116.2,3.9101008796307144,6.640000000000001,2.358530616012153,6.8,3.910100879630714,16.320000000000004,2.144139298957354,23.1,4.62961481479111,88.68000000000002,2.144139298957355,126.9,4.629614814791111,0.9227906976744185,0.027424774604792423,0.9447154471544715,0.03178943804577816,0.8328487036414245,0.016685997846942406,0.835442812565778,0.02655231158843556,0.0772093023255814,0.02742477460479248,0.055284552845528454,0.03178943804577817,0.15542857142857142,0.02042037427578432,0.154,0.030864098765274073
decision_tree_MI_RFECV,binary,"[0, 1]",2,0.8795287958115183,0.006638418631017041,0.8904761904761905,0.01125045128184562,0.8848181676716586,0.006114242528466738,0.8944671159125377,0.011986980914539532,0.8441904761904763,0.019750012358432285,0.8460000000000001,0.030864098765274094,0.933806689307354,0.02088007382795395,0.9502903320670985,0.02395767829129014,0.4630890052356021,0.04429940256591887,0.447985347985348,0.07459208285101096,88.45,8.461185890090507,122.3,20.363638618325993,-0.4630890052356021,0.04429940256591887,-0.447985347985348,0.07459208285101096,0.07732558139534883,0.027550751852691405,0.055284552845528454,0.03178943804577817,0.7790476190476191,0.09875006179216121,0.77,0.1543204938263704,0.9328543743078626,0.006147224793785711,0.9465013550135503,0.005549940979399456,0.8325212093535341,0.01604710073424914,0.835442812565778,0.02655231158843556,0.9226744186046512,0.027550751852691353,0.9447154471544715,0.03178943804577816,0.8730944948887961,0.008408976698003391,0.8859880712654075,0.011264005355663846,86.0,0.0,123.0,0.0,0.933806689307354,0.02088007382795395,0.9502903320670985,0.02395767829129014,0.8441904761904763,0.019750012358432285,0.8460000000000001,0.030864098765274094,0.8848181676716586,0.006114242528466738,0.8944671159125377,0.011986980914539532,105.0,0.0,150.0,0.0,79.35,2.3693646593314606,116.2,3.9101008796307144,6.65,2.3693646593314606,6.8,3.910100879630714,16.360000000000003,2.0737512976353853,23.1,4.62961481479111,88.64000000000001,2.0737512976353853,126.9,4.629614814791111,0.9226744186046512,0.027550751852691353,0.9447154471544715,0.03178943804577816,0.8325212093535341,0.01604710073424914,0.835442812565778,0.02655231158843556,0.07732558139534883,0.027550751852691405,0.055284552845528454,0.03178943804577817,0.1558095238095238,0.019750012358432233,0.154,0.030864098765274073
decision_tree_MI,binary,"[0, 1]",2,0.8699999999999999,0.009277674692164197,0.8912087912087913,0.018761350273265955,0.8822645004025548,0.007987284932565553,0.9024847648327642,0.0166354316499538,0.8859999999999999,0.008435727688687694,0.916,0.020893616486298953,0.8799725001596996,0.012873591468829623,0.8897235224200779,0.022381038176004422,0.38068062827225135,0.024259482437060675,0.2934065934065934,0.06042290812888768,72.71000000000001,4.633561145478594,80.1,16.495453919186343,-0.38068062827225135,0.024259482437060675,-0.2934065934065934,0.06042290812888768,0.1495348837209302,0.018313286973639094,0.13902439024390245,0.03028690205083688,0.57,0.042178638443438436,0.42000000000000004,0.10446808243149475,0.8682325581395348,0.009908424946467678,0.8884878048780488,0.01930769073103125,0.8608658435427815,0.008667490205604363,0.8940854995482349,0.024724678107660904,0.8504651162790697,0.018313286973639094,0.8609756097560975,0.030286902050836877,0.8545438932338472,0.011283497168725766,0.8769212578252619,0.021629159736530568,86.0,0.0,123.0,0.0,0.8799725001596996,0.012873591468829623,0.8897235224200779,0.022381038176004422,0.8859999999999999,0.008435727688687694,0.916,0.020893616486298953,0.8822645004025548,0.007987284932565553,0.9024847648327642,0.0166354316499538,105.0,0.0,150.0,0.0,73.14,1.5749426797329606,105.9,3.725288952252936,12.86,1.5749426797329622,17.1,3.725288952252936,11.970000000000002,0.8857514073122069,12.6,3.1340424729448424,93.03,0.8857514073122095,137.4,3.1340424729448424,0.8504651162790697,0.018313286973639094,0.8609756097560975,0.030286902050836877,0.8608658435427815,0.008667490205604363,0.8940854995482349,0.024724678107660904,0.1495348837209302,0.018313286973639094,0.13902439024390245,0.03028690205083688,0.11399999999999999,0.008435727688687686,0.08399999999999999,0.02089361648629895
decision_tree_SP,binary,"[0, 1]",2,0.8719895287958115,0.007691762956732633,0.8926739926739927,0.015545604183542595,0.8843923983490433,0.006366148663012096,0.9031753361396188,0.014602396941905314,0.89,0.00522123308044399,0.9119999999999999,0.02490475684643892,0.8801170641368723,0.011642535317648563,0.8949123315412916,0.015081216118051495,0.36989528795811516,0.01549449291494917,0.3007326007326007,0.06783867840006887,70.65,2.959448146755292,82.1,18.519959203218807,-0.36989528795811516,0.01549449291494917,-0.3007326007326007,0.06783867840006887,0.15,0.016489959214095077,0.13089430894308943,0.02079846488276411,0.55,0.026106165402219876,0.44000000000000006,0.12452378423219465,0.8699999999999999,0.008399398701361829,0.8905528455284552,0.015148629709405864,0.8647305739871047,0.005844656525052408,0.8909023132193093,0.02808038582727917,0.85,0.016489959214095087,0.8691056910569106,0.02079846488276411,0.856303480684131,0.009643670860559273,0.8795467641628084,0.016740182384516578,86.0,0.0,123.0,0.0,0.8801170641368723,0.011642535317648563,0.8949123315412916,0.015081216118051495,0.89,0.00522123308044399,0.9119999999999999,0.02490475684643892,0.8843923983490433,0.006366148663012096,0.9031753361396188,0.014602396941905314,105.0,0.0,150.0,0.0,73.1,1.4181364924121764,106.9,2.5582111805799856,12.9,1.4181364924121764,16.1,2.558211180579986,11.549999999999999,0.5482294734466175,13.2,3.73571352696584,93.44999999999999,0.5482294734466162,136.8,3.73571352696584,0.85,0.016489959214095087,0.8691056910569106,0.02079846488276411,0.8647305739871047,0.005844656525052408,0.8909023132193093,0.02808038582727917,0.15,0.016489959214095077,0.13089430894308943,0.02079846488276411,0.11000000000000001,0.005221233080443975,0.088,0.02490475684643893
random_forest_SP_RFECV,binary,"[0, 1]",2,0.9177486910994765,0.007814329790836221,0.9304029304029304,0.014134110992417846,0.9231906008108425,0.007713550485159222,0.9353205231012265,0.013701676477178156,0.9006666666666666,0.013787064385461435,0.9173333333333333,0.02376843014599279,0.947632997909848,0.006423715356930906,0.9544639741375601,0.014330054354853232,0.3006806282722513,0.03744181576907923,0.25128205128205133,0.06438278191163432,57.42999999999999,7.151386811894132,68.6,17.57649946187617,-0.3006806282722513,0.03744181576907923,-0.25128205128205133,0.06438278191163432,0.0613953488372093,0.008033641183275418,0.05365853658536586,0.018057811651986645,0.4966666666666667,0.06893532192730711,0.4133333333333334,0.11884215072996387,0.9671129568106313,0.004060253857571586,0.9773252032520325,0.006057475384362523,0.8864869958557724,0.013733984849295803,0.9043567007243345,0.023942601316253885,0.9386046511627907,0.008033641183275434,0.9463414634146341,0.018057811651986656,0.9113883848818503,0.007956144550269544,0.9246281148787375,0.014722533101160059,86.0,0.0,123.0,0.0,0.947632997909848,0.006423715356930906,0.9544639741375601,0.014330054354853232,0.9006666666666666,0.013787064385461435,0.9173333333333333,0.02376843014599279,0.9231906008108425,0.007713550485159222,0.9353205231012265,0.013701676477178156,105.0,0.0,150.0,0.0,80.72,0.6908931417616865,116.4,2.2211108331943574,5.279999999999999,0.6908931417616861,6.6,2.2211108331943574,10.43,1.447641760473449,12.4,3.5652645218989165,94.57,1.44764176047345,137.6,3.565264521898917,0.9386046511627907,0.008033641183275434,0.9463414634146341,0.018057811651986656,0.8864869958557724,0.013733984849295803,0.9043567007243345,0.023942601316253885,0.0613953488372093,0.008033641183275418,0.05365853658536586,0.018057811651986645,0.09933333333333334,0.01378706438546142,0.08266666666666665,0.023768430145992784
random_forest_MI_RFECV,binary,"[0, 1]",2,0.9202617801047118,0.008348008422948824,0.9322344322344323,0.01804852930292364,0.9253775436733648,0.008162171661904104,0.9371816317455659,0.016827038385473354,0.9004761904761904,0.01348552596048221,0.9206666666666667,0.02423139479739375,0.952424559700592,0.006174882089553814,0.9548188645664819,0.0213984236247147,0.298586387434555,0.03743856180527699,0.2421245421245421,0.06764060241746533,57.029999999999994,7.1507653048079,66.1,18.465884459968034,-0.298586387434555,0.03743856180527699,-0.2421245421245421,0.06764060241746533,0.055581395348837215,0.007531756776118523,0.05365853658536586,0.027154417452304278,0.4976190476190475,0.06742762980241092,0.39666666666666667,0.12115697398696869,0.9666622369878184,0.0042925707970557425,0.9772384823848238,0.0071699035387572255,0.8868231471380943,0.01375029775940263,0.907801241003787,0.02466557375895847,0.9444186046511629,0.007531756776118534,0.9463414634146341,0.027154417452304284,0.9143142448959567,0.008563807907626978,0.9263789369489464,0.01972742981041633,86.0,0.0,123.0,0.0,0.952424559700592,0.006174882089553814,0.9548188645664819,0.0213984236247147,0.9004761904761904,0.01348552596048221,0.9206666666666667,0.02423139479739375,0.9253775436733648,0.008162171661904104,0.9371816317455659,0.016827038385473354,105.0,0.0,150.0,0.0,81.22,0.6477310827461933,116.4,3.3399933466334266,4.779999999999999,0.6477310827461931,6.6,3.339993346633426,10.450000000000001,1.4159802258506295,11.9,3.634709219609061,94.55,1.4159802258506293,138.1,3.6347092196090616,0.9444186046511629,0.007531756776118534,0.9463414634146341,0.027154417452304284,0.8868231471380943,0.01375029775940263,0.907801241003787,0.02466557375895847,0.055581395348837215,0.007531756776118523,0.05365853658536586,0.027154417452304278,0.09952380952380953,0.01348552596048219,0.07933333333333334,0.024231394797393748
random_forest_MI,binary,"[0, 1]",2,0.9214659685863873,0.007292349883342456,0.9336996336996337,0.015774088263461456,0.9265806454461698,0.007146902942910169,0.9384255303754692,0.015057683526908778,0.9024761904761904,0.012644329271899186,0.9206666666666667,0.02503331114069143,0.9527892351010883,0.005914380455436248,0.9575081883816121,0.01992181280564476,0.29298429319371727,0.03449339622410464,0.2406593406593407,0.06721165337133271,55.96,6.588238678803985,65.7,18.34878137037383,-0.29298429319371727,0.03449339622410464,-0.2406593406593407,0.06721165337133271,0.05534883720930234,0.007234680679268278,0.050406504065040644,0.02507324337391952,0.48761904761904756,0.06322164635949573,0.39666666666666667,0.12516655570345722,0.9687104097452934,0.004675461418604838,0.9783170731707319,0.0063497380110767694,0.8888961716667534,0.01282937281785174,0.9082307885728719,0.02427380779245433,0.9446511627906975,0.007234680679268253,0.9495934959349593,0.025073243373919526,0.9155016518155824,0.0074584073869,0.9281166496751494,0.016851438877270176,86.0,0.0,123.0,0.0,0.9527892351010883,0.005914380455436248,0.9575081883816121,0.01992181280564476,0.9024761904761904,0.012644329271899186,0.9206666666666667,0.02503331114069143,0.9265806454461698,0.007146902942910169,0.9384255303754692,0.015057683526908778,105.0,0.0,150.0,0.0,81.24000000000001,0.6221825384170718,116.8,3.084008934992101,4.76,0.6221825384170718,6.2,3.084008934992101,10.239999999999998,1.3276545735494103,11.9,3.7549966711037177,94.76,1.3276545735494103,138.1,3.7549966711037177,0.9446511627906975,0.007234680679268253,0.9495934959349593,0.025073243373919526,0.8888961716667534,0.01282937281785174,0.9082307885728719,0.02427380779245433,0.05534883720930234,0.007234680679268278,0.050406504065040644,0.02507324337391952,0.09752380952380954,0.012644329271899148,0.07933333333333333,0.025033311140691447
random_forest_SP,binary,"[0, 1]",2,0.9199476439790576,0.008675069498327529,0.9322344322344323,0.013403234676495818,0.9251933965534059,0.008300375939637769,0.9371897379673495,0.012528709402404492,0.9015238095238096,0.012483902459156185,0.9206666666666667,0.024026734081378693,0.9508447558859763,0.008447540535608521,0.9551242017692356,0.02262798274996511,0.29659685863874347,0.035119968929701186,0.24212454212454215,0.06093884864339688,56.65,6.7079140655729255,66.1,16.63630567964735,-0.29659685863874347,0.035119968929701186,-0.24212454212454215,0.06093884864339688,0.05755813953488372,0.010229180791005151,0.05365853658536586,0.02873140006655517,0.4923809523809524,0.062419512295780834,0.39666666666666667,0.1201336704068934,0.9674341085271319,0.004455666356244689,0.9772249322493224,0.006133823717832065,0.8876233828674847,0.01278857143407812,0.908044095721334,0.023043011992278286,0.9424418604651162,0.010229180791005111,0.9463414634146341,0.028731400066555182,0.9138328716376533,0.009146833125921516,0.9263445509920839,0.01478906910219893,86.0,0.0,123.0,0.0,0.9508447558859763,0.008447540535608521,0.9551242017692356,0.02262798274996511,0.9015238095238096,0.012483902459156185,0.9206666666666667,0.024026734081378693,0.9251933965534059,0.008300375939637769,0.9371897379673495,0.012528709402404492,105.0,0.0,150.0,0.0,81.05000000000001,0.8797095480264413,116.4,3.533962208186286,4.949999999999999,0.879709548026443,6.6,3.533962208186286,10.34,1.3108097582113976,11.9,3.6040101122068027,94.66,1.3108097582113973,138.1,3.6040101122068027,0.9424418604651162,0.010229180791005111,0.9463414634146341,0.028731400066555182,0.8876233828674847,0.01278857143407812,0.908044095721334,0.023043011992278286,0.05755813953488372,0.010229180791005151,0.05365853658536586,0.02873140006655517,0.09847619047619047,0.012483902459156168,0.07933333333333334,0.024026734081378686
extra_trees_SP_RFECV,binary,"[0, 1]",2,0.9155497382198954,0.008133646357986808,0.9293040293040293,0.016476731747076125,0.9215423965498637,0.007761755476343381,0.9346738773359824,0.015155184428080322,0.9028571428571428,0.012441852661755851,0.9206666666666667,0.024026734081378676,0.9417680986663088,0.00880404787749666,0.949833071338972,0.02421169943189539,0.2980628272251309,0.03417925554371338,0.24505494505494507,0.06385381120586564,56.93000000000001,6.528237808849252,66.9,17.432090459201323,-0.2980628272251309,0.03417925554371338,-0.24505494505494507,0.06385381120586564,0.06895348837209303,0.011004612501324557,0.06016260162601626,0.030708326231361074,0.48571428571428565,0.062209263308779135,0.39666666666666667,0.12013367040689339,0.9656854928017718,0.004345345710711688,0.9744850948509486,0.006562771414582833,0.8878079260311663,0.012787569123746534,0.9073648233821059,0.024316274431479004,0.9310465116279071,0.01100461250132448,0.9398373983739837,0.030708326231361067,0.9084737767562375,0.008624562537129662,0.9228941171737102,0.018312799136214062,86.0,0.0,123.0,0.0,0.9417680986663088,0.00880404787749666,0.949833071338972,0.02421169943189539,0.9028571428571428,0.012441852661755851,0.9206666666666667,0.024026734081378676,0.9215423965498637,0.007761755476343381,0.9346738773359824,0.015155184428080322,105.0,0.0,150.0,0.0,80.07,0.9463966751139093,115.6,3.7771241264574114,5.930000000000001,0.9463966751139115,7.4,3.777124126457412,10.2,1.3063945294843615,11.9,3.6040101122068027,94.8,1.3063945294843629,138.1,3.6040101122068027,0.9310465116279071,0.01100461250132448,0.9398373983739837,0.030708326231361067,0.8878079260311663,0.012787569123746534,0.9073648233821059,0.024316274431479004,0.06895348837209303,0.011004612501324557,0.06016260162601626,0.030708326231361074,0.09714285714285713,0.012441852661755829,0.07933333333333334,0.024026734081378683
extra_trees_MI_RFECV,binary,"[0, 1]",2,0.9181675392670157,0.009075211436225458,0.9267399267399268,0.016918689207021984,0.9238615811518913,0.008629967149284675,0.9323675912089417,0.016172556893549666,0.9041904761904764,0.012636356303534749,0.9206666666666667,0.02674987019698515,0.9451677005074565,0.008060743181881345,0.9449082721518949,0.017281243701097206,0.2925130890052356,0.036013813775720264,0.24761904761904763,0.07308077366854854,55.870000000000005,6.878638431162571,67.6,19.951051211513754,-0.2925130890052356,0.036013813775720264,-0.24761904761904763,0.07308077366854854,0.06476744186046511,0.009928081026110029,0.06585365853658535,0.022494857419454884,0.47904761904761906,0.06318178151767359,0.39666666666666667,0.13374935098492585,0.9654623477297897,0.004149816597006244,0.974040650406504,0.007796430257871941,0.8897038672912181,0.013319092679187721,0.9069281431501739,0.027157491798001566,0.9352325581395349,0.009928081026110048,0.9341463414634145,0.022494857419454874,0.9114645137948102,0.009625664710873364,0.9200199269085685,0.0179933886350961,86.0,0.0,123.0,0.0,0.9451677005074565,0.008060743181881345,0.9449082721518949,0.017281243701097206,0.9041904761904764,0.012636356303534749,0.9206666666666667,0.02674987019698515,0.9238615811518913,0.008629967149284675,0.9323675912089417,0.016172556893549666,105.0,0.0,150.0,0.0,80.42999999999999,0.8538149682454657,114.9,2.766867462592951,5.57,0.8538149682454627,8.1,2.766867462592951,10.059999999999999,1.3268174118711453,11.9,4.012480529547776,94.94,1.326817411871144,138.1,4.0124805295477755,0.9352325581395349,0.009928081026110048,0.9341463414634145,0.022494857419454874,0.8897038672912181,0.013319092679187721,0.9069281431501739,0.027157491798001566,0.06476744186046511,0.009928081026110029,0.06585365853658535,0.022494857419454884,0.0958095238095238,0.012636356303534726,0.07933333333333334,0.026749870196985173
