model,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,f1_cv_mean,f1_cv_std,recall_cv_mean,recall_cv_std,precision_cv_mean,precision_cv_std,misclassification_cost_mean_cv_mean,misclassification_cost_mean_cv_std,misclassification_cost_total_cv_mean,misclassification_cost_total_cv_std,misclassification_score_cv_mean,misclassification_score_cv_std,misclassification_cost_mean_true_class_0_cv_mean,misclassification_cost_mean_true_class_0_cv_std,misclassification_cost_mean_true_class_1_cv_mean,misclassification_cost_mean_true_class_1_cv_std,auc_cv_mean,auc_cv_std,precision_class_0_cv_mean,precision_class_0_cv_std,recall_class_0_cv_mean,recall_class_0_cv_std,f1_class_0_cv_mean,f1_class_0_cv_std,support_class_0_cv_mean,support_class_0_cv_std,precision_class_1_cv_mean,precision_class_1_cv_std,recall_class_1_cv_mean,recall_class_1_cv_std,f1_class_1_cv_mean,f1_class_1_cv_std,support_class_1_cv_mean,support_class_1_cv_std,tn_cv_mean,tn_cv_std,fp_cv_mean,fp_cv_std,fn_cv_mean,fn_cv_std,tp_cv_mean,tp_cv_std,specificity_cv_mean,specificity_cv_std,npv_cv_mean,npv_cv_std,fpr_cv_mean,fpr_cv_std,fnr_cv_mean,fnr_cv_std,accuracy_test_mean,accuracy_test_std,f1_test_mean,f1_test_std,recall_test_mean,recall_test_std,precision_test_mean,precision_test_std,misclassification_cost_mean_test_mean,misclassification_cost_mean_test_std,misclassification_cost_total_test_mean,misclassification_cost_total_test_std,misclassification_score_test_mean,misclassification_score_test_std,misclassification_cost_mean_true_class_0_test_mean,misclassification_cost_mean_true_class_0_test_std,misclassification_cost_mean_true_class_1_test_mean,misclassification_cost_mean_true_class_1_test_std,auc_test_mean,auc_test_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_test_mean,support_class_1_test_std,tn_test_mean,tn_test_std,fp_test_mean,fp_test_std,fn_test_mean,fn_test_std,tp_test_mean,tp_test_std,specificity_test_mean,specificity_test_std,npv_test_mean,npv_test_std,fpr_test_mean,fpr_test_std,fnr_test_mean,fnr_test_std,X_Processing,Subdomain,model_type
decision_tree_opt_fold1,binary,"[0, 1]",2,0.8850261780104713,0.011553175896074533,0.8915980539519825,0.01149455555069641,0.8620952380952381,0.020061884605085928,0.9254829593743246,0.01284692727062027,0.4182198952879581,0.0534708532845952,79.87999999999998,10.21293297735768,-0.4182198952879581,0.0534708532845952,0.08697674418604652,0.017236517345348586,0.6895238095238094,0.1003094230254298,0.9391184939091917,0.010593897478910675,0.8462905253150546,0.018147644960095646,0.9130232558139534,0.017236517345348576,0.8772263012672893,0.012076482239367995,86.0,0.0,0.9254829593743246,0.01284692727062027,0.8620952380952381,0.020061884605085928,0.8915980539519825,0.01149455555069641,105.0,0.0,78.52000000000001,1.4823404916999772,7.4799999999999995,1.4823404916999783,14.48,2.106497883534026,90.52000000000001,2.106497883534026,0.9130232558139534,0.017236517345348576,0.8462905253150546,0.018147644960095646,0.08697674418604652,0.017236517345348586,0.13790476190476192,0.020061884605085966,0.8915750915750916,0.01675932594556628,0.8971425018003849,0.015949520538167658,0.8606666666666666,0.021875066137466162,0.9374473483769103,0.023929380818878583,0.4146520146520146,0.06001068839933302,113.2,16.382917933017914,-0.4146520146520146,0.06001068839933302,0.07073170731707316,0.029200463408240604,0.6966666666666667,0.1093753306873308,0.9484769647696478,0.014741162456864833,0.8458073613730734,0.020089383545053796,0.9292682926829269,0.029200463408240604,0.8852873615210374,0.018026680236100778,123.0,0.0,0.9374473483769103,0.023929380818878583,0.8606666666666666,0.021875066137466162,0.8971425018003849,0.015949520538167658,150.0,0.0,114.3,3.5916569992135945,8.7,3.591656999213594,20.9,3.2812599206199238,129.1,3.2812599206199233,0.9292682926829269,0.029200463408240604,0.8458073613730734,0.020089383545053796,0.07073170731707316,0.029200463408240604,0.13933333333333336,0.021875066137466162,X_V06_STATS,examen_motor,decision_tree
decision_tree_opt_fold2,binary,"[0, 1]",2,0.8878534031413613,0.013621065051285111,0.8939369558002879,0.014784864177064882,0.8651428571428571,0.028884353385463676,0.9269047978060598,0.014026811818431625,0.40869109947643983,0.07554610784108189,78.06,14.429306597646642,-0.40869109947643983,0.07554610784108189,0.08441860465116278,0.018015543903143034,0.6742857142857143,0.14442176692731837,0.939203765227021,0.00883300721670878,0.8503234319848035,0.024943205605788835,0.9155813953488373,0.01801554390314303,0.8807116864159348,0.012541816315491502,86.0,0.0,0.9269047978060598,0.014026811818431625,0.8651428571428571,0.028884353385463676,0.8939369558002879,0.014784864177064882,105.0,0.0,78.74,1.549336775670297,7.26,1.549336775670301,14.16,3.0328571054736857,90.84,3.0328571054736844,0.9155813953488373,0.01801554390314303,0.8503234319848035,0.024943205605788835,0.08441860465116278,0.018015543903143034,0.13485714285714284,0.02888435338546367,0.8934065934065935,0.019947587791813798,0.9007089670920104,0.019913198613696007,0.8826666666666666,0.038129085492492824,0.9207694233430075,0.021776803929771982,0.36446886446886445,0.10054186997378319,99.5,27.447930502842812,-0.36446886446886445,0.10054186997378319,0.09349593495934959,0.02848752851169192,0.5866666666666667,0.19064542746246416,0.950140921409214,0.012987077714995354,0.8653832487130103,0.03695731764199785,0.9065040650406505,0.028487528511691906,0.8847604611096817,0.02024785970156266,123.0,0.0,0.9207694233430075,0.021776803929771982,0.8826666666666666,0.038129085492492824,0.9007089670920104,0.019913198613696007,150.0,0.0,111.5,3.5039660069381067,11.5,3.5039660069381067,17.6,5.719362823873924,132.4,5.719362823873925,0.9065040650406505,0.028487528511691906,0.8653832487130103,0.03695731764199785,0.09349593495934959,0.02848752851169192,0.11733333333333333,0.03812908549249283,X_V06_STATS,examen_motor,decision_tree
decision_tree_opt_fold3,binary,"[0, 1]",2,0.8800000000000001,0.011546847122169829,0.8875253610688121,0.011595564211137558,0.8643809523809522,0.01935831263508271,0.9143712717338716,0.009566412420402081,0.4182198952879581,0.053189869451740125,79.88,10.159265065282364,-0.4182198952879581,0.053189869451740125,0.10093023255813953,0.011244318985717053,0.6780952380952381,0.09679156317541338,0.9372569213732003,0.010094283115858449,0.8471162604806706,0.019393174398237973,0.8990697674418605,0.011244318985717055,0.8710071248075624,0.011431586145439728,86.0,0.0,0.9143712717338716,0.009566412420402081,0.8643809523809522,0.01935831263508271,0.8875253610688121,0.011595564211137558,105.0,0.0,77.32000000000001,0.9670114327716662,8.68,0.9670114327716665,14.24,2.0326228266836806,90.76,2.03262282668368,0.8990697674418605,0.011244318985717055,0.8471162604806706,0.019393174398237973,0.10093023255813953,0.011244318985717053,0.1356190476190476,0.019358312635082673,0.8923076923076924,0.018452879596886507,0.8991389204568996,0.01714873398480001,0.874,0.027835495591327523,0.926741263864883,0.027658540886492132,0.38461538461538464,0.07364570866910974,105.0,20.105278466666963,-0.38461538461538464,0.07364570866910974,0.08536585365853658,0.03433295246428165,0.63,0.1391774779566377,0.9483414634146341,0.008999936122959325,0.857037094156679,0.027885884045503045,0.9146341463414634,0.03433295246428165,0.884364506099484,0.02023497999747793,123.0,0.0,0.926741263864883,0.027658540886492132,0.874,0.027835495591327523,0.8991389204568996,0.01714873398480001,150.0,0.0,112.5,4.222953153106642,10.5,4.222953153106642,18.9,4.175324338699131,131.1,4.17532433869913,0.9146341463414634,0.03433295246428165,0.857037094156679,0.027885884045503045,0.08536585365853658,0.03433295246428165,0.12599999999999997,0.027835495591327534,X_V06_STATS,examen_motor,decision_tree
decision_tree_opt_fold4,binary,"[0, 1]",2,0.8881675392670157,0.011574246816181586,0.8941949806390752,0.012096023885063019,0.864952380952381,0.02020704122307821,0.9276723721585448,0.011778790660321456,0.40879581151832467,0.05447755167027124,78.08000000000001,10.405212369021807,-0.40879581151832467,0.05447755167027124,0.08348837209302326,0.014479740358048143,0.6752380952380952,0.101035206115391,0.9406755260243633,0.008239862518577853,0.8502384561380676,0.01754719094393706,0.9165116279069767,0.014479740358048132,0.8810929276279141,0.01125895110935835,86.0,0.0,0.9276723721585448,0.011778790660321456,0.864952380952381,0.02020704122307821,0.8941949806390752,0.012096023885063019,105.0,0.0,78.82,1.2452576707921383,7.18,1.2452576707921401,14.179999999999998,2.121739328423211,90.82000000000001,2.1217393284232107,0.9165116279069767,0.014479740358048132,0.8502384561380676,0.01754719094393706,0.08348837209302326,0.014479740358048143,0.13504761904761906,0.0202070412230782,0.8930402930402931,0.01974853882213012,0.9000045357557844,0.01963294252677596,0.8786666666666665,0.03972746663126497,0.9240540163975177,0.0264160467178551,0.37362637362637363,0.10265127988758828,102.0,28.023799409311604,-0.37362637362637363,0.10265127988758828,0.08943089430894309,0.034064512438960796,0.6066666666666667,0.19863733315632484,0.950509485094851,0.012586226113269917,0.8621631648510599,0.0378795159400346,0.9105691056910569,0.03406451243896079,0.8848080023368394,0.020281984077194278,123.0,0.0,0.9240540163975177,0.0264160467178551,0.8786666666666665,0.03972746663126497,0.9000045357557844,0.01963294252677596,150.0,0.0,112.0,4.189935029992179,11.0,4.189935029992179,18.2,5.959119994689746,131.8,5.959119994689745,0.9105691056910569,0.03406451243896079,0.8621631648510599,0.0378795159400346,0.08943089430894309,0.034064512438960796,0.12133333333333333,0.03972746663126497,X_V06_STATS,examen_motor,decision_tree
decision_tree_opt_fold5,binary,"[0, 1]",2,0.8878534031413613,0.013621065051285111,0.8939369558002879,0.014784864177064882,0.8651428571428571,0.028884353385463676,0.9269047978060598,0.014026811818431625,0.40869109947643983,0.07554610784108189,78.06,14.429306597646642,-0.40869109947643983,0.07554610784108189,0.08441860465116278,0.018015543903143034,0.6742857142857143,0.14442176692731837,0.939203765227021,0.00883300721670878,0.8503234319848035,0.024943205605788835,0.9155813953488373,0.01801554390314303,0.8807116864159348,0.012541816315491502,86.0,0.0,0.9269047978060598,0.014026811818431625,0.8651428571428571,0.028884353385463676,0.8939369558002879,0.014784864177064882,105.0,0.0,78.74,1.549336775670297,7.26,1.549336775670301,14.16,3.0328571054736857,90.84,3.0328571054736844,0.9155813953488373,0.01801554390314303,0.8503234319848035,0.024943205605788835,0.08441860465116278,0.018015543903143034,0.13485714285714284,0.02888435338546367,0.8934065934065935,0.019947587791813798,0.9007089670920104,0.019913198613696007,0.8826666666666666,0.038129085492492824,0.9207694233430075,0.021776803929771982,0.36446886446886445,0.10054186997378319,99.5,27.447930502842812,-0.36446886446886445,0.10054186997378319,0.09349593495934959,0.02848752851169192,0.5866666666666667,0.19064542746246416,0.950140921409214,0.012987077714995354,0.8653832487130103,0.03695731764199785,0.9065040650406505,0.028487528511691906,0.8847604611096817,0.02024785970156266,123.0,0.0,0.9207694233430075,0.021776803929771982,0.8826666666666666,0.038129085492492824,0.9007089670920104,0.019913198613696007,150.0,0.0,111.5,3.5039660069381067,11.5,3.5039660069381067,17.6,5.719362823873924,132.4,5.719362823873925,0.9065040650406505,0.028487528511691906,0.8653832487130103,0.03695731764199785,0.09349593495934959,0.02848752851169192,0.11733333333333333,0.03812908549249283,X_V06_STATS,examen_motor,decision_tree
decision_tree_opt_fold6,binary,"[0, 1]",2,0.8843979057591623,0.00998523255619614,0.8921710202060849,0.009425535315992115,0.8693333333333333,0.021233325679825745,0.9181423073859374,0.020600922025041844,0.4029319371727749,0.05064523112543666,76.96000000000001,9.673239144958401,-0.4029319371727749,0.05064523112543666,0.0972093023255814,0.028499312353794506,0.6533333333333333,0.10616662839912881,0.9345326688815062,0.008369123833918005,0.8510918463594118,0.017575279018907406,0.9027906976744188,0.028499312353794503,0.8750500166219798,0.011761030112484845,86.0,0.0,0.9181423073859374,0.020600922025041844,0.8693333333333333,0.021233325679825745,0.8921710202060849,0.009425535315992115,105.0,0.0,77.63999999999999,2.4509408624263287,8.36,2.4509408624263274,13.719999999999999,2.2294991963817044,91.28,2.2294991963817052,0.9027906976744188,0.028499312353794503,0.8510918463594118,0.017575279018907406,0.0972093023255814,0.028499312353794506,0.13066666666666665,0.021233325679825766,0.906959706959707,0.016124614426587715,0.9123266609115088,0.01658717943093353,0.8833333333333334,0.03002056908023622,0.943947506864663,0.012675849436936426,0.34945054945054943,0.08082991194689501,95.4,22.066565961502334,-0.34945054945054943,0.08082991194689501,0.06422764227642278,0.016009816246874718,0.5833333333333334,0.15010284540118107,0.9524552845528456,0.005671770132181982,0.8689429380407511,0.027794072453244598,0.9357723577235773,0.0160098162468747,0.9008062016854502,0.015674224002377547,123.0,0.0,0.943947506864663,0.012675849436936426,0.8833333333333334,0.03002056908023622,0.9123266609115088,0.01658717943093353,150.0,0.0,115.1,1.9692073983655907,7.9,1.9692073983655907,17.5,4.503085362035432,132.5,4.503085362035432,0.9357723577235773,0.0160098162468747,0.8689429380407511,0.027794072453244598,0.06422764227642278,0.016009816246874718,0.11666666666666665,0.030020569080236207,X_V06_STATS,examen_motor,decision_tree
decision_tree_opt_fold7,binary,"[0, 1]",2,0.8906806282722514,0.009637553845960075,0.8972389309011863,0.008990659114356007,0.8685714285714285,0.014140353937346122,0.929317574327789,0.01535095083923613,0.39832460732984293,0.03655835158661948,76.08000000000001,6.98264515304432,-0.39832460732984293,0.03655835158661948,0.08232558139534885,0.0203685766200496,0.6571428571428573,0.07070176968673042,0.9390033222591361,0.006432160876399805,0.8523167341651288,0.012533305814312423,0.9176744186046513,0.020368576620049608,0.8829938967082038,0.010852944293501362,86.0,0.0,0.929317574327789,0.01535095083923613,0.8685714285714285,0.014140353937346122,0.8972389309011863,0.008990659114356007,105.0,0.0,78.91999999999999,1.7516975893242661,7.08,1.7516975893242657,13.8,1.4847371634213389,91.19999999999999,1.4847371634213398,0.9176744186046513,0.020368576620049608,0.8523167341651288,0.012533305814312423,0.08232558139534885,0.0203685766200496,0.13142857142857142,0.014140353937346084,0.9109890109890111,0.012576905281385194,0.9156426939391029,0.013318221420828457,0.8813333333333334,0.02824933081257015,0.9534809052222,0.0126112045229724,0.3498168498168498,0.07359001809672362,95.5,20.09007494040555,-0.3498168498168498,0.07359001809672362,0.05284552845528455,0.015449531505408372,0.5933333333333334,0.1412466540628507,0.9564037940379405,0.009291868021312053,0.8683617884042798,0.025518240879145882,0.9471544715447155,0.015449531505408369,0.9057096950768043,0.01179639280120049,123.0,0.0,0.9534809052222,0.0126112045229724,0.8813333333333334,0.02824933081257015,0.9156426939391029,0.013318221420828457,150.0,0.0,116.5,1.90029237516523,6.5,1.90029237516523,17.8,4.237399621885521,132.2,4.237399621885521,0.9471544715447155,0.015449531505408369,0.8683617884042798,0.025518240879145882,0.05284552845528455,0.015449531505408372,0.11866666666666667,0.02824933081257014,X_V06_STATS,examen_motor,decision_tree
decision_tree_opt_fold8,binary,"[0, 1]",2,0.8830366492146595,0.012910239385091126,0.8909651401749962,0.013199058754649159,0.8718095238095238,0.023138480218411885,0.912881121156013,0.010706810052087658,0.398848167539267,0.06237660778624771,76.18,11.913932087173308,-0.398848167539267,0.06237660778624771,0.10325581395348837,0.014838432389464062,0.6409523809523809,0.11569240109205949,0.9361140642303434,0.010696848280132317,0.8535199003387287,0.02115411363680156,0.8967441860465117,0.014838432389464041,0.8735366620623675,0.01288761554626726,86.0,0.0,0.912881121156013,0.010706810052087658,0.8718095238095238,0.023138480218411885,0.8909651401749962,0.013199058754649159,105.0,0.0,77.11999999999999,1.276105185493909,8.879999999999999,1.2761051854939092,13.459999999999999,2.4295404229332482,91.54,2.4295404229332482,0.8967441860465117,0.014838432389464041,0.8535199003387287,0.02115411363680156,0.10325581395348837,0.014838432389464062,0.1281904761904762,0.023138480218411882,0.8846153846153847,0.018617766400460204,0.8919047774967593,0.016244112248994386,0.8653333333333333,0.021499353995462777,0.9211850791247214,0.03291184750986932,0.41135531135531134,0.0558212594458679,112.3,15.239203828721935,-0.41135531135531134,0.0558212594458679,0.091869918699187,0.041641045728468315,0.6733333333333332,0.107496769977314,0.9423577235772358,0.020962584665956612,0.8473023376398825,0.020364039938505576,0.9081300813008131,0.04164104572846831,0.8761235367227964,0.021878574784230147,123.0,0.0,0.9211850791247214,0.03291184750986932,0.8653333333333333,0.021499353995462777,0.8919047774967593,0.016244112248994386,150.0,0.0,111.7,5.121848624601603,11.3,5.121848624601602,20.2,3.2249030993194197,129.8,3.2249030993194197,0.9081300813008131,0.04164104572846831,0.8473023376398825,0.020364039938505576,0.091869918699187,0.041641045728468315,0.13466666666666666,0.021499353995462798,X_V06_STATS,examen_motor,decision_tree
decision_tree_opt_fold9,binary,"[0, 1]",2,0.8855497382198954,0.009748785451080487,0.8932940182999165,0.009454202370752292,0.8714285714285713,0.022595504316538742,0.9184399245749806,0.02023891111891108,0.39717277486910996,0.05391071564794429,75.85999999999999,10.296946688757355,-0.39717277486910996,0.05391071564794429,0.0972093023255814,0.028414844733658257,0.6428571428571428,0.11297752158269357,0.9319468438538208,0.008609413824021177,0.8536344442720919,0.018893013607487897,0.9027906976744186,0.028414844733658247,0.8761769305506297,0.011292819250783443,86.0,0.0,0.9184399245749806,0.02023891111891108,0.8714285714285713,0.022595504316538742,0.8932940182999165,0.009454202370752292,105.0,0.0,77.64000000000001,2.4436766470946103,8.360000000000001,2.4436766470946103,13.5,2.3725279532365655,91.5,2.372527953236566,0.9027906976744186,0.028414844733658247,0.8536344442720919,0.018893013607487897,0.0972093023255814,0.028414844733658257,0.1285714285714286,0.022595504316538725,0.9054945054945055,0.015617364547320604,0.9111921903484499,0.016448801687859595,0.8853333333333333,0.03538849642203446,0.9398112710280996,0.01781228268537836,0.3465201465201465,0.09137462796114097,94.6,24.945273433391478,-0.3465201465201465,0.09137462796114097,0.06991869918699187,0.023059129957921566,0.5733333333333335,0.1769424821101723,0.9529647696476966,0.0061582671833679044,0.8708206868096449,0.03239932702109886,0.9300813008130083,0.023059129957921545,0.8988623814399019,0.014796482824051022,123.0,0.0,0.9398112710280996,0.01781228268537836,0.8853333333333333,0.03538849642203446,0.9111921903484499,0.016448801687859595,150.0,0.0,114.4,2.836272984824353,8.6,2.836272984824353,17.2,5.308274463305168,132.8,5.308274463305168,0.9300813008130083,0.023059129957921545,0.8708206868096449,0.03239932702109886,0.06991869918699187,0.023059129957921566,0.11466666666666667,0.03538849642203446,X_V06_STATS,examen_motor,decision_tree
decision_tree_opt_fold10,binary,"[0, 1]",2,0.8834554973821989,0.007727121213160305,0.8893562176247899,0.007835865387399448,0.8550476190476191,0.014821011553598776,0.9286997128785688,0.011569217574797657,0.4352879581151832,0.03807914347503185,83.14,7.2731164037310885,-0.4352879581151832,0.03807914347503185,0.08186046511627906,0.014740916991013597,0.7247619047619047,0.07410505776799371,0.9375060908084165,0.009362764570348804,0.8404621628146737,0.012867706946469718,0.918139534883721,0.014740916991013616,0.8765591265992722,0.007954158182888355,86.0,0.0,0.9286997128785688,0.011569217574797657,0.8550476190476191,0.014821011553598776,0.8893562176247899,0.007835865387399448,105.0,0.0,78.96000000000001,1.2677188612271684,7.039999999999999,1.2677188612271695,15.219999999999999,1.5562062131278676,89.78,1.5562062131278682,0.918139534883721,0.014740916991013616,0.8404621628146737,0.012867706946469718,0.08186046511627906,0.014740916991013597,0.14495238095238094,0.014821011553598749,0.8941391941391942,0.01331395318538117,0.9005423574934914,0.011131708485495035,0.8713333333333333,0.02267320167232836,0.9331375844090146,0.03193998859113935,0.3886446886446887,0.05020824721730142,106.1,13.70685149032329,-0.3886446886446887,0.05020824721730142,0.07804878048780488,0.042539657171487444,0.6433333333333333,0.11336600836164187,0.950750677506775,0.007300650154318135,0.8553555735869276,0.01842316743320521,0.921951219512195,0.042539657171487465,0.8866443619491868,0.016908318161534337,123.0,0.0,0.9331375844090146,0.03193998859113935,0.8713333333333333,0.02267320167232836,0.9005423574934914,0.011131708485495035,150.0,0.0,113.4,5.232377832092955,9.6,5.232377832092955,19.3,3.400980250849256,130.7,3.4009802508492553,0.921951219512195,0.042539657171487465,0.8553555735869276,0.01842316743320521,0.07804878048780488,0.042539657171487444,0.12866666666666665,0.022673201672328367,X_V06_STATS,examen_motor,decision_tree
