modelo,n_samples,n_samples_evaluadas,n_clusters,samples_por_grupo,silhouette,calinski_harabasz,davies_bouldin,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info,normalized_mutual_info,Subdomain,LDA_components
agglo,909,909,3,"{0: 478, 1: 334, 2: 97}",0.560165216402817,1096.8901281985504,0.8017681518593262,0.6271673961520642,0.5292476391911414,0.574061826673889,0.5825074764889343,0.5729455322991601,0.5740618266738892,examen_motor,2
kmeans,909,909,3,"{0: 479, 1: 358, 2: 72}",0.5760832657875807,1212.763542299782,0.6969287794468846,0.6366037550050261,0.5604825791445089,0.5961229433828379,0.6173486116322784,0.5950303762766541,0.5961229433828379,examen_motor,2
gmm,909,909,3,"{0: 419, 1: 74, 2: 416}",0.5401138219972798,1017.8370440420457,0.7664128433714655,0.6221877030399713,0.5397490574470389,0.5780438965201619,0.6733432554446346,0.5769125201129252,0.5780438965201617,examen_motor,2
agglo,909,909,3,"{0: 464, 1: 325, 2: 120}",0.48492394324099486,784.0846076124562,0.9137145681464965,0.4391987065919154,0.3578759949594786,0.3943888165075911,0.4447426444395009,0.3928414538764124,0.3943888165075911,impacto_motor,2
kmeans,909,909,3,"{0: 316, 1: 479, 2: 114}",0.4934788106406459,862.4550861821708,0.8439330860920656,0.45025485575429675,0.37183446290424627,0.40730433703388447,0.43563058183190834,0.40577639957130085,0.40730433703388447,impacto_motor,2
gmm,909,909,3,"{0: 369, 1: 90, 2: 450}",0.4105778138827819,609.2471892880824,0.9578811493706438,0.4147207924053815,0.3505771627059905,0.3799608707839818,0.44186754496584957,0.378330944835216,0.3799608707839817,impacto_motor,2
agglo,909,909,3,"{0: 340, 1: 370, 2: 199}",0.359634954521021,546.2401768106832,0.9456480478163996,0.144572599863681,0.10808660785320422,0.12369517065290461,0.14917370535348093,0.1215830604543653,0.1236951706529046,non_motor,2
kmeans,909,909,3,"{0: 304, 1: 445, 2: 160}",0.3958776404134615,622.3796528216876,0.8788259762911313,0.13880313451793416,0.108291829288528,0.1216637127392202,0.14141753296800752,0.11948723852178005,0.12166371273922022,non_motor,2
gmm,909,909,3,"{0: 121, 1: 262, 2: 526}",0.3741827263803217,440.1329310083055,1.1154980426641936,0.13272553687722582,0.11213410392574912,0.12156400374504563,0.1326222524212995,0.11927267132850575,0.12156400374504564,non_motor,2
agglo,909,909,3,"{0: 434, 1: 398, 2: 77}",0.553208542739325,873.0437229769807,1.0288603776856113,0.6044156858071185,0.521614369410739,0.5599706781418771,0.6537941320458402,0.5587954601889084,0.5599706781418771,MOTOR,2
kmeans,909,909,3,"{0: 31, 1: 477, 2: 401}",0.5872498223422458,1214.958809276166,0.5854687354137647,0.6637794562716302,0.6495531176596301,0.6565892353816214,0.6888306694402867,0.6556051402805966,0.6565892353816214,MOTOR,2
gmm,909,909,3,"{0: 408, 1: 463, 2: 38}",0.550564285156499,958.9253101678456,0.7292358720100723,0.6302959331506743,0.6010843462253102,0.6153436517569323,0.722423778140359,0.6142514458733286,0.6153436517569323,MOTOR,2
agglo,909,909,3,"{0: 412, 1: 438, 2: 59}",0.565926545849738,951.9315443215439,0.9391008064410359,0.6440409793078998,0.5781669630156162,0.609328747048001,0.7083119700412687,0.6082560907906587,0.6093287470480011,FULL,2
kmeans,909,909,3,"{0: 32, 1: 409, 2: 468}",0.585681865418917,1232.6168648099456,0.5824284766419796,0.6880498990620684,0.6697386460504096,0.6787707989903202,0.715763202698131,0.6778520013866479,0.6787707989903203,FULL,2
gmm,909,909,3,"{0: 411, 1: 472, 2: 26}",0.5556256208477427,1059.2676818712423,0.5750896156117776,0.6711786315997719,0.6680794890177087,0.6696254744858896,0.7523596476044626,0.6686763058323402,0.6696254744858896,FULL,2
