modelo,n_samples,n_samples_evaluadas,n_clusters,samples_por_grupo,silhouette,calinski_harabasz,davies_bouldin,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info,normalized_mutual_info,Subdomain
agglo,909,909,3,"{0: 473, 1: 313, 2: 123}",0.19830808119127455,116.5285212057848,3.060560239519843,0.5265626099695833,0.42933564642346267,0.47300452118569497,0.48743041139316534,0.47165827116501685,0.47300452118569497,examen_motor
kmeans,909,909,3,"{0: 470, 1: 170, 2: 269}",0.20910752784850137,132.7835878406612,3.0647740995929404,0.5403161267019931,0.4243783944983569,0.4753805175260063,0.47250638350101587,0.47407623115735614,0.4753805175260063,examen_motor
gmm,909,909,3,"{0: 173, 1: 519, 2: 217}",0.2561076286425563,136.62422890387987,2.75376169152651,0.49000572340149046,0.39952110289733617,0.44016126608328854,0.3928339850830718,0.4387381192835967,0.44016126608328854,examen_motor
agglo,909,909,3,"{0: 322, 1: 576, 2: 11}",0.17078018682237403,90.72964081905737,2.238681077446486,0.16851856193275452,0.18916634254871134,0.17824649356450264,0.17345779710451112,0.17586909831647524,0.17824649356450262,impacto_motor
kmeans,909,909,3,"{0: 266, 1: 72, 2: 571}",0.26262751666993167,145.34985858437543,2.4792198216767076,0.2575253383819061,0.24080348091282192,0.2488838514030986,0.2270793893096422,0.2467837443063359,0.24888385140309863,impacto_motor
gmm,909,909,3,"{0: 644, 1: 66, 2: 199}",0.2735646037836838,120.79808039828481,2.684535358787906,0.16461550786669843,0.17105412304175704,0.16777306461120345,0.115141208146975,0.1653064982401685,0.16777306461120345,impacto_motor
agglo,909,909,3,"{0: 368, 1: 515, 2: 26}",0.05994880391905154,50.92796111854191,3.168089997558488,0.024342713829429628,0.024574111096822945,0.024457865159663337,0.016873455390902747,0.02163467115347467,0.02445786515966334,non_motor
kmeans,909,909,3,"{0: 90, 1: 492, 2: 327}",0.12455541345825673,89.83492421757116,2.9656968260219205,0.02119611268864277,0.0181877294710386,0.019577021553947964,0.01781972707589893,0.016977926093926676,0.019577021553947964,non_motor
gmm,909,909,3,"{0: 646, 1: 199, 2: 64}",0.16614419446499112,60.14044440665643,3.683146158975456,0.017637735156766164,0.01844903023604561,0.018034263013628853,0.020087850334394954,0.015112279735385977,0.018034263013628857,non_motor
agglo,909,909,3,"{0: 483, 1: 360, 2: 66}",0.15275066465886908,97.74883040516828,3.0746208293513733,0.5582235406431705,0.4981736017534418,0.5264918290007272,0.5416516040917498,0.5251987107661268,0.5264918290007272,MOTOR
kmeans,909,909,3,"{0: 308, 1: 474, 2: 127}",0.19794958260462012,120.271651260041,3.0414850145981034,0.5402069986593111,0.4388717084721727,0.48429521897139594,0.5016270684468366,0.4829814653739867,0.48429521897139594,MOTOR
gmm,909,909,3,"{0: 121, 1: 309, 2: 479}",0.20135946813810282,120.32958505419751,3.02834851290031,0.5512704328646232,0.45173068283113094,0.49656130021312506,0.5109734893691028,0.4952710424890937,0.496561300213125,MOTOR
