,model,target_binary,class_0_label,class_1_label,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_test_mean,precision_test_std,mae_cv_mean,mae_cv_std,mae_test_mean,mae_test_std,qwk_cv_mean,qwk_cv_std,qwk_test_mean,qwk_test_std,auc_cv_mean,auc_cv_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std
0,decision_tree,y > 0,y == 0,y > 0,0.8506282722513088,0.01181347480897836,0.8615384615384615,0.022032221867916885,0.8636037371254028,0.011311916248734509,0.8730310812008364,0.01876523364998699,0.8612380952380951,0.016834678482135455,0.8653333333333334,0.024302618870208556,0.8674634122619951,0.010345816017959671,0.8819113218756373,0.033575625752074116,0.1493717277486911,0.011813474808978408,0.13846153846153847,0.0220322218679169,0.698457681110735,0.023660062682003026,0.7207661290883574,0.045237509907850755,0.8494562569213733,0.011603465262124186,0.8611219512195122,0.023616569998790988,0.8334225328597007,0.017222862706731276,0.8397369959189993,0.024771664180570266,0.8376744186046512,0.01436934153269273,0.8569105691056912,0.04712642844289247,0.8345051847799668,0.012699215164408745,0.8475225386894156,0.026937044385382563,86.0,0.0,123.0,0.0,0.8674634122619951,0.010345816017959671,0.8819113218756373,0.033575625752074116,0.8612380952380951,0.016834678482135455,0.8653333333333334,0.024302618870208556,0.8636037371254028,0.011311916248734509,0.8730310812008364,0.01876523364998699,105.0,0.0,150.0,0.0
1,decision_tree,y > 1,y <= 1,y > 1,0.9613089005235601,0.004472959943443847,0.9619047619047618,0.010244775073701116,0.2932872478398794,0.08733704299667507,0.316499027288501,0.1372843110001837,0.326,0.10500793620801557,0.34285714285714286,0.1535668142533057,0.2990036075036075,0.09157647906542593,0.3186904761904762,0.1857007609374523,0.03869109947643979,0.004472959943443864,0.03809523809523809,0.010244775073701112,0.2745299904302078,0.08945752867018104,0.2976292731164135,0.14102143015889235,0.6521935483870969,0.052929868911445,0.6605263157894736,0.07564190457695623,0.9818633716962166,0.0028140459087056787,0.9826509277743962,0.003956024265239598,0.9783870967741937,0.0029206521559087414,0.9781954887218044,0.01075068199976301,0.9800768544557776,0.0023029348090672246,0.9803837574908183,0.005357899805193242,186.0,0.0,266.0,0.0,0.2990036075036075,0.09157647906542593,0.3186904761904762,0.1857007609374523,0.326,0.10500793620801557,0.34285714285714286,0.1535668142533057,0.2932872478398794,0.08733704299667507,0.316499027288501,0.1372843110001837,5.0,0.0,7.0,0.0
2,random_forest,y > 0,y == 0,y > 0,0.9168586387434555,0.0053152751124240834,0.9234432234432235,0.011117147389587344,0.9243555182922749,0.005005987644061259,0.9295944318292676,0.009893984787017508,0.9244761904761905,0.00903563673276765,0.9193333333333336,0.013498971154211047,0.9248333059598435,0.006508463027711601,0.9404104955456163,0.018501468163565248,0.0831413612565445,0.0053152751124241095,0.07655677655677656,0.011117147389587335,0.8320526369608414,0.01067311149632436,0.8457221357345552,0.02258923845384053,0.968300664451827,0.004933878615400468,0.9671463414634147,0.008186415785741223,0.9085570603609983,0.009613779093982557,0.9044489897501234,0.01405298878460119,0.9075581395348837,0.008825812043981186,0.9284552845528455,0.024178545282596702,0.9076287445251656,0.005760349364573859,0.9160747702245124,0.01281184274869855,86.0,0.0,123.0,0.0,0.9248333059598435,0.006508463027711601,0.9404104955456163,0.018501468163565248,0.9244761904761905,0.00903563673276765,0.9193333333333336,0.013498971154211047,0.9243555182922749,0.005005987644061259,0.9295944318292676,0.009893984787017508,105.0,0.0,150.0,0.0
3,random_forest,y > 1,y <= 1,y > 1,0.9738219895287958,0.0,0.9743589743589742,1.1702778228589004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02617801047120419,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.9268817204301076,0.023058172535274517,0.9091031149301825,0.04161050511838906,0.9738219895287958,0.0,0.9743589743589742,1.1702778228589004e-16,1.0,0.0,1.0,0.0,0.986737400530504,0.0,0.9870129870129871,1.1702778228589004e-16,186.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0
4,extra_trees,y > 0,y == 0,y > 0,0.916282722513089,0.006177369545046603,0.9227106227106228,0.015583917499034901,0.9239573144497335,0.005902271306884997,0.9288973515380015,0.014278636142000404,0.9258095238095239,0.011281683918560055,0.9186666666666667,0.020073937405575476,0.922688640550018,0.006539116652633816,0.9398303374637518,0.02193281951220068,0.083717277486911,0.00617736954504662,0.07728937728937729,0.015583917499034908,0.8308269464407742,0.012362276263325827,0.8442537530166525,0.031461665033354284,0.9697746400885936,0.004457503091202303,0.9686612466124661,0.008550012143887323,0.9098158245851111,0.012079729076134903,0.903880608870258,0.021332182047968575,0.9046511627906977,0.00910646521276796,0.9276422764227643,0.028280531920205024,0.90679736031305,0.006567201452236383,0.9152879073191157,0.017331704946594455,86.0,0.0,123.0,0.0,0.922688640550018,0.006539116652633816,0.9398303374637518,0.02193281951220068,0.9258095238095239,0.011281683918560055,0.9186666666666667,0.020073937405575476,0.9239573144497335,0.005902271306884997,0.9288973515380015,0.014278636142000404,105.0,0.0,150.0,0.0
5,extra_trees,y > 1,y <= 1,y > 1,0.9741361256544504,0.0004415047344039428,0.9743589743589742,1.1702778228589004e-16,0.019999999999999997,0.02810913475705226,0.0,0.0,0.012,0.016865480854231358,0.0,0.0,0.06,0.08432740427115679,0.0,0.0,0.025863874345549737,0.00044150473440396327,0.02564102564102564,0.0,0.019647887323943663,0.027614255624005567,0.0,0.0,0.9548924731182795,0.016243737879891855,0.9437164339419979,0.031295107963666205,0.9741295122623311,0.0004322098978902394,0.9743589743589742,1.1702778228589004e-16,1.0,0.0,1.0,0.0,0.9868948586263334,0.0002213005417128364,0.9870129870129871,1.1702778228589004e-16,186.0,0.0,266.0,0.0,0.06,0.08432740427115679,0.0,0.0,0.012,0.016865480854231358,0.0,0.0,0.019999999999999997,0.02810913475705226,0.0,0.0,5.0,0.0,7.0,0.0
6,xgboost,y > 0,y == 0,y > 0,0.917958115183246,0.008560560769715321,0.9212454212454213,0.011090294337353462,0.9240345783520791,0.008073969799046683,0.92670309190498,0.010483160154274179,0.9089523809523812,0.010860669621197949,0.9066666666666668,0.02154524381073923,0.9403442315628698,0.007561346060552805,0.9482576272069883,0.01857407631983961,0.08204188481675392,0.008560560769715314,0.07875457875457877,0.011090294337353448,0.8349047924786536,0.017172806066612013,0.8416950590577127,0.022273786837425244,0.9663798449612404,0.005101375778824481,0.9678807588075881,0.008265783067058632,0.894057119150888,0.011557950032238066,0.8925420178265355,0.021076040610470664,0.9289534883720931,0.009453710057757128,0.9390243902439023,0.023703056483111,0.9107309929571679,0.009191981300892762,0.9148435597665054,0.01206200733011744,86.0,0.0,123.0,0.0,0.9403442315628698,0.007561346060552805,0.9482576272069883,0.01857407631983961,0.9089523809523812,0.010860669621197949,0.9066666666666668,0.02154524381073923,0.9240345783520791,0.008073969799046683,0.92670309190498,0.010483160154274179,105.0,0.0,150.0,0.0
7,xgboost,y > 1,y <= 1,y > 1,0.9781675392670157,0.002080378788158546,0.9783882783882785,0.004031153606646937,0.34038888888888896,0.10852527362700831,0.3488888888888889,0.17410953145580102,0.25,0.09006170724070865,0.24285714285714283,0.13552618543578768,0.6131666666666666,0.14877784001326388,0.7266666666666667,0.34633887636814703,0.021832460732984293,0.0020803787881585488,0.021611721611721615,0.00403115360664693,0.33394262909424366,0.10751701577757856,0.3417986241720127,0.17249059734751432,0.9364516129032259,0.021930622367550147,0.9169172932330827,0.04361385051029071,0.9802205159527475,0.0023222548294395988,0.9804341511088058,0.0034186334637044875,0.9977419354838709,0.0012621374094379026,0.9977443609022556,0.0031702031680886237,0.9888936619112327,0.001047813565601434,0.9890074105910832,0.0020480823963825354,186.0,0.0,266.0,0.0,0.6131666666666666,0.14877784001326388,0.7266666666666667,0.34633887636814703,0.25,0.09006170724070865,0.24285714285714283,0.13552618543578768,0.34038888888888896,0.10852527362700831,0.3488888888888889,0.17410953145580102,5.0,0.0,7.0,0.0
8,adaboost,y > 0,y == 0,y > 0,0.9102094240837697,0.007102988280966422,0.9124542124542125,0.01189458254257148,0.9165347236367962,0.007031494649676722,0.9183614205810615,0.010931202305389964,0.8981904761904762,0.011642183575153788,0.8959999999999999,0.01942379856303302,0.9364488060767723,0.005489754526436943,0.942530115934872,0.022389121408690406,0.08979057591623038,0.007102988280966394,0.08754578754578754,0.011894582542571476,0.8194625916396825,0.01409361395630841,0.8240952662154486,0.024052351503891897,0.9611057585825028,0.006460910675562388,0.9683848238482383,0.006896700397105674,0.8825201649336449,0.011822346057281606,0.8808112112090913,0.018018666776813505,0.9248837209302326,0.006695448955562542,0.9325203252032519,0.028947859497510196,0.9027391619223024,0.007172654853491108,0.9055409714156024,0.01345215237284373,86.0,0.0,123.0,0.0,0.9364488060767723,0.005489754526436943,0.942530115934872,0.022389121408690406,0.8981904761904762,0.011642183575153788,0.8959999999999999,0.01942379856303302,0.9165347236367962,0.007031494649676722,0.9183614205810615,0.010931202305389964,105.0,0.0,150.0,0.0
9,adaboost,y > 1,y <= 1,y > 1,0.9758115183246074,0.0027126505029983206,0.976190476190476,0.003956496152874138,0.31849350649350644,0.09079026337962123,0.3024747474747475,0.15429629534113887,0.246,0.07947046970765655,0.21428571428571427,0.12140522651411392,0.5312857142857143,0.15231414706229252,0.5933333333333333,0.33436876220096046,0.02418848167539267,0.002712650502998317,0.02380952380952381,0.00395649615287415,0.3099225388719608,0.09091186310066347,0.29407503785402767,0.15283450818136332,0.9072043010752688,0.03263208103355922,0.9023093447905477,0.059372500967979615,0.9800732528948565,0.0020644622699423267,0.9796783863731571,0.0030592063907377925,0.9954301075268818,0.002047250834909654,0.9962406015037594,0.003544394893165678,0.9876785398614153,0.0013844310568514647,0.9878838371651291,0.0020170253087489006,186.0,0.0,266.0,0.0,0.5312857142857143,0.15231414706229252,0.5933333333333333,0.33436876220096046,0.246,0.07947046970765655,0.21428571428571427,0.12140522651411392,0.31849350649350644,0.09079026337962123,0.3024747474747475,0.15429629534113887,5.0,0.0,7.0,0.0
