,model,target_binary,class_0_label,class_1_label,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_test_mean,precision_test_std,mae_cv_mean,mae_cv_std,mae_test_mean,mae_test_std,qwk_cv_mean,qwk_cv_std,qwk_test_mean,qwk_test_std,auc_cv_mean,auc_cv_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std
0,decision_tree,y > 0,y == 0,y > 0,0.8645026178010472,0.010493867272422637,0.8699633699633701,0.01711580679960462,0.8767373051719117,0.009551793310927982,0.8806403247631192,0.015962673068409882,0.8772380952380953,0.01213387986442817,0.8733333333333333,0.021314806770278773,0.8773799081202089,0.011616394079990057,0.8883851719706776,0.01875242826750885,0.13549738219895285,0.010493867272422623,0.13003663003663002,0.017115806799604626,0.726257494851689,0.021249228201237376,0.7378402199653323,0.03444149163252142,0.8630957918050941,0.010706182540997608,0.8695934959349593,0.017267828246424942,0.8512611946847144,0.01283911193344881,0.8489679611860209,0.022071677711982436,0.8489534883720931,0.015966451969246873,0.8658536585365854,0.0246150435292479,0.8492883940040802,0.011938895351476238,0.8571220126930557,0.018747833985464674,86.0,0.0,123.0,0.0,0.8773799081202089,0.011616394079990057,0.8883851719706776,0.01875242826750885,0.8772380952380953,0.01213387986442817,0.8733333333333333,0.021314806770278773,0.8767373051719117,0.009551793310927982,0.8806403247631192,0.015962673068409882,105.0,0.0,150.0,0.0
1,decision_tree,y > 1,y <= 1,y > 1,0.9566492146596858,0.0052576614977991615,0.9615384615384615,0.009338863578008776,0.24566527590057005,0.05111749383704084,0.2830194805194805,0.10558196679716353,0.2800000000000001,0.05962847939999439,0.3142857142857143,0.1756103706151026,0.2486919191919192,0.06955813508842902,0.2911219336219336,0.10932866154459946,0.043350785340314134,0.005257661497799104,0.03846153846153846,0.009338863578008763,0.22497111987434187,0.05167115474566941,0.264485622215559,0.10630281319732092,0.6274193548387097,0.029128121742840206,0.6464285714285714,0.08356831776018953,0.9805661338652693,0.0015502182228949656,0.9819458491376103,0.004436024145215009,0.9748387096774195,0.0056376179902599775,0.9785714285714286,0.012284537276343332,0.9776364957621719,0.002780227647411059,0.9801992181245762,0.004945661951123441,186.0,0.0,266.0,0.0,0.2486919191919192,0.06955813508842902,0.2911219336219336,0.10932866154459946,0.2800000000000001,0.05962847939999439,0.3142857142857143,0.1756103706151026,0.24566527590057005,0.05111749383704084,0.2830194805194805,0.10558196679716353,5.0,0.0,7.0,0.0
2,random_forest,y > 0,y == 0,y > 0,0.9250261780104712,0.0043018400709114776,0.9293040293040293,0.01257690528138518,0.9306993338541455,0.004199329592773251,0.9338073916275442,0.01193575386094845,0.9168571428571429,0.007724795245003172,0.908,0.019826407131729312,0.9456491008190886,0.004588052028643865,0.9615818350275699,0.018065974281960186,0.0749738219895288,0.004301840070911455,0.0706959706959707,0.012576905281385192,0.8490725935660584,0.008572682444083973,0.8580777295627471,0.025206885068490757,0.9708864894795127,0.0036698229260492352,0.9690894308943088,0.00638589836204147,0.9029191348852423,0.007712853944854326,0.8953700287920979,0.019709659848799254,0.9350000000000002,0.006090330193649283,0.9552845528455285,0.02242946525372202,0.9182614202492554,0.004475759491371316,0.9240983161541301,0.01345862538447241,86.0,0.0,123.0,0.0,0.9456491008190886,0.004588052028643865,0.9615818350275699,0.018065974281960186,0.9168571428571429,0.007724795245003172,0.908,0.019826407131729312,0.9306993338541455,0.004199329592773251,0.9338073916275442,0.01193575386094845,105.0,0.0,150.0,0.0
3,random_forest,y > 1,y <= 1,y > 1,0.9738219895287958,0.0,0.9743589743589742,1.1702778228589004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02617801047120419,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.92452688172043,0.021760520509010388,0.8839151450053706,0.0528589791551672,0.9738219895287958,0.0,0.9743589743589742,1.1702778228589004e-16,1.0,0.0,1.0,0.0,0.986737400530504,0.0,0.9870129870129871,1.1702778228589004e-16,186.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0
4,extra_trees,y > 0,y == 0,y > 0,0.9228795811518324,0.005094372069837227,0.9245421245421246,0.012712493367345904,0.9291155159917764,0.00496612427519234,0.9298089774174587,0.011710120436431392,0.9203809523809525,0.008461374602645167,0.9093333333333333,0.018378731669453603,0.9387091405755765,0.003878317191254469,0.9517679818472449,0.021910964928128926,0.07712041884816753,0.005094372069837194,0.07545787545787545,0.012712493367345905,0.8445610679709082,0.010142355767736816,0.8483060803897191,0.025643058900003898,0.9706605758582503,0.0038052926706949827,0.9688021680216801,0.006570445661303363,0.9058805391391476,0.008742828585018578,0.8955233613167124,0.018433167244593828,0.9259302325581397,0.004780187160719655,0.9430894308943089,0.02736993208228205,0.9153567426938191,0.005240768442380081,0.9183652833147178,0.014087344080520084,86.0,0.0,123.0,0.0,0.9387091405755765,0.003878317191254469,0.9517679818472449,0.021910964928128926,0.9203809523809525,0.008461374602645167,0.9093333333333333,0.018378731669453603,0.9291155159917764,0.00496612427519234,0.9298089774174587,0.011710120436431392,105.0,0.0,150.0,0.0
5,extra_trees,y > 1,y <= 1,y > 1,0.9729842931937173,0.0009933856524089067,0.9732600732600731,0.0017693988701085943,0.018571428571428572,0.016101529717988262,0.0,0.0,0.012,0.010327955589886445,0.0,0.0,0.045,0.04377975178854566,0.0,0.0,0.027015706806282725,0.0009933856524089147,0.02673992673992674,0.001769398870108601,0.016421618167623806,0.016114357789444537,-0.0019354838709677135,0.0031164251067073603,0.9465430107526881,0.021735625976019513,0.9220730397422127,0.039444100488869656,0.9740999779845193,0.00026705577375485694,0.9743306938159879,4.553600033367706e-05,0.9988172043010752,0.0009750158070778097,0.9988721804511279,0.0018159619982693663,0.9863018428428993,0.0005102863750245059,0.98644812436634,0.0009095152691568921,186.0,0.0,266.0,0.0,0.045,0.04377975178854566,0.0,0.0,0.012,0.010327955589886445,0.0,0.0,0.018571428571428572,0.016101529717988262,0.0,0.0,5.0,0.0,7.0,0.0
6,xgboost,y > 0,y == 0,y > 0,0.9183246073298431,0.00514168232553453,0.9212454212454213,0.01109029433735346,0.9242135472632601,0.005010455236172487,0.9258629766722717,0.010470302828364699,0.9065714285714286,0.009612811640942657,0.8953333333333335,0.01938562532227945,0.9433877689664589,0.005886471425002339,0.9590806617473564,0.018586894950806964,0.08167539267015708,0.005141682325534459,0.07875457875457875,0.011090294337353448,0.8357163253270654,0.010248372789597818,0.8420794903678882,0.02227153664546051,0.96559357696567,0.004722955593674407,0.9675718157181572,0.007690709104222531,0.8919095658856259,0.009584766633246429,0.8823412062851311,0.01846564643664869,0.9326744186046513,0.007524772301219798,0.9528455284552845,0.02293137756239152,0.9113446752756378,0.005349737446634357,0.9159613044576698,0.012030930132217238,86.0,0.0,123.0,0.0,0.9433877689664589,0.005886471425002339,0.9590806617473564,0.018586894950806964,0.9065714285714286,0.009612811640942657,0.8953333333333335,0.01938562532227945,0.9242135472632601,0.005010455236172487,0.9258629766722717,0.010470302828364699,105.0,0.0,150.0,0.0
7,xgboost,y > 1,y <= 1,y > 1,0.9742408376963351,0.002632882675831903,0.9747252747252746,0.005581992405695932,0.24950865800865799,0.057051780875943016,0.2818919968919969,0.20414720831056177,0.182,0.040496913462633184,0.21428571428571425,0.1813279310919978,0.4706666666666667,0.1369851753716618,0.4916666666666667,0.3153725995441105,0.02575916230366492,0.0026328826758319182,0.025274725274725275,0.005581992405695952,0.2410757407794999,0.057518503356943744,0.27221442969103143,0.20470815670569287,0.9363494623655914,0.025933806247764264,0.8815252416756175,0.048900828205903565,0.9784066523447432,0.001058639595199144,0.9796565568755036,0.004624639945453913,0.9955376344086023,0.0022533659941218294,0.994736842105263,0.0031702031680886007,0.9868870874479487,0.0013542329182592069,0.9871320042681914,0.0028316421822125255,186.0,0.0,266.0,0.0,0.4706666666666667,0.1369851753716618,0.4916666666666667,0.3153725995441105,0.182,0.040496913462633184,0.21428571428571425,0.1813279310919978,0.24950865800865799,0.057051780875943016,0.2818919968919969,0.20414720831056177,5.0,0.0,7.0,0.0
8,adaboost,y > 0,y == 0,y > 0,0.9138219895287959,0.003958182897685088,0.9201465201465202,0.009266747722105161,0.9202063517116136,0.003978414998349402,0.925305913593251,0.008922932065188046,0.9051428571428571,0.008684730288641378,0.9006666666666666,0.018176093374825373,0.9366467897007273,0.005175839522228363,0.951760415783213,0.015371753255015531,0.08617801047120419,0.00395818289768512,0.07985347985347986,0.009266747722105142,0.8265782342784315,0.007844257341920874,0.8396622093440733,0.018530333051180698,0.9622912513842747,0.005638481715798098,0.9663523035230351,0.008901211338252292,0.8896880907942935,0.00834125501926863,0.8866966907555284,0.0173618525169414,0.9244186046511629,0.006802297974722628,0.9439024390243903,0.01895082247918383,0.9062161531284705,0.004013637249930141,0.914178124885702,0.0098274795238582,86.0,0.0,123.0,0.0,0.9366467897007273,0.005175839522228363,0.951760415783213,0.015371753255015531,0.9051428571428571,0.008684730288641378,0.9006666666666666,0.018176093374825373,0.9202063517116136,0.003978414998349402,0.925305913593251,0.008922932065188046,105.0,0.0,150.0,0.0
9,adaboost,y > 1,y <= 1,y > 1,0.9732984293193716,0.0020501466185812636,0.9739926739926739,0.004031153606646916,0.2842128427128427,0.03533822206171811,0.3317094017094017,0.17101017085272102,0.22800000000000004,0.04341018825626589,0.2714285714285714,0.15721499065923025,0.4656666666666666,0.0682461051210802,0.4533333333333333,0.19764040172763697,0.026701570680628273,0.0020501466185812805,0.02600732600732601,0.00403115360664693,0.2741700671532129,0.03533735110650303,0.32018651559864525,0.17116646411104153,0.9112365591397851,0.026680164329784893,0.8440386680988186,0.04454026660454175,0.9795638114022662,0.0011186776873995,0.9810652448103104,0.003993659779622778,0.9933333333333332,0.0023530677508487104,0.9924812030075186,0.002506265664160382,0.9863817791783973,0.0010619293448747404,0.9867337718761882,0.002038049213609982,186.0,0.0,266.0,0.0,0.4656666666666666,0.0682461051210802,0.4533333333333333,0.19764040172763697,0.22800000000000004,0.04341018825626589,0.2714285714285714,0.15721499065923025,0.2842128427128427,0.03533822206171811,0.3317094017094017,0.17101017085272102,5.0,0.0,7.0,0.0
