,model,target_binary,class_0_label,class_1_label,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_test_mean,precision_test_std,mae_cv_mean,mae_cv_std,mae_test_mean,mae_test_std,qwk_cv_mean,qwk_cv_std,qwk_test_mean,qwk_test_std,auc_cv_mean,auc_cv_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std
0,decision_tree,y > 0,y == 0,y > 0,0.8648167539267015,0.007096768030640764,0.8549450549450549,0.02585525945312122,0.8767780253159515,0.006444968241911292,0.8658053780315939,0.024530215846613225,0.8755238095238095,0.011733584138046456,0.8526666666666667,0.035339622081862844,0.879414023505783,0.011095109932562247,0.8802723750566338,0.028410891624256064,0.1351832460732984,0.007096768030640796,0.14505494505494504,0.025855259453121223,0.7270022714676255,0.014447089678447657,0.7080365341079103,0.05184405584335018,0.8636339977851606,0.00746348673724678,0.8551951219512194,0.025849523568134743,0.8502063355824063,0.010975211210133277,0.8278973674766131,0.035588111538655244,0.8517441860465116,0.01658307865525692,0.8577235772357724,0.037009485863814806,0.8499431963651165,0.008473684890944423,0.8419816714538577,0.027802472049734368,86.0,0.0,123.0,0.0,0.879414023505783,0.011095109932562247,0.8802723750566338,0.028410891624256064,0.8755238095238095,0.011733584138046456,0.8526666666666667,0.035339622081862844,0.8767780253159515,0.006444968241911292,0.8658053780315939,0.024530215846613225,105.0,0.0,150.0,0.0
1,decision_tree,y > 1,y <= 1,y > 1,0.964083769633508,0.004605478500536277,0.9593406593406593,0.007213213913427083,0.3288664391164391,0.08361839751860704,0.22623598623598623,0.19075963153008463,0.34800000000000003,0.08904430857100804,0.2714285714285714,0.2559939058231545,0.33710101010101,0.0887095119435321,0.20064935064935066,0.1607886252032677,0.03591623036649214,0.004605478500536331,0.04065934065934066,0.007213213913427071,0.3112413804711797,0.08520551820693176,0.20633002571813464,0.19237309819464876,0.6643225806451613,0.044712081495117253,0.624436090225564,0.12606229785929035,0.9824737667942305,0.002358905664598183,0.9808250194366103,0.00660102500187594,0.9806451612903226,0.0039017098668596957,0.9774436090225563,0.007925507920221496,0.981523531595441,0.0023919734783709084,0.9790953009058463,0.0037303040216393447,186.0,0.0,266.0,0.0,0.33710101010101,0.0887095119435321,0.20064935064935066,0.1607886252032677,0.34800000000000003,0.08904430857100804,0.2714285714285714,0.2559939058231545,0.3288664391164391,0.08361839751860704,0.22623598623598623,0.19075963153008463,5.0,0.0,7.0,0.0
2,random_forest,y > 0,y == 0,y > 0,0.923089005235602,0.0048893659369775066,0.9197802197802198,0.011641207752432757,0.9285915841480546,0.004766073328395021,0.9246831056095763,0.011164842808749865,0.910857142857143,0.007739784105483573,0.8966666666666667,0.01839216150805204,0.9477386563698958,0.004307414197176322,0.9548801094467712,0.016010900364167528,0.07691099476439792,0.004889365936977472,0.08021978021978023,0.01164120775243275,0.8453219435969244,0.009739477546762923,0.8390545575426929,0.02328339400066772,0.9694534883720932,0.00369084810395875,0.9676016260162601,0.00781672803538596,0.8969087881134845,0.007799957410709475,0.8830374447233357,0.01777129070324339,0.9380232558139536,0.005455348905504389,0.9479674796747967,0.019617301973825323,0.9165874939373092,0.005056703883151954,0.9141549191387798,0.012326385909454233,86.0,0.0,123.0,0.0,0.9477386563698958,0.004307414197176322,0.9548801094467712,0.016010900364167528,0.910857142857143,0.007739784105483573,0.8966666666666667,0.01839216150805204,0.9285915841480546,0.004766073328395021,0.9246831056095763,0.011164842808749865,105.0,0.0,150.0,0.0
3,random_forest,y > 1,y <= 1,y > 1,0.9738219895287958,0.0,0.9743589743589742,1.1702778228589004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02617801047120419,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.9301881720430109,0.017254635337094985,0.8921589688506982,0.05185809263151691,0.9738219895287958,0.0,0.9743589743589742,1.1702778228589004e-16,1.0,0.0,1.0,0.0,0.986737400530504,0.0,0.9870129870129871,1.1702778228589004e-16,186.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0
4,extra_trees,y > 0,y == 0,y > 0,0.9216753926701571,0.004980400413748536,0.9183150183150184,0.01245780311666394,0.9278524805389349,0.004886431591418411,0.9237985987518815,0.011336284499077587,0.9166666666666667,0.00840220969388324,0.9006666666666667,0.01790234138766472,0.9399881451377856,0.002390631444681215,0.9487604562865343,0.023233446095752563,0.07832460732984294,0.004980400413748543,0.08168498168498169,0.012457803116663939,0.8422089134324924,0.009902147678425923,0.8358856235171175,0.02521749346367101,0.9703947951273533,0.0036642635432053835,0.9687723577235772,0.006380284178703064,0.9019537868454304,0.008572597550479224,0.8862726079348031,0.01697622822833314,0.9277906976744188,0.003024746203895593,0.9398373983739837,0.029488282945767896,0.9142582721535867,0.0050882449175389845,0.9119091091609206,0.014113377908852065,86.0,0.0,123.0,0.0,0.9399881451377856,0.002390631444681215,0.9487604562865343,0.023233446095752563,0.9166666666666667,0.00840220969388324,0.9006666666666667,0.01790234138766472,0.9278524805389349,0.004886431591418411,0.9237985987518815,0.011336284499077587,105.0,0.0,150.0,0.0
5,extra_trees,y > 1,y <= 1,y > 1,0.9741361256544504,0.0010235866177043694,0.9739926739926739,0.0011583434652631386,0.048571428571428564,0.05229911837513926,0.0,0.0,0.030000000000000006,0.03299831645537222,0.0,0.0,0.135,0.1375378735718517,0.0,0.0,0.025863874345549737,0.0010235866177043763,0.026007326007326005,0.001158343465263143,0.04698942325173517,0.051574410849263626,-0.0006451612903225712,0.002040179135592473,0.9469516129032259,0.020439098348655052,0.9095059076262084,0.051963013928006084,0.974579202514722,0.0008486720513372386,0.9743495475113122,2.9810309767801356e-05,0.999516129032258,0.00047075001923173164,0.9996240601503759,0.0011888261880332342,0.9868886475910982,0.0005168061815553227,0.9868246994641046,0.0005954175095185133,186.0,0.0,266.0,0.0,0.135,0.1375378735718517,0.0,0.0,0.030000000000000006,0.03299831645537222,0.0,0.0,0.048571428571428564,0.05229911837513926,0.0,0.0,5.0,0.0,7.0,0.0
6,xgboost,y > 0,y == 0,y > 0,0.9194240837696336,0.004845564745099822,0.9186813186813187,0.011163984811391916,0.925125979368279,0.004524443582593469,0.9233961571209999,0.01120328348831829,0.9063809523809523,0.007445781177581013,0.8933333333333333,0.025724082006200497,0.9453801218352055,0.007506175294034183,0.9563567508780528,0.01773842845135755,0.08057591623036649,0.00484556474509983,0.08131868131868132,0.011163984811391902,0.8379803349188251,0.009756907211563854,0.8369558073770262,0.022139651841922237,0.9669097452934661,0.003989535293201833,0.9688238482384823,0.0050091649726996135,0.8919163991329135,0.007171913709294905,0.8804143516222224,0.024216180110204294,0.9353488372093024,0.009544647424261324,0.9495934959349593,0.022931377562391542,0.9126967638667027,0.0053408874345932346,0.9132627504812934,0.011375407356429015,86.0,0.0,123.0,0.0,0.9453801218352055,0.007506175294034183,0.9563567508780528,0.01773842845135755,0.9063809523809523,0.007445781177581013,0.8933333333333333,0.025724082006200497,0.925125979368279,0.004524443582593469,0.9233961571209999,0.01120328348831829,105.0,0.0,150.0,0.0
7,xgboost,y > 1,y <= 1,y > 1,0.9771204188481676,0.002529638161139799,0.9758241758241757,0.0030889159073683695,0.34372222222222215,0.07891673582945212,0.3183760683760684,0.161164946003446,0.25200000000000006,0.05977736472389305,0.24285714285714283,0.15133570078162573,0.6281666666666667,0.13888322210661752,0.5866666666666667,0.29405634800573366,0.02287958115183246,0.002529638161139723,0.024175824175824177,0.0030889159073683795,0.33587285898867275,0.07895909242942817,0.3092528239241269,0.15959322228150463,0.9485053763440859,0.013684290219834997,0.9352309344790548,0.04552026991629413,0.9802430161545057,0.0015547310883034717,0.980391555848516,0.003806976544760047,0.9966129032258065,0.0017930105287857741,0.9951127819548871,0.00356647856409968,0.9883502312346251,0.0012925397195698886,0.9876871345856604,0.0015661310312060106,186.0,0.0,266.0,0.0,0.6281666666666667,0.13888322210661752,0.5866666666666667,0.29405634800573366,0.25200000000000006,0.05977736472389305,0.24285714285714283,0.15133570078162573,0.34372222222222215,0.07891673582945212,0.3183760683760684,0.161164946003446,5.0,0.0,7.0,0.0
8,adaboost,y > 0,y == 0,y > 0,0.9105759162303665,0.007456726111400564,0.9062271062271062,0.013727442561714468,0.9173180757020214,0.006823514357591429,0.9123317700966137,0.012172816908954952,0.9032380952380954,0.009827947972515244,0.8873333333333333,0.016465452046971286,0.9326551356057979,0.010346391694949443,0.9393711136146778,0.024612806182102362,0.08942408376963351,0.007456726111400537,0.09377289377289377,0.013727442561714475,0.8199927277781119,0.015067901037120355,0.8116872722685313,0.027928973174201944,0.9600575858250278,0.005797985419428475,0.9585121951219511,0.0062572544150828755,0.8871121896976255,0.010176756032243963,0.8714888608816272,0.015123231524108702,0.9195348837209304,0.013524854876008914,0.9292682926829267,0.031147632548931412,0.9025300537907341,0.008354024241759855,0.8991304727156729,0.015935177767457905,86.0,0.0,123.0,0.0,0.9326551356057979,0.010346391694949443,0.9393711136146778,0.024612806182102362,0.9032380952380954,0.009827947972515244,0.8873333333333333,0.016465452046971286,0.9173180757020214,0.006823514357591429,0.9123317700966137,0.012172816908954952,105.0,0.0,150.0,0.0
9,adaboost,y > 1,y <= 1,y > 1,0.9763350785340312,0.00265591795877794,0.9758241758241757,0.005237511743474271,0.3859474969474969,0.07722179257373461,0.3582420357420357,0.20397199611505218,0.31599999999999995,0.0820839678486474,0.29999999999999993,0.21769770382214212,0.5834047619047619,0.09764105120451387,0.5305555555555556,0.27230724295894376,0.023664921465968585,0.002655917958777913,0.024175824175824177,0.005237511743474289,0.3764022023260316,0.07762919408463871,0.348387488646389,0.2038025466102942,0.921258064516129,0.025925653115632944,0.8930182599355531,0.04491257526007294,0.9818750648349825,0.0021422504325725616,0.9818385144967265,0.005546753022388071,0.9940860215053764,0.002350336388638666,0.9936090225563909,0.005028171089658862,0.9879236076834269,0.0013586679760004873,0.9876695992453716,0.002665864956015279,186.0,0.0,266.0,0.0,0.5834047619047619,0.09764105120451387,0.5305555555555556,0.27230724295894376,0.31599999999999995,0.0820839678486474,0.29999999999999993,0.21769770382214212,0.3859474969474969,0.07722179257373461,0.3582420357420357,0.20397199611505218,5.0,0.0,7.0,0.0
10,svm,y > 0,y == 0,y > 0,0.8010994764397905,0.013864079093163036,0.8194139194139194,0.014555031081988383,0.7934196451775498,0.016188523272796955,0.8164759571209604,0.01661990553767301,0.6972380952380952,0.021279078780613945,0.732,0.02662960387368044,0.9222003655134735,0.011360178814906339,0.9239542537843661,0.018838613190678758,0.19890052356020943,0.013864079093163036,0.18058608058608056,0.014555031081988374,0.6089052051189612,0.02666698310576236,0.6434145440048952,0.028222351885391576,0.9269202657807307,0.006811622432800663,0.9365691056910569,0.013786603920043805,0.7161045237528774,0.015250120235414026,0.739572805890047,0.018350002508029338,0.9279069767441861,0.010713391442701765,0.9260162601626017,0.020798464882764097,0.8080102787868204,0.012024279362638196,0.8221348908030934,0.01335660307730087,86.0,0.0,123.0,0.0,0.9222003655134735,0.011360178814906339,0.9239542537843661,0.018838613190678758,0.6972380952380952,0.021279078780613945,0.732,0.02662960387368044,0.7934196451775498,0.016188523272796955,0.8164759571209604,0.01661990553767301,105.0,0.0,150.0,0.0
