modelo,n_samples,n_samples_evaluadas,n_clusters,samples_por_grupo,silhouette,calinski_harabasz,davies_bouldin,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info,normalized_mutual_info,Subdomain,LDA_components
agglo,909,909,3,"{0: 363, 1: 444, 2: 102}",0.5097807975384778,1335.4251085065425,0.807544635474807,0.5939692394503547,0.5938836208192116,0.5939264270491528,0.7170514332754009,0.5929883935080851,0.5939264270491527,examen_motor,2
kmeans,909,909,3,"{0: 235, 1: 457, 2: 217}",0.5184989758996822,1475.56124068733,0.8541445148503378,0.559790110272781,0.5190275932534464,0.5386387574328481,0.5705757538549833,0.5376155745380399,0.5386387574328481,examen_motor,2
gmm,909,909,3,"{0: 395, 1: 247, 2: 267}",0.44705987799452485,1087.9967116267662,1.0908710337144931,0.5353970581691386,0.4785739291480396,0.5053933041225297,0.54908293756998,0.504317684934586,0.5053933041225297,examen_motor,2
agglo,909,909,3,"{0: 448, 1: 308, 2: 153}",0.4017692299840348,757.2479265692841,0.9814300839578468,0.3855484985825479,0.3652412782123184,0.37512025546294814,0.4822981013855202,0.373718149877628,0.3751202554629481,impacto_motor,2
kmeans,909,909,3,"{0: 278, 1: 180, 2: 451}",0.43548570414315535,849.2161827778482,0.960033529669805,0.3894126250328117,0.3633926245852089,0.3759529464734535,0.42966121816966213,0.374564069855532,0.3759529464734535,impacto_motor,2
gmm,909,909,3,"{0: 419, 1: 379, 2: 111}",0.38733728738854756,501.91371223828446,1.495123756642414,0.34983472436353547,0.34388177701421274,0.34683270885581013,0.40609038709907974,0.34533745832158724,0.3468327088558102,impacto_motor,2
agglo,909,909,3,"{0: 392, 1: 306, 2: 211}",0.32548103775254583,530.7010895291,0.9065562962644681,0.11523184173413607,0.10375718536236492,0.10919388720957963,0.1477810995797801,0.1072489072390759,0.10919388720957963,non_motor,2
kmeans,909,909,3,"{0: 238, 1: 319, 2: 352}",0.359693188670391,608.3429214286688,0.933895893834845,0.10862437930661108,0.09623202490284899,0.10205337748486748,0.08914052512122649,0.10011000717189006,0.1020533774848675,non_motor,2
gmm,909,909,3,"{0: 240, 1: 296, 2: 373}",0.3224157187656116,513.5948937613721,1.0529286307746795,0.10987231313486334,0.09762980096961908,0.10338990626406011,0.09182529829690214,0.10144628502428737,0.10338990626406011,non_motor,2
agglo,909,909,3,"{0: 301, 1: 439, 2: 169}",0.5193067818256273,1545.2330068269443,0.83967697354717,0.6164152370444577,0.5754763923065013,0.5952427352313394,0.6683791852543167,0.5943416285749408,0.5952427352313394,MOTOR,2
kmeans,909,909,3,"{0: 182, 1: 439, 2: 288}",0.5183511354740206,1585.5671847586418,0.8375175034896305,0.6059190391223641,0.5616405593374683,0.5829401916524325,0.6531137059206722,0.582015287481607,0.5829401916524325,MOTOR,2
gmm,909,909,3,"{0: 406, 1: 354, 2: 149}",0.48732396146149065,1294.2744438832153,1.0403204126180088,0.6043780718025711,0.5678830404445284,0.5855624713769393,0.6978598950623345,0.5846364725968756,0.5855624713769392,MOTOR,2
agglo,909,909,3,"{0: 324, 1: 439, 2: 146}",0.5305957758151193,1639.6242395504269,0.7938374350669276,0.6465936024207284,0.6139921873793758,0.6298713241226808,0.7155191368962197,0.6290397172463063,0.6298713241226809,FULL,2
kmeans,909,909,3,"{0: 438, 1: 323, 2: 148}",0.5287639634276557,1651.951874063972,0.7870933575406239,0.6432833284260039,0.6096030034209847,0.6259904655213869,0.7135835608138056,0.6251510590382692,0.625990465521387,FULL,2
gmm,909,909,3,"{0: 434, 1: 376, 2: 99}",0.534064973156845,1573.4842598598439,0.7389392812991405,0.6827287219743922,0.6843380229415298,0.6835324252293006,0.7977629242735946,0.6828003516031939,0.6835324252293006,FULL,2
