modelo,n_samples,n_samples_evaluadas,n_clusters,samples_por_grupo,silhouette,calinski_harabasz,davies_bouldin,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info,normalized_mutual_info,Subdomain
agglo,909,909,3,"{0: 384, 1: 469, 2: 56}",0.1296115373847453,38.63474643135575,4.271047248253274,0.4026579388563854,0.4415497275838579,0.421207980641099,0.536033664489322,0.41980165102304334,0.42120798064109904,examen_motor
kmeans,909,909,3,"{0: 1, 1: 274, 2: 634}",0.18573164245680038,42.17838831222941,2.348910008717557,0.24336873983742557,0.37739613260947663,0.2959137196363909,0.27684945587516724,0.29398206339197597,0.29591371963639085,examen_motor
gmm,909,909,3,"{0: 576, 1: 281, 2: 52}",0.18136984475578233,45.62928465580628,3.8828485102899712,0.2927392609968664,0.3451992671058458,0.31681227547038815,0.3405964010810859,0.3150923728026627,0.3168122754703881,examen_motor
agglo,909,909,3,"{0: 639, 1: 237, 2: 33}",0.057524097506640406,45.772956699877454,3.1515671878649614,0.11481591001112668,0.15367911763549527,0.13143489393963362,0.13834057903829974,0.1290976607147549,0.13143489393963362,impacto_motor
kmeans,909,909,3,"{0: 4, 1: 176, 2: 729}",0.30134467080796173,57.77605108872768,2.26319326836378,0.10653859915321026,0.19754441817946114,0.13842341981466855,0.09313946638997839,0.13566248445211104,0.13842341981466855,impacto_motor
gmm,909,909,3,"{0: 100, 1: 527, 2: 282}",0.15955852095328688,40.183271129417236,4.561253971275703,0.19612661354164135,0.2046126625112268,0.20027978780283792,0.24791391406781763,0.19839240036602263,0.20027978780283795,impacto_motor
agglo,909,909,3,"{0: 602, 1: 168, 2: 139}",0.08360165262961257,26.308842130331442,4.803293504033529,0.004115001707499454,0.004538494222413002,0.0043163853374331785,-0.0031431335560629095,0.0019035627321406735,0.004316385337433179,non_motor
kmeans,909,909,3,"{0: 186, 1: 188, 2: 535}",0.02529604848196164,36.282891564991544,4.203558064775606,0.038783306370873474,0.03875516278720333,0.03876922947150075,0.012462721554986017,0.03655247704310809,0.03876922947150075,non_motor
gmm,909,909,3,"{0: 71, 1: 766, 2: 72}",0.20657264998440877,19.887877668408652,4.351897504866293,0.005731699904725893,0.010130100299428063,0.00732107253575037,0.004060826655420755,0.004363983004364917,0.007321072535750371,non_motor
agglo,909,909,3,"{0: 358, 1: 513, 2: 38}",0.06366279776461627,33.851610870787724,4.699886750744643,0.3017988455349596,0.35291243514788834,0.3253604104437552,0.411083326132015,0.3236584975988649,0.3253604104437552,MOTOR
kmeans,909,909,3,"{0: 630, 1: 2, 2: 277}",0.2048237068746597,42.45160123798227,2.6010187801097637,0.25458605781870985,0.3888913510996024,0.30772274092005664,0.28953957465524705,0.30569750082597136,0.30772274092005664,MOTOR
gmm,909,909,3,"{0: 292, 1: 58, 2: 559}",0.16042374331600073,48.578862274427784,3.8777440798971674,0.3040876386769908,0.34846520161342537,0.3247674480202069,0.35501144010938523,0.3230926488907515,0.32476744802020685,MOTOR
