,model,target_binary,class_0_label,class_1_label,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_test_mean,precision_test_std,mae_cv_mean,mae_cv_std,mae_test_mean,mae_test_std,qwk_cv_mean,qwk_cv_std,qwk_test_mean,qwk_test_std,auc_cv_mean,auc_cv_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std
0,decision_tree,y > 0,y == 0,y > 0,0.8596858638743454,0.008095925657761354,0.8802197802197803,0.0159245898309774,0.8722052661977132,0.007328471216242079,0.8909058154116805,0.015421720039111231,0.8711428571428572,0.009598122769343437,0.885430463576159,0.026682523829389543,0.8744554161986484,0.010295635996719161,0.8969209722945235,0.014519133479273312,0.14031413612565444,0.008095925657761394,0.11978021978021977,0.015924589830977408,0.7166006827402152,0.016417035467071798,0.758117075065916,0.031742822551800415,0.8584202657807308,0.008374774900478629,0.8796004776897188,0.015286472164388798,0.844309884389381,0.00985297900069177,0.8612041805525203,0.027551153424184203,0.8456976744186047,0.01412523501705379,0.8737704918032787,0.020152009742716692,0.8441574052791877,0.00929998526096354,0.8671192976623037,0.016647582267920825,86.0,0.0,122.0,0.0,0.8744554161986484,0.010295635996719161,0.8969209722945235,0.014519133479273312,0.8711428571428572,0.009598122769343437,0.885430463576159,0.026682523829389543,0.8722052661977132,0.007328471216242079,0.8909058154116805,0.015421720039111231,105.0,0.0,151.0,0.0
1,decision_tree,y > 1,y <= 1,y > 1,0.8172251308900524,0.01032902307670561,0.8263736263736263,0.02279056917278652,0.7921285343806588,0.012522764224926763,0.8007037220381014,0.02661956946691905,0.7928571428571429,0.018612760951680258,0.7876033057851239,0.03877355420441168,0.7936399168221877,0.01060598586725037,0.8156859612565643,0.03407174820626484,0.18277486910994764,0.010329023076705615,0.17362637362637362,0.022790569172786514,0.6291332079528008,0.02117111239193403,0.6470185001036016,0.04631974579898181,0.8146061415220294,0.010915583876560038,0.8224200739451935,0.02318438680377636,0.8382835080392725,0.012648316507377645,0.835891664664735,0.0251929744444216,0.8363551401869159,0.010623464056872273,0.8572368421052632,0.03193783637675601,0.8365845842508411,0.009092041083762565,0.8460142922384459,0.020599593747988934,107.0,0.0,152.0,0.0,0.7936399168221877,0.01060598586725037,0.8156859612565643,0.03407174820626484,0.7928571428571429,0.018612760951680258,0.7876033057851239,0.03877355420441168,0.7921285343806588,0.012522764224926763,0.8007037220381014,0.02661956946691905,84.0,0.0,121.0,0.0
2,random_forest,y > 0,y == 0,y > 0,0.923193717277487,0.008481926755301189,0.9278388278388279,0.010222923413399015,0.9288216154732192,0.008035739898910162,0.93315399951475,0.009592765062829463,0.9126666666666667,0.012722596019818339,0.9112582781456954,0.02121962885774468,0.9463373351737007,0.008782019845884738,0.9567430044675602,0.018123339335498777,0.0768062827225131,0.008481926755301163,0.07216117216117217,0.010222923413399015,0.8454692245059588,0.01699631439286386,0.8548510756922092,0.020555753465758216,0.968859911406423,0.004307662961781168,0.9701118228205408,0.006302896918665414,0.8986976310745423,0.01349274625535118,0.8968774072865384,0.021123797644459128,0.936046511627907,0.011112613323125135,0.9483606557377049,0.023199923186178972,0.9165119735178602,0.009050403866017052,0.9215446532077125,0.011208456923434845,86.0,0.0,122.0,0.0,0.9463373351737007,0.008782019845884738,0.9567430044675602,0.018123339335498777,0.9126666666666667,0.012722596019818339,0.9112582781456954,0.02121962885774468,0.9288216154732192,0.008035739898910162,0.93315399951475,0.009592765062829463,105.0,0.0,151.0,0.0
3,random_forest,y > 1,y <= 1,y > 1,0.897801047120419,0.005456648445616138,0.9029304029304029,0.013514007094736675,0.8880620147340311,0.006591791478901944,0.8941190657398245,0.015420519268015725,0.9223809523809525,0.014675030254672728,0.9256198347107437,0.029154284419444527,0.8570634699873446,0.007359647530336861,0.8653564483119954,0.019322773057333036,0.10219895287958117,0.005456648445616138,0.09706959706959707,0.013514007094736661,0.7942956054643161,0.011195450430377943,0.8047017901751463,0.02739933914993308,0.9493897418780597,0.006223090776407949,0.9554588951718138,0.00924391498389949,0.9358403833527232,0.01099803501375966,0.9379203526517275,0.022470269078744307,0.8785046728971964,0.008183131175429134,0.8848684210526315,0.01991875232958877,0.9058956680487634,0.00475306241053827,0.9103275855620486,0.012234322888967085,107.0,0.0,152.0,0.0,0.8570634699873446,0.007359647530336861,0.8653564483119954,0.019322773057333036,0.9223809523809525,0.014675030254672728,0.9256198347107437,0.029154284419444527,0.8880620147340311,0.006591791478901944,0.8941190657398245,0.015420519268015725,84.0,0.0,121.0,0.0
4,extra_trees,y > 0,y == 0,y > 0,0.9204712041884818,0.00705652646963116,0.9282051282051282,0.010531799097849978,0.9268360945480938,0.006620147343491278,0.9338655732113423,0.009611528336075013,0.916952380952381,0.01038245705322598,0.9165562913907286,0.017437896386871078,0.9376790828497086,0.00798569044188511,0.9522727695415508,0.01767328202917503,0.07952879581151831,0.007056526469631125,0.0717948717948718,0.010531799097849978,0.8397378618586953,0.014173866462383432,0.8554039210165039,0.02128954659766081,0.9697098560354375,0.0042745565690774385,0.9718380197589838,0.007620530987148107,0.9020893671680831,0.011022990243757228,0.9016947187095952,0.017969986644663115,0.9247674418604653,0.01038658446992583,0.9426229508196722,0.022530631833976262,0.9128036841699183,0.007637576800293221,0.9214422302494405,0.011807682027510626,86.0,0.0,122.0,0.0,0.9376790828497086,0.00798569044188511,0.9522727695415508,0.01767328202917503,0.916952380952381,0.01038245705322598,0.9165562913907286,0.017437896386871078,0.9268360945480938,0.006620147343491278,0.9338655732113423,0.009611528336075013,105.0,0.0,151.0,0.0
5,extra_trees,y > 1,y <= 1,y > 1,0.899476439790576,0.005117933088521918,0.9051282051282051,0.0095285045250924,0.8913440058537111,0.005925105508217796,0.8980844270713574,0.01002785418051471,0.9377380952380951,0.011678403555255103,0.9429752066115702,0.02003647002310543,0.8498481365269441,0.006149333063444726,0.8577571484530508,0.018385182400046902,0.10052356020942407,0.005117933088521878,0.09487179487179487,0.009528504525092388,0.7982544620637234,0.010413959614019093,0.8097333380816074,0.018975181062370023,0.9479099910992433,0.0063211442822005675,0.954018051326664,0.011644673372872545,0.9472415738939892,0.009197302628318773,0.9510893387143234,0.01597013272502411,0.8694392523364487,0.006623876416690717,0.875,0.019858300741529448,0.9064222809351975,0.004565160910674242,0.9112154652476964,0.009304839853002574,107.0,0.0,152.0,0.0,0.8498481365269441,0.006149333063444726,0.8577571484530508,0.018385182400046902,0.9377380952380951,0.011678403555255103,0.9429752066115702,0.02003647002310543,0.8913440058537111,0.005925105508217796,0.8980844270713574,0.01002785418051471,84.0,0.0,121.0,0.0
6,xgboost,y > 0,y == 0,y > 0,0.9142408376963351,0.0060395039785996595,0.9223443223443224,0.010755905028349333,0.9202458579739055,0.006161786913866932,0.9279949046802598,0.010295873140266058,0.900952380952381,0.013713403851717597,0.9052980132450331,0.023989806599376863,0.9414385020017546,0.0067786177283819275,0.9527532197849234,0.02228263480547234,0.08575916230366493,0.006039503978599628,0.07765567765567766,0.010755905028349324,0.8275791940914801,0.011916895637596089,0.8438273015091431,0.021558678265921474,0.9643687707641195,0.005458722404208075,0.9697047009010964,0.007387418492075513,0.8861197383408411,0.013481636851290219,0.8903889977044995,0.022818986109143864,0.93046511627907,0.009475138970913167,0.9434426229508197,0.028512339558895202,0.907122524009339,0.005961228904152611,0.9156349332507043,0.011672585998043442,86.0,0.0,122.0,0.0,0.9414385020017546,0.0067786177283819275,0.9527532197849234,0.02228263480547234,0.900952380952381,0.013713403851717597,0.9052980132450331,0.023989806599376863,0.9202458579739055,0.006161786913866932,0.9279949046802598,0.010295873140266058,105.0,0.0,151.0,0.0
7,xgboost,y > 1,y <= 1,y > 1,0.8819371727748692,0.0084790535954591,0.8912087912087913,0.011329680790878684,0.8683734005647068,0.009316536426766995,0.8794386435310759,0.014510502796400263,0.8864285714285713,0.013211365805432406,0.8975206611570247,0.03880290217445512,0.8520568487999732,0.012526129648770073,0.8633487624943557,0.018011970820064685,0.11806282722513088,0.00847905359545913,0.10879120879120881,0.01132968079087868,0.7614391400254851,0.017042319177185784,0.7804064187264453,0.023543382910741647,0.9407615709835335,0.006718061056326521,0.9474989125706831,0.00799394924291645,0.9085827281032672,0.009629317928021224,0.9169403164205698,0.029063735763469503,0.878411214953271,0.012133146550383004,0.8861842105263158,0.02058368426360933,0.8928655730813135,0.007922051899347731,0.9007742712068125,0.00932548383339506,107.0,0.0,152.0,0.0,0.8520568487999732,0.012526129648770073,0.8633487624943557,0.018011970820064685,0.8864285714285713,0.013211365805432406,0.8975206611570247,0.03880290217445512,0.8683734005647068,0.009316536426766995,0.8794386435310759,0.014510502796400263,84.0,0.0,121.0,0.0
8,adaboost,y > 0,y == 0,y > 0,0.9089528795811519,0.009566661112726263,0.9150183150183151,0.009889356156931185,0.9156479263490436,0.0091499687948791,0.9213289428201312,0.009764809574101382,0.8998095238095238,0.013354480584264044,0.9006622516556291,0.02757173509226665,0.9328495265560217,0.008077210054296919,0.9441354579705049,0.023257913207194794,0.09104712041884816,0.009566661112726279,0.08498168498168499,0.009889356156931175,0.8168047523004803,0.019128183123600498,0.8290228923283559,0.01974075350256253,0.9602978959025471,0.008097282077760929,0.9659211811963957,0.007348129254831617,0.8835896195678027,0.014097176114709507,0.8847724218391073,0.02555945704987899,0.9201162790697677,0.01006334722019483,0.9327868852459018,0.030863434418454495,0.9009921169270951,0.010083705302117434,0.9074639118300679,0.01067772227341192,86.0,0.0,122.0,0.0,0.9328495265560217,0.008077210054296919,0.9441354579705049,0.023257913207194794,0.8998095238095238,0.013354480584264044,0.9006622516556291,0.02757173509226665,0.9156479263490436,0.0091499687948791,0.9213289428201312,0.009764809574101382,105.0,0.0,151.0,0.0
9,adaboost,y > 1,y <= 1,y > 1,0.8617801047120419,0.010741139653353644,0.8681318681318683,0.01610611228116351,0.8427260209750773,0.012547581300392777,0.8507482533747929,0.01729210242860766,0.8440476190476189,0.020489413719723185,0.8479338842975206,0.03193691844890234,0.843090657427646,0.015963053219928528,0.8551550956702233,0.032083023302974474,0.13821989528795814,0.010741139653353658,0.13186813186813184,0.01610611228116352,0.7194898186199513,0.02185554182723999,0.7326803953797345,0.032098706038032665,0.9267734757454382,0.00912154755190027,0.936809482383645,0.011346758847887918,0.8784604615800878,0.01393404081693717,0.8802599815659837,0.02044919089000463,0.8757009345794392,0.01512107302119826,0.8842105263157896,0.03240868982791434,0.8765439010560252,0.00964144536629923,0.8817281348337105,0.015795080217580533,107.0,0.0,152.0,0.0,0.843090657427646,0.015963053219928528,0.8551550956702233,0.032083023302974474,0.8440476190476189,0.020489413719723185,0.8479338842975206,0.03193691844890234,0.8427260209750773,0.012547581300392777,0.8507482533747929,0.01729210242860766,84.0,0.0,121.0,0.0
