,model,comparison,class_0_label,class_1_label,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_test_mean,precision_test_std,auc_cv_mean,auc_cv_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std
0,decision_tree,0 vs 1,0,1,0.8561349206349206,0.018667580347529418,0.8562091503267976,0.026324718896720205,0.6345275772559054,0.03863661134093301,0.6268706469633274,0.07222457077227279,0.656904761904762,0.03228608106423366,0.6200000000000001,0.10086049527031304,0.6421706349206348,0.04943964362495984,0.643623159126584,0.0864078569570459,0.7807491789819376,0.0205169441637639,0.7669105691056911,0.04798477785869046,0.9175546511978265,0.007731519504945256,0.9085181805758937,0.021646611158647234,0.9045935960591134,0.02052299246352872,0.913821138211382,0.030468226173561395,0.9097215804503322,0.012561680582479744,0.910745342381075,0.01671573254275281,28.5,0.0,123.0,0.0,0.6421706349206348,0.04943964362495984,0.643623159126584,0.0864078569570459,0.656904761904762,0.03228608106423366,0.6200000000000001,0.10086049527031304,0.6345275772559054,0.03863661134093301,0.6268706469633274,0.07222457077227279,6.9,0.0,30.0,0.0
1,decision_tree,0 vs 2,0,2,0.9107800751879699,0.01420610640441472,0.9164609053497943,0.00910944181941508,0.9102644582032452,0.01384964516279034,0.9149918784230845,0.009494738862108965,0.912512315270936,0.013414942720682024,0.903305785123967,0.017874521429761252,0.9103998657372022,0.019163934537319263,0.927334654906123,0.014304939290732217,0.9108435960591134,0.01417631141638159,0.9164069909226391,0.009119712768349001,0.9153318744801158,0.013134093038176264,0.9067699547154703,0.015148982528590945,0.9091748768472906,0.020403517125712534,0.9295081967213115,0.015064534155289853,0.9110272191448997,0.014685665539575728,0.9178531169733241,0.008869701181527169,28.600000000000005,3.744889033148481e-15,122.0,0.0,0.9103998657372022,0.019163934537319263,0.927334654906123,0.014304939290732217,0.912512315270936,0.013414942720682024,0.903305785123967,0.017874521429761252,0.9102644582032452,0.01384964516279034,0.9149918784230845,0.009494738862108965,28.1,0.0,121.0,0.0
2,decision_tree,1 vs 2,1,2,0.7342857142857144,0.025942549470240432,0.7370860927152318,0.034489403854118104,0.8315856019196189,0.017750081764717828,0.8334727881427633,0.023193575790945085,0.8249014778325122,0.027439438229972624,0.8223140495867769,0.03575965560811894,0.8419652113896692,0.01308168513312109,0.8458506614345277,0.023575392182806288,0.5951888341543514,0.03247649002311211,0.6078236914600551,0.05706602685985977,0.3506044511044511,0.062020595997042974,0.35246648471579917,0.08471186607526733,0.3654761904761904,0.053301790558996816,0.39333333333333337,0.11199647260759248,0.34662133454780514,0.0483829409133201,0.3695798011305739,0.09355250672373361,6.9,0.0,30.0,0.0,0.8419652113896692,0.01308168513312109,0.8458506614345277,0.023575392182806288,0.8249014778325122,0.027439438229972624,0.8223140495867769,0.03575965560811894,0.8315856019196189,0.017750081764717828,0.8334727881427633,0.023193575790945085,28.1,0.0,121.0,0.0
3,random_forest,0 vs 1,0,1,0.9123492063492062,0.003524619764802506,0.9065359477124183,0.013090038244705693,0.6959082306582307,0.014034522755447067,0.6919908025309528,0.0631627491240005,0.5654761904761905,0.01779088235830146,0.5433333333333333,0.07706018170844312,0.9784444444444444,0.016169116525589985,0.9680332739156269,0.03518048981951703,0.902054890921886,0.020113656182280375,0.8984823848238482,0.034408024970810566,0.9062572186954465,0.0036102984797093765,0.8996023802323411,0.014791536386719508,0.9961330049261085,0.0025899183627186005,0.9951219512195122,0.005684600803090258,0.9485956386278758,0.0020718531122652308,0.9448678448377207,0.007145192140937631,28.5,0.0,123.0,0.0,0.9784444444444444,0.016169116525589985,0.9680332739156269,0.03518048981951703,0.5654761904761905,0.01779088235830146,0.5433333333333333,0.07706018170844312,0.6959082306582307,0.014034522755447067,0.6919908025309528,0.0631627491240005,6.9,0.0,30.0,0.0
4,random_forest,0 vs 2,0,2,0.9655858395989976,0.005921950421033097,0.9621399176954734,0.011278356538323459,0.9650737770327705,0.005980839228807069,0.9612696477815768,0.01184697552003479,0.9594334975369458,0.007195557057779502,0.9454545454545453,0.019557288539172293,0.9717469365183492,0.008039157834011887,0.977821183354002,0.009152009719577527,0.9882993930330752,0.0037139416293158535,0.989967484080748,0.006774315432500271,0.9613796306765577,0.0068904069994628996,0.9478932531295259,0.01764780087963257,0.9716256157635467,0.007944214215338896,0.978688524590164,0.008811210653878207,0.9660315114966149,0.0058739678245720624,0.9629645618424998,0.01076017513403608,28.600000000000005,3.744889033148481e-15,122.0,0.0,0.9717469365183492,0.008039157834011887,0.977821183354002,0.009152009719577527,0.9594334975369458,0.007195557057779502,0.9454545454545453,0.019557288539172293,0.9650737770327705,0.005980839228807069,0.9612696477815768,0.01184697552003479,28.1,0.0,121.0,0.0
5,random_forest,1 vs 2,1,2,0.8262857142857143,0.009311928808823106,0.8377483443708609,0.015687274176105822,0.9009466009402225,0.005303227712804442,0.9069909193640544,0.0084965531356539,0.9829064039408866,0.006694142463767638,0.9867768595041323,0.007984229612225596,0.832229826901435,0.00675874814733761,0.8392351380458383,0.012765676109894257,0.7733864062866527,0.023006401289391666,0.8044077134986226,0.03844897395618675,0.6113333333333333,0.08656618106225838,0.8144627594627595,0.1123082859036948,0.18952380952380948,0.0386565785573379,0.23666666666666666,0.0710590086903088,0.2769336219336219,0.04921229517440659,0.36287283584713204,0.08864210705471873,6.9,0.0,30.0,0.0,0.832229826901435,0.00675874814733761,0.8392351380458383,0.012765676109894257,0.9829064039408866,0.006694142463767638,0.9867768595041323,0.007984229612225596,0.9009466009402225,0.005303227712804442,0.9069909193640544,0.0084965531356539,28.1,0.0,121.0,0.0
6,extra_trees,0 vs 1,0,1,0.9196587301587302,0.0065987183528490355,0.911764705882353,0.015482211768575048,0.7441624486624487,0.023280852379355368,0.7264457988151284,0.05641885467058636,0.6449999999999999,0.025183879073330757,0.6033333333333333,0.07445273585667089,0.9283095238095239,0.027647358232452506,0.923539641943734,0.06378783265809777,0.9001454374853388,0.01619315240743851,0.8969376693766936,0.03456581461859217,0.9212534098950418,0.005228457157008969,0.910978850009023,0.015102046355931658,0.9862438423645319,0.00415772901499697,0.9869918699186991,0.011624721186735593,0.9521400600840367,0.0038901497087118473,0.9473615030247245,0.009012196653523288,28.5,0.0,123.0,0.0,0.9283095238095239,0.027647358232452506,0.923539641943734,0.06378783265809777,0.6449999999999999,0.025183879073330757,0.6033333333333333,0.07445273585667089,0.7441624486624487,0.023280852379355368,0.7264457988151284,0.05641885467058636,6.9,0.0,30.0,0.0
7,extra_trees,0 vs 2,0,2,0.9638157894736841,0.005289468422824691,0.9592592592592591,0.00855553697092603,0.9634609281559484,0.005408438502245206,0.9586526049497242,0.00891542072410475,0.9625985221674878,0.0071997362575345015,0.9495867768595042,0.018865998532522223,0.9653998466618046,0.005596066693509128,0.9682675928632591,0.013502600683363153,0.9890800932441941,0.0033383213454712952,0.9901639344262294,0.006937878216448283,0.9642301023941041,0.006867032391193969,0.9512945535989005,0.01677504237664607,0.964987684729064,0.00551949200029773,0.9688524590163933,0.013824164634615882,0.9641023376818556,0.005187271672330705,0.9598323936549665,0.00826697381962118,28.600000000000005,3.744889033148481e-15,122.0,0.0,0.9653998466618046,0.005596066693509128,0.9682675928632591,0.013502600683363153,0.9625985221674878,0.0071997362575345015,0.9495867768595042,0.018865998532522223,0.9634609281559484,0.005408438502245206,0.9586526049497242,0.00891542072410475,28.1,0.0,121.0,0.0
8,extra_trees,1 vs 2,1,2,0.8217142857142857,0.007760590014271757,0.8311258278145696,0.012966159077782249,0.8986687887519105,0.004290462910346082,0.9036339554711204,0.006718153201980457,0.9839901477832511,0.004539420672177023,0.9876033057851241,0.007023442856188407,0.8275047120021028,0.005990832595802518,0.8329401866730383,0.012199590235757075,0.7731518296973963,0.01464430118714054,0.7964187327823692,0.030946094338474447,0.5633333333333332,0.09640129603144973,0.8093506493506494,0.10445148028489022,0.16095238095238096,0.034616278281991056,0.2,0.07200822998230956,0.2403001443001443,0.04843220250616725,0.31443416625701603,0.09357988706561886,6.9,0.0,30.0,0.0,0.8275047120021028,0.005990832595802518,0.8329401866730383,0.012199590235757075,0.9839901477832511,0.004539420672177023,0.9876033057851241,0.007023442856188407,0.8986687887519105,0.004290462910346082,0.9036339554711204,0.006718153201980457,28.1,0.0,121.0,0.0
9,xgboost,0 vs 1,0,1,0.916015873015873,0.010903759365923187,0.9163398692810458,0.01144568674210344,0.7394820734820734,0.03359782895096854,0.7519959681986002,0.037955577181940404,0.6533333333333334,0.036769251123300116,0.6499999999999998,0.061363116762151455,0.9038412698412698,0.036001275876410714,0.899939522719843,0.05499044428788871,0.9074102744546094,0.01555351265322537,0.9036856368563685,0.028648118492234788,0.9227963469676812,0.007981751848492372,0.9202030829898551,0.012601517645912186,0.9796182266009851,0.00699198234526817,0.9813008130081302,0.014365700033277569,0.9496852506161476,0.006623645895072407,0.9496419111184629,0.00690602587679701,28.5,0.0,123.0,0.0,0.9038412698412698,0.036001275876410714,0.899939522719843,0.05499044428788871,0.6533333333333334,0.036769251123300116,0.6499999999999998,0.061363116762151455,0.7394820734820734,0.03359782895096854,0.7519959681986002,0.037955577181940404,6.9,0.0,30.0,0.0
10,xgboost,0 vs 2,0,2,0.9567888471177943,0.007388910631598235,0.9506172839506174,0.011800171834077692,0.956080178561667,0.007554821900012784,0.9497152168984109,0.012416609441136452,0.9505172413793103,0.010438849966742401,0.9380165289256197,0.022800200216593465,0.9629351459112303,0.007423645728654698,0.9621586118077703,0.01520277988902862,0.9838467628430683,0.004371731990815991,0.984927516596667,0.007616442976352147,0.953058505592891,0.009692222192216061,0.9404693076673538,0.020174620026950512,0.9629433497536946,0.007714392054440611,0.9631147540983604,0.015576167009551051,0.9573973275373554,0.007264529894364038,0.9514647841263091,0.011282017538475308,28.600000000000005,3.744889033148481e-15,122.0,0.0,0.9629351459112303,0.007423645728654698,0.9621586118077703,0.01520277988902862,0.9505172413793103,0.010438849966742401,0.9380165289256197,0.022800200216593465,0.956080178561667,0.007554821900012784,0.9497152168984109,0.012416609441136452,28.1,0.0,121.0,0.0
11,xgboost,1 vs 2,1,2,0.8114285714285714,0.015649215928719002,0.8264900662251657,0.02434269095291873,0.8888060306920158,0.009243576401682786,0.8975715325723204,0.014274612020385357,0.9401847290640392,0.009967181256958493,0.9487603305785124,0.02298253841830768,0.8438505581047826,0.009459137484824322,0.8520531779764502,0.019283763409804165,0.7442003870513723,0.03110013772921297,0.7897520661157025,0.04041589274359553,0.5306190476190477,0.08825078859751136,0.6232065924271806,0.12366770598849176,0.28738095238095235,0.04611445770988251,0.33333333333333337,0.10304020550550783,0.35900882450882443,0.060004714386103414,0.42734822183762766,0.10112755579060402,6.9,0.0,30.0,0.0,0.8438505581047826,0.009459137484824322,0.8520531779764502,0.019283763409804165,0.9401847290640392,0.009967181256958493,0.9487603305785124,0.02298253841830768,0.8888060306920158,0.009243576401682786,0.8975715325723204,0.014274612020385357,28.1,0.0,121.0,0.0
12,adaboost,0 vs 1,0,1,0.9047222222222221,0.009877419100113242,0.9026143790849673,0.017278762578560654,0.7066375013875014,0.030531275077263952,0.7182134822625865,0.04691019590132044,0.6307142857142858,0.028159508587869687,0.6333333333333333,0.06085806194501844,0.8569722222222221,0.045291882416530094,0.8395055237817409,0.08892962546106846,0.8849176049730237,0.02196265231506014,0.8860975609756097,0.028549634950117003,0.9173588587595818,0.005758199364271768,0.9156487241469659,0.012517321129001864,0.9711822660098524,0.00909997694675426,0.9682926829268291,0.020798464882764097,0.9427897880251555,0.006134055280754791,0.9410739886759061,0.010776976665621097,28.5,0.0,123.0,0.0,0.8569722222222221,0.045291882416530094,0.8395055237817409,0.08892962546106846,0.6307142857142858,0.028159508587869687,0.6333333333333333,0.06085806194501844,0.7066375013875014,0.030531275077263952,0.7182134822625865,0.04691019590132044,6.9,0.0,30.0,0.0
13,adaboost,0 vs 2,0,2,0.9460119047619047,0.010584708469878695,0.9444444444444443,0.014932469860821156,0.9453304678458654,0.010536886267567505,0.9429978631094906,0.015423516777621011,0.9420073891625617,0.012875260906875931,0.9239669421487603,0.023952688836676762,0.950137404423945,0.012819144336849539,0.9632870570013781,0.018819647951751214,0.9826847290640395,0.004706301887845004,0.9818588267172469,0.008958842692866164,0.9446025709650201,0.012180633989666201,0.927929184352052,0.02150310441539919,0.9499261083743843,0.013639183411341824,0.9647540983606557,0.01855108764674092,0.9465603551848851,0.010703725234822095,0.9457989020561284,0.014508415999182765,28.600000000000005,3.744889033148481e-15,122.0,0.0,0.950137404423945,0.012819144336849539,0.9632870570013781,0.018819647951751214,0.9420073891625617,0.012875260906875931,0.9239669421487603,0.023952688836676762,0.9453304678458654,0.010536886267567505,0.9429978631094906,0.015423516777621011,28.1,0.0,121.0,0.0
14,adaboost,1 vs 2,1,2,0.7831428571428571,0.01911654196947627,0.8006622516556291,0.0160557143893759,0.8683417025747733,0.012978598790809632,0.8796185665177806,0.011146139681331695,0.8958251231527095,0.02050108981176118,0.9099173553719007,0.02597432411310889,0.8450032063474172,0.011152993108769405,0.8517660317322757,0.011117729955606488,0.7095786418015483,0.031586370648675026,0.7342011019283746,0.04813015706320463,0.44565873015873014,0.058706449287354016,0.5022458106049437,0.05759140796196198,0.3245238095238095,0.05366452815652565,0.36000000000000004,0.06629526173411689,0.35852023956435725,0.050334998858980365,0.41554061299167006,0.050778080249509576,6.9,0.0,30.0,0.0,0.8450032063474172,0.011152993108769405,0.8517660317322757,0.011117729955606488,0.8958251231527095,0.02050108981176118,0.9099173553719007,0.02597432411310889,0.8683417025747733,0.012978598790809632,0.8796185665177806,0.011146139681331695,28.1,0.0,121.0,0.0
15,svm,0 vs 1,0,1,0.8045158730158729,0.0017819183640631422,0.8032679738562092,0.002066848143900894,0.002222222222222222,0.007027283689263064,0.0,0.0,0.0014285714285714286,0.004517539514526257,0.0,0.0,0.005,0.015811388300841896,0.0,0.0,0.8634535538353273,0.024187766604319434,0.8542005420054201,0.03611833458533319,0.8051447245564892,0.0007068029715689972,0.8037925696594428,0.00040793055471727616,0.9989532019704435,0.0023619435407627076,0.9991869918699188,0.0025709574472913797,0.8916060449407224,0.0011072464866752842,0.8909011857707508,0.0012749103610164723,28.5,0.0,123.0,0.0,0.005,0.015811388300841896,0.0,0.0,0.0014285714285714286,0.004517539514526257,0.0,0.0,0.002222222222222222,0.007027283689263064,0.0,0.0,6.9,0.0,30.0,0.0
16,svm,0 vs 2,0,2,0.8382706766917293,0.007838165277447715,0.8539094650205762,0.020553256603253342,0.8261444708771238,0.009322071667271396,0.8449177103891439,0.023523264694229506,0.7804926108374384,0.01417751049419759,0.8008264462809918,0.037862505892074204,0.8820615730697343,0.01158227213423706,0.8955823106302869,0.0273901108660738,0.9408374384236454,0.004926900617543095,0.9512735401707086,0.015041148508420197,0.8084452595936394,0.00907356515532322,0.8219794604128567,0.027298103384122894,0.895036945812808,0.01148369941272927,0.9065573770491804,0.028183162750224353,0.8482701533647663,0.007154781323025319,0.8617535670144036,0.018648617013857623,28.600000000000005,3.744889033148481e-15,122.0,0.0,0.8820615730697343,0.01158227213423706,0.8955823106302869,0.0273901108660738,0.7804926108374384,0.01417751049419759,0.8008264462809918,0.037862505892074204,0.8261444708771238,0.009322071667271396,0.8449177103891439,0.023523264694229506,28.1,0.0,121.0,0.0
17,svm,1 vs 2,1,2,0.8028571428571428,0.0,0.8013245033112583,0.0,0.890625,0.0,0.8897058823529413,2.340555645717801e-16,1.0,0.0,1.0,0.0,0.8028571428571428,0.0,0.8013245033112583,0.0,0.7326108374384235,0.022238537134688346,0.7764462809917356,0.036424629538907446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,30.0,0.0,0.8028571428571428,0.0,0.8013245033112583,0.0,1.0,0.0,1.0,0.0,0.890625,0.0,0.8897058823529413,2.340555645717801e-16,28.1,0.0,121.0,0.0
18,logistic_regression,0 vs 1,0,1,0.8776190476190475,0.012194590722444812,0.8679738562091505,0.0203910395761178,0.6671315057491528,0.030406692837917797,0.6406496318998409,0.03726180259482431,0.6530952380952381,0.02963305441280395,0.6,0.0684934889218775,0.7160350482850483,0.05145522388730437,0.7015946727651532,0.08010786110614083,0.8562825475017594,0.024653922815639412,0.8513279132791329,0.026693789865130716,0.9192677042897983,0.00577532588587502,0.905777328912887,0.012462766059397046,0.93192118226601,0.013342212942659616,0.9333333333333332,0.0346629310684433,0.9244584653026247,0.007860712595179356,0.9188826652795985,0.014524694509974193,28.5,0.0,123.0,0.0,0.7160350482850483,0.05145522388730437,0.7015946727651532,0.08010786110614083,0.6530952380952381,0.02963305441280395,0.6,0.0684934889218775,0.6671315057491528,0.030406692837917797,0.6406496318998409,0.03726180259482431,6.9,0.0,30.0,0.0
19,logistic_regression,0 vs 2,0,2,0.9528571428571428,0.009120240430959903,0.9506172839506173,0.00950370813480867,0.9519141702293303,0.009314236652492168,0.9496992853483261,0.010216643358087836,0.944076354679803,0.009802049684049732,0.9380165289256197,0.021778771764245034,0.961125050490234,0.009639786538272889,0.9620670628130835,0.010666508843123293,0.9785758268824771,0.007910614273896617,0.9761075734995257,0.008842913960787511,0.9471436806792063,0.009371471933355672,0.9404478297589378,0.019152877617009467,0.9614039408866993,0.009320489805867726,0.9631147540983604,0.01109841312108739,0.9536771301441218,0.008962632903643951,0.9514827179320857,0.008890002234046655,28.600000000000005,3.744889033148481e-15,122.0,0.0,0.961125050490234,0.009639786538272889,0.9620670628130835,0.010666508843123293,0.944076354679803,0.009802049684049732,0.9380165289256197,0.021778771764245034,0.9519141702293303,0.009314236652492168,0.9496992853483261,0.010216643358087836,28.1,0.0,121.0,0.0
20,logistic_regression,1 vs 2,1,2,0.7348571428571429,0.018942567452117053,0.7503311258278146,0.033193425962617214,0.8311604098767982,0.013000349010167585,0.840234645221279,0.023594009436386867,0.82,0.01698100764044165,0.8214876033057852,0.03995915011453166,0.8462557880839092,0.010532846391573389,0.8608099251630064,0.018181908905421793,0.6927509969505043,0.03496650784792808,0.734435261707989,0.032295306828347456,0.35522186147186147,0.03467872122249428,0.3961979572505888,0.06144576113340285,0.3895238095238095,0.03722890588790493,0.46333333333333326,0.08081376242652524,0.359505303863663,0.03271658543874234,0.4239297642549924,0.05965554735615382,6.9,0.0,30.0,0.0,0.8462557880839092,0.010532846391573389,0.8608099251630064,0.018181908905421793,0.82,0.01698100764044165,0.8214876033057852,0.03995915011453166,0.8311604098767982,0.013000349010167585,0.840234645221279,0.023594009436386867,28.1,0.0,121.0,0.0
