,model,comparison,class_0_label,class_1_label,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_test_mean,precision_test_std,auc_cv_mean,auc_cv_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std
0,decision_tree,0 vs 1,0,1,0.8261746031746032,0.023869641915132092,0.830718954248366,0.026225362938220767,0.5611488960815586,0.059626724598469245,0.5720775068869017,0.05917774625104827,0.5835714285714284,0.05207280694836785,0.58,0.09711899281516512,0.5676097513597512,0.07211571377884506,0.5760402321012442,0.07744863789709804,0.7341995073891625,0.03334716127162233,0.7359349593495934,0.04096141191630895,0.8996079436305152,0.012855503831455534,0.8977007289603265,0.019777007163754273,0.8848275862068966,0.019357039624562967,0.891869918699187,0.03928137307135666,0.8904679073438171,0.015436128423171113,0.8941096849330009,0.018279715518564752,28.5,0.0,123.0,0.0,0.5676097513597512,0.07211571377884506,0.5760402321012442,0.07744863789709804,0.5835714285714284,0.05207280694836785,0.58,0.09711899281516512,0.5611488960815586,0.059626724598469245,0.5720775068869017,0.05917774625104827,6.9,0.0,30.0,0.0
1,decision_tree,0 vs 2,0,2,0.9003414786967419,0.019691811942482214,0.8995884773662551,0.015902745400482237,0.8988122302949021,0.01977692444376481,0.8972054262716146,0.016258425996550398,0.8946305418719213,0.020654781383840647,0.8801652892561984,0.024716747169320062,0.9055660316738419,0.022852415628262943,0.9156633780236195,0.02545607631540244,0.9002955665024631,0.019725328446481016,0.899508874136296,0.01589718842753568,0.8994132408511742,0.01926299477180154,0.8859427319682229,0.02071108131068972,0.9059605911330049,0.024060606350485743,0.9188524590163935,0.026334602754145325,0.9014735269381544,0.019869537631833523,0.9017988302402452,0.015755684359081683,28.600000000000005,3.744889033148481e-15,122.0,0.0,0.9055660316738419,0.022852415628262943,0.9156633780236195,0.02545607631540244,0.8946305418719213,0.020654781383840647,0.8801652892561984,0.024716747169320062,0.8988122302949021,0.01977692444376481,0.8972054262716146,0.016258425996550398,28.1,0.0,121.0,0.0
2,decision_tree,1 vs 2,1,2,0.7048571428571428,0.026939084723024392,0.7245033112582782,0.030936596982525124,0.8125451085433533,0.01819529195591534,0.8252217196190046,0.02174727503001193,0.8027463054187193,0.024070469297761618,0.8132231404958677,0.0357490428595225,0.8255149211551167,0.01609667680943813,0.8382837773078744,0.016629613856755827,0.5538731527093596,0.03950922963534081,0.5899449035812674,0.04001887749463736,0.2709125596625596,0.06035601234214346,0.32963599469615035,0.06050124034020313,0.30500000000000005,0.06684075908328638,0.3666666666666667,0.07535922203472521,0.28096087074260445,0.062143157034340625,0.3451281225924794,0.06158269632747072,6.9,0.0,30.0,0.0,0.8255149211551167,0.01609667680943813,0.8382837773078744,0.016629613856755827,0.8027463054187193,0.024070469297761618,0.8132231404958677,0.0357490428595225,0.8125451085433533,0.01819529195591534,0.8252217196190046,0.02174727503001193,28.1,0.0,121.0,0.0
3,random_forest,0 vs 1,0,1,0.8855952380952381,0.004301240736541928,0.8803921568627452,0.012722266946105813,0.5724074814074813,0.02135353749825031,0.5758974297364676,0.068109656822012,0.43166666666666664,0.018614452943952458,0.42000000000000004,0.07235031376044314,0.9497499999999999,0.04005792487984132,0.9397233893557424,0.05724608775405985,0.9014461646727657,0.01756714419636978,0.9042682926829269,0.023794820721334813,0.8799632003159126,0.0036153636738811583,0.8754829476053972,0.01321741902995171,0.9954187192118227,0.0029492724155174947,0.9926829268292684,0.00711865882740579,0.9336973804610368,0.0025036506562614753,0.9303305222029492,0.006889209499814418,28.5,0.0,123.0,0.0,0.9497499999999999,0.04005792487984132,0.9397233893557424,0.05724608775405985,0.43166666666666664,0.018614452943952458,0.42000000000000004,0.07235031376044314,0.5724074814074813,0.02135353749825031,0.5758974297364676,0.068109656822012,6.9,0.0,30.0,0.0
4,random_forest,0 vs 2,0,2,0.9560275689223058,0.006740746861044789,0.9460905349794239,0.01138628585429196,0.9560451431062912,0.006708518856797304,0.9460078630220092,0.011487442419562219,0.9618719211822662,0.007564557640386203,0.9487603305785124,0.017768061153275033,0.9515772298474607,0.010543002730722851,0.9435533339695257,0.015721088674520545,0.9850705928923293,0.004449594612568829,0.9854762227340469,0.008232873025546197,0.9630530843126923,0.0070324830000503095,0.9491704494607148,0.016670119384205533,0.9501970443349753,0.010916329762496381,0.9434426229508196,0.016597095681407003,0.9559062582179172,0.006805837196730583,0.9461570055435391,0.011327306478933423,28.600000000000005,3.744889033148481e-15,122.0,0.0,0.9515772298474607,0.010543002730722851,0.9435533339695257,0.015721088674520545,0.9618719211822662,0.007564557640386203,0.9487603305785124,0.017768061153275033,0.9560451431062912,0.006708518856797304,0.9460078630220092,0.011487442419562219,28.1,0.0,121.0,0.0
5,random_forest,1 vs 2,1,2,0.8105714285714285,0.0046754048413842125,0.819205298013245,0.014659565312038868,0.8931869404398757,0.00279741708189304,0.8975539791458187,0.008394409427983309,0.9861453201970445,0.006357524619609141,0.9884297520661157,0.011156174507612446,0.8166446073297354,0.0034186556255841796,0.8220071352102021,0.007762829443228662,0.75365851513019,0.03207148360567496,0.7864462809917356,0.03087388400862012,0.3991666666666666,0.0919985574229359,0.7645238095238095,0.223630599424006,0.09547619047619046,0.022319797118509812,0.1366666666666667,0.039907299991262156,0.14801875901875902,0.02790553862176025,0.2304095426696046,0.06369035062086327,6.9,0.0,30.0,0.0,0.8166446073297354,0.0034186556255841796,0.8220071352102021,0.007762829443228662,0.9861453201970445,0.006357524619609141,0.9884297520661157,0.011156174507612446,0.8931869404398757,0.00279741708189304,0.8975539791458187,0.008394409427983309,28.1,0.0,121.0,0.0
6,extra_trees,0 vs 1,0,1,0.907,0.004750692266767171,0.9013071895424837,0.012870636590624766,0.6867273771979654,0.02415044312508769,0.6811203724202669,0.06119253847223539,0.5733333333333333,0.02193120097522408,0.5466666666666666,0.08635270767877974,0.9227738095238095,0.036173591943491436,0.9265438423132931,0.06757433686157491,0.8969622331691298,0.01665396522453047,0.8933468834688346,0.03910066329642798,0.907142716856689,0.0038372862013959356,0.8997149805110511,0.01647170695577809,0.9876477832512315,0.0055796166439591255,0.9878048780487804,0.011656267299515745,0.9450808744684359,0.002888949591835639,0.9415473491078764,0.0071307966472872325,28.5,0.0,123.0,0.0,0.9227738095238095,0.036173591943491436,0.9265438423132931,0.06757433686157491,0.5733333333333333,0.02193120097522408,0.5466666666666666,0.08635270767877974,0.6867273771979654,0.02415044312508769,0.6811203724202669,0.06119253847223539,6.9,0.0,30.0,0.0
7,extra_trees,0 vs 2,0,2,0.9551472431077693,0.006302160658948817,0.946090534979424,0.013641766683623368,0.9550827680782682,0.006215042832621826,0.9460359535144732,0.013665068884191937,0.9597536945812808,0.007910542050797519,0.9487603305785124,0.01733568344082894,0.9515073339300258,0.00993264893074718,0.9435859917006102,0.018674842910727314,0.9848880629838141,0.003505282986403641,0.9864855710608319,0.008194046049889584,0.9608289036330333,0.007506254616074076,0.9491036843785766,0.01659453205830898,0.9505541871921181,0.010367161558398584,0.9434426229508196,0.01949296063577808,0.9551360434611716,0.006415360475617715,0.9461307561452934,0.013648025126562779,28.600000000000005,3.744889033148481e-15,122.0,0.0,0.9515073339300258,0.00993264893074718,0.9435859917006102,0.018674842910727314,0.9597536945812808,0.007910542050797519,0.9487603305785124,0.01733568344082894,0.9550827680782682,0.006215042832621826,0.9460359535144732,0.013665068884191937,28.1,0.0,121.0,0.0
8,extra_trees,1 vs 2,1,2,0.8074285714285715,0.0077605900142717335,0.8132450331125828,0.0075184928767887,0.8920634936192728,0.004123009553602879,0.8953354185412449,0.003812319687697282,0.9911083743842365,0.005077981782270871,0.9966942148760332,0.004267750243754715,0.8113094283167813,0.0066751734518093525,0.8127227992869905,0.006506203166291374,0.7231046211588084,0.026972927482532,0.7746556473829201,0.04475074502385309,0.29633333333333334,0.1627271441917117,0.7883333333333333,0.3121065424292809,0.059285714285714275,0.03961025161820797,0.07333333333333333,0.04097575314352394,0.09510317460317459,0.05902861684818544,0.1322276505910282,0.07018282476279193,6.9,0.0,30.0,0.0,0.8113094283167813,0.0066751734518093525,0.8127227992869905,0.006506203166291374,0.9911083743842365,0.005077981782270871,0.9966942148760332,0.004267750243754715,0.8920634936192728,0.004123009553602879,0.8953354185412449,0.003812319687697282,28.1,0.0,121.0,0.0
9,xgboost,0 vs 1,0,1,0.8981904761904762,0.006509097844502511,0.8967320261437909,0.01144568674210344,0.6855241280906916,0.020636975267906327,0.6875448689870438,0.048391355871070504,0.6059523809523808,0.025427808481906008,0.5866666666666666,0.08491099188685687,0.8342380952380953,0.04451999672438929,0.8508480462892226,0.08112377221225978,0.9140177105324888,0.01802623113418222,0.9033062330623306,0.02663705290844816,0.9122728600259149,0.005297110970053626,0.906519483712966,0.016490002002666815,0.9686206896551723,0.006838346136486056,0.9723577235772357,0.01805781165198663,0.9388982297274693,0.0038454324792819164,0.938043976555092,0.006718982062560327,28.5,0.0,123.0,0.0,0.8342380952380953,0.04451999672438929,0.8508480462892226,0.08112377221225978,0.6059523809523808,0.025427808481906008,0.5866666666666666,0.08491099188685687,0.6855241280906916,0.020636975267906327,0.6875448689870438,0.048391355871070504,6.9,0.0,30.0,0.0
