,model,target_binary,class_0_label,class_1_label,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_test_mean,precision_test_std,mae_cv_mean,mae_cv_std,mae_test_mean,mae_test_std,qwk_cv_mean,qwk_cv_std,qwk_test_mean,qwk_test_std,auc_cv_mean,auc_cv_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std
0,decision_tree,y > 0,y == 0,y > 0,0.8606282722513088,0.009361826547958637,0.8652014652014651,0.020122455750381095,0.8729283586383373,0.008934763703890706,0.8764183981993734,0.017585499278363035,0.8711428571428572,0.015311002833261478,0.8635761589403973,0.022338385237392518,0.875858396056038,0.011066543628330622,0.8904164910575598,0.0294557443275478,0.13937172774869108,0.009361826547958632,0.13479853479853482,0.020122455750381112,0.7185699640840246,0.01880968938789854,0.728198053934747,0.04111111700175227,0.8594667774086379,0.009400440669330608,0.8653946368472478,0.021347679821753045,0.8446528224328034,0.014936509582661413,0.8374270964111707,0.022661922669661667,0.8477906976744187,0.016818758002776647,0.8672131147540985,0.03974447332452061,0.8454032512962488,0.010390977729999076,0.8515921822501855,0.0238326791018236,86.0,0.0,122.0,0.0,0.875858396056038,0.011066543628330622,0.8904164910575598,0.0294557443275478,0.8711428571428572,0.015311002833261478,0.8635761589403973,0.022338385237392518,0.8729283586383373,0.008934763703890706,0.8764183981993734,0.017585499278363035,105.0,0.0,151.0,0.0
1,decision_tree,y > 1,y <= 1,y > 1,0.8032984293193717,0.011120229317537514,0.8208791208791208,0.022806917047475096,0.7740829565647769,0.01233229018921953,0.7945191347227596,0.025635588360488865,0.7677380952380952,0.016259675492307404,0.781818181818182,0.03976877671100514,0.7826474952792646,0.01614523212058661,0.8095397091161407,0.03691431293292768,0.1967015706806283,0.0111202293175375,0.1791208791208791,0.022806917047475096,0.6000286254813816,0.022352390602417636,0.6359076630087598,0.045904429041646225,0.7994765242545616,0.011082556896859186,0.816895933014354,0.02286997275788008,0.8210895730669543,0.010841127644233159,0.8313612462510479,0.025155690535525698,0.8312149532710279,0.015695494285688477,0.8519736842105263,0.03633342439864231,0.8255058568426221,0.010446601840611492,0.8410113305630468,0.021497070682449302,107.0,0.0,152.0,0.0,0.7826474952792646,0.01614523212058661,0.8095397091161407,0.03691431293292768,0.7677380952380952,0.016259675492307404,0.781818181818182,0.03976877671100514,0.7740829565647769,0.01233229018921953,0.7945191347227596,0.025635588360488865,84.0,0.0,121.0,0.0
2,random_forest,y > 0,y == 0,y > 0,0.9190052356020942,0.007974822485577062,0.9230769230769231,0.014652014652014645,0.9248248937460041,0.007782478049592606,0.9286462817797579,0.013410707736688168,0.9075238095238097,0.01356896849512403,0.905298013245033,0.0227383784226368,0.9435369357463911,0.006524239042402657,0.9538997051304212,0.022081649253798342,0.08099476439790575,0.007974822485577019,0.07692307692307691,0.014652014652014652,0.8370975181938787,0.015872851078920287,0.8453192836047124,0.029607090021719983,0.9679186046511628,0.004365780089336515,0.9688443165780045,0.007382515723321979,0.8929801861682577,0.01403861646497527,0.8903168185058764,0.023175267801499047,0.9330232558139535,0.008334685305870171,0.9450819672131148,0.028407417990317,0.9121253006283002,0.00819340010920199,0.9164912170823477,0.016414030679250787,86.0,0.0,122.0,0.0,0.9435369357463911,0.006524239042402657,0.9538997051304212,0.022081649253798342,0.9075238095238097,0.01356896849512403,0.905298013245033,0.0227383784226368,0.9248248937460041,0.007782478049592606,0.9286462817797579,0.013410707736688168,105.0,0.0,151.0,0.0
3,random_forest,y > 1,y <= 1,y > 1,0.8940314136125653,0.006858438908403275,0.9014652014652015,0.011768577054966055,0.8835487678849937,0.007876500547504071,0.8925536373806405,0.013881196378760351,0.9146428571428571,0.013113863618218294,0.9247933884297522,0.031276621442391114,0.8551453322577574,0.00799511206826567,0.8632500790427663,0.016841243305092568,0.10596858638743456,0.006858438908403273,0.09853479853479852,0.011768577054966046,0.7865459561375368,0.01393247035276261,0.8017684810036941,0.024019857640732053,0.9461153760569649,0.006845547481361656,0.9522265115267509,0.010663424840153266,0.9296194139906124,0.010007520353639601,0.9372818415202444,0.023985309722539937,0.8778504672897197,0.00784465492193423,0.8828947368421053,0.0182953101882581,0.9027197176018102,0.006142446466592284,0.9089425623484668,0.010405924765423668,107.0,0.0,152.0,0.0,0.8551453322577574,0.00799511206826567,0.8632500790427663,0.016841243305092568,0.9146428571428571,0.013113863618218294,0.9247933884297522,0.031276621442391114,0.8835487678849937,0.007876500547504071,0.8925536373806405,0.013881196378760351,84.0,0.0,121.0,0.0
4,extra_trees,y > 0,y == 0,y > 0,0.9201047120418849,0.00881006629062243,0.9234432234432235,0.013425462278293976,0.9261884841473236,0.00843997875781967,0.9293775420429308,0.012089713339672039,0.9130476190476191,0.01369906562846428,0.9105960264900663,0.022130174012983905,0.9404863023108726,0.008228024541911278,0.9497566866576033,0.024260944851766986,0.07989528795811517,0.00881006629062245,0.07655677655677656,0.013425462278293977,0.8391462627563948,0.01760867360094803,0.8458545002758472,0.027261655388815104,0.9688355481727573,0.004156574369797056,0.9707605037455215,0.005634220604982179,0.898429380798837,0.014498048075442953,0.8953409415884162,0.0216151509407657,0.9287209302325582,0.010530230960272306,0.939344262295082,0.031909948241871974,0.9128364529536095,0.009265998748190627,0.9163232811182207,0.015475373127296714,86.0,0.0,122.0,0.0,0.9404863023108726,0.008228024541911278,0.9497566866576033,0.024260944851766986,0.9130476190476191,0.01369906562846428,0.9105960264900663,0.022130174012983905,0.9261884841473236,0.00843997875781967,0.9293775420429308,0.012089713339672039,105.0,0.0,151.0,0.0
5,extra_trees,y > 1,y <= 1,y > 1,0.8959685863874345,0.006516169033182003,0.9025641025641026,0.013285929678862439,0.8870886641958595,0.007366781900600216,0.8949345424168618,0.0144458662335796,0.9301190476190475,0.012167083416795186,0.9363636363636363,0.024961170887216052,0.8484445490568209,0.0073708671342706394,0.8575968180136767,0.02116790809286078,0.10403141361256545,0.006516169033182018,0.09743589743589745,0.013285929678862458,0.7910238946667716,0.013190677169730288,0.8044368673661488,0.02666630519631703,0.9458350022251892,0.007390804866844218,0.9509351892127013,0.010900855926771048,0.9412442839864401,0.009530071312614168,0.945828716129251,0.019916183920771963,0.8691588785046729,0.007437592764058133,0.8756578947368421,0.02202828772604859,0.9034923666341609,0.005916134033310937,0.9091053396123192,0.01251752531670325,107.0,0.0,152.0,0.0,0.8484445490568209,0.0073708671342706394,0.8575968180136767,0.02116790809286078,0.9301190476190475,0.012167083416795186,0.9363636363636363,0.024961170887216052,0.8870886641958595,0.007366781900600216,0.8949345424168618,0.0144458662335796,84.0,0.0,121.0,0.0
6,xgboost,y > 0,y == 0,y > 0,0.9196858638743455,0.006741988357486161,0.9245421245421246,0.009169711040546338,0.9251593222154814,0.006525981707810695,0.9301104878981148,0.008947813629921095,0.9044761904761905,0.01208894557809842,0.9086092715231789,0.02042390023173576,0.9475852902080559,0.008708956918418187,0.9531561481881468,0.014813677475914389,0.08031413612565444,0.006741988357486118,0.07545787545787545,0.009169711040546319,0.8386042034589044,0.013460818154579545,0.8482169624861022,0.018264506004306374,0.9672347729789591,0.004972680482105375,0.9718271631744653,0.005924552665136136,0.8904390810025111,0.01195405022545553,0.8936386059097569,0.020265915257202022,0.9382558139534884,0.011212877511058424,0.944262295081967,0.019242422799627304,0.9132637924820795,0.007088262899342541,0.9179569025752311,0.009581804671323012,86.0,0.0,122.0,0.0,0.9475852902080559,0.008708956918418187,0.9531561481881468,0.014813677475914389,0.9044761904761905,0.01208894557809842,0.9086092715231789,0.02042390023173576,0.9251593222154814,0.006525981707810695,0.9301104878981148,0.008947813629921095,105.0,0.0,151.0,0.0
7,xgboost,y > 1,y <= 1,y > 1,0.8808376963350785,0.00810419793545101,0.8897435897435898,0.01764758645748204,0.867245594799332,0.009130661259401655,0.8779891465906513,0.01993940073314394,0.8863095238095238,0.01359959483189988,0.8958677685950415,0.03658833656393167,0.8500716614982922,0.01168888696787611,0.8621933652337089,0.029805414430439138,0.11916230366492146,0.008104197935451031,0.11025641025641027,0.01764758645748206,0.7592593867292903,0.01637065484983146,0.7775177936074265,0.03567084747772719,0.9378927458834001,0.007338139773426661,0.9462103088299261,0.011327491662574168,0.9084232654633817,0.009708755701619925,0.9152793759917428,0.02633674988544852,0.8765420560747664,0.011296432985713489,0.8848684210526315,0.02913449617453164,0.8917911730043233,0.007450104813129322,0.8993105578577417,0.016218435536027354,107.0,0.0,152.0,0.0,0.8500716614982922,0.01168888696787611,0.8621933652337089,0.029805414430439138,0.8863095238095238,0.01359959483189988,0.8958677685950415,0.03658833656393167,0.867245594799332,0.009130661259401655,0.8779891465906513,0.01993940073314394,84.0,0.0,121.0,0.0
8,adaboost,y > 0,y == 0,y > 0,0.9086910994764399,0.0063655582426381955,0.9150183150183151,0.012665496927853421,0.9155548692202519,0.006119990604722622,0.9217523273993109,0.011705701366117623,0.9007619047619047,0.010116977690562188,0.905298013245033,0.023372469638086393,0.931579564587496,0.007722974571987612,0.939601337738195,0.02264146914536124,0.0913089005235602,0.006365558242638181,0.08498168498168497,0.01266549692785342,0.8162097165180114,0.012723043559121334,0.8288205570875433,0.025544011303009515,0.9593361018826135,0.006436977801863649,0.968287916621431,0.008800385551678128,0.8842085538811226,0.010109741694887686,0.8885825426104714,0.023684858144516194,0.9183720930232558,0.00990914801939522,0.9270491803278688,0.029031260019977034,0.9005112860001014,0.0067208464485052095,0.9069275331946965,0.014071962938096318,86.0,0.0,122.0,0.0,0.931579564587496,0.007722974571987612,0.939601337738195,0.02264146914536124,0.9007619047619047,0.010116977690562188,0.905298013245033,0.023372469638086393,0.9155548692202519,0.006119990604722622,0.9217523273993109,0.011705701366117623,105.0,0.0,151.0,0.0
9,adaboost,y > 1,y <= 1,y > 1,0.8578010471204189,0.008617828614037516,0.8626373626373628,0.00917783661683329,0.8390078063358267,0.009563356196125875,0.8446447203099906,0.01335196344868047,0.8446428571428571,0.013223875161072771,0.8446280991735537,0.04404268626272471,0.8351488756377939,0.012922263423703523,0.8471303324896147,0.027414442133646362,0.14219895287958115,0.008617828614037535,0.13736263736263737,0.009177836616833279,0.7117283473057224,0.01734284082314302,0.7216043234966387,0.019328988039399597,0.9221851357365376,0.00907529796042503,0.9310787298825576,0.012439154188543319,0.8779897868668524,0.009094937718053859,0.8779027901834073,0.027946488006614215,0.8681308411214953,0.012307858875809796,0.8769736842105263,0.030076656449111765,0.8724774379064584,0.00803269991628283,0.8766507732605232,0.007998598250770511,107.0,0.0,152.0,0.0,0.8351488756377939,0.012922263423703523,0.8471303324896147,0.027414442133646362,0.8446428571428571,0.013223875161072771,0.8446280991735537,0.04404268626272471,0.8390078063358267,0.009563356196125875,0.8446447203099906,0.01335196344868047,84.0,0.0,121.0,0.0
