,model,comparison,class_0_label,class_1_label,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_test_mean,precision_test_std,auc_cv_mean,auc_cv_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std
0,decision_tree,0 vs 1,0,1,0.8422698412698413,0.014717376090258494,0.8379084967320262,0.03603672876363457,0.5975315067629309,0.03314850606824699,0.5697543940251417,0.07555047790724224,0.6192857142857143,0.038349843629730616,0.5466666666666666,0.09189365834726813,0.6077947885447885,0.047778504890180686,0.6112868351154166,0.10695061117286134,0.7578386699507389,0.020411445493763513,0.7278048780487805,0.046549478460689665,0.9085721952124736,0.00873143327001363,0.8918732456685415,0.019147868037021298,0.8963916256157635,0.016318139330508952,0.9089430894308942,0.043832122751557144,0.901042208383352,0.00975073506732418,0.8997789412269901,0.024326657874595578,28.5,0.0,123.0,0.0,0.6077947885447885,0.047778504890180686,0.6112868351154166,0.10695061117286134,0.6192857142857143,0.038349843629730616,0.5466666666666666,0.09189365834726813,0.5975315067629309,0.03314850606824699,0.5697543940251417,0.07555047790724224,6.9,0.0,30.0,0.0
1,decision_tree,0 vs 2,0,2,0.9116416040100251,0.017521811542433697,0.9037037037037037,0.02091175747616955,0.9103112325474069,0.017674186688847137,0.9015029909100483,0.020606608197701673,0.9070935960591132,0.018823278269204886,0.8834710743801653,0.020780189714210594,0.9164182703383735,0.021171116666471777,0.9210132389348752,0.03380222315779044,0.911625615763547,0.01755174076720655,0.9036207830917219,0.02087179859232876,0.9118772494556282,0.017369490603953153,0.8889765215251085,0.01782600692469338,0.9161576354679802,0.022239044029321836,0.9237704918032786,0.035213057090379606,0.9126093030993168,0.017586429729655836,0.9057365914422201,0.0213772407590434,28.600000000000005,3.744889033148481e-15,122.0,0.0,0.9164182703383735,0.021171116666471777,0.9210132389348752,0.03380222315779044,0.9070935960591132,0.018823278269204886,0.8834710743801653,0.020780189714210594,0.9103112325474069,0.017674186688847137,0.9015029909100483,0.020606608197701673,28.1,0.0,121.0,0.0
2,decision_tree,1 vs 2,1,2,0.7217142857142858,0.014518734476312032,0.7317880794701986,0.051226496184866646,0.8236806712909074,0.009896962883225446,0.8279485741162131,0.03625927767571512,0.8160837438423645,0.016382880046911005,0.809090909090909,0.054046469611294855,0.8346766745033708,0.013081874182272475,0.8490477558191263,0.026604926084671607,0.5770894909688014,0.029765114423433398,0.6145454545454545,0.06290929153818545,0.31196284271284275,0.03899701167313785,0.3604288263825431,0.09906524255016164,0.338095238095238,0.06337290405611787,0.42000000000000004,0.10446808243149473,0.3161258584037222,0.0480191267359812,0.38468202401226503,0.09191352550057287,6.9,0.0,30.0,0.0,0.8346766745033708,0.013081874182272475,0.8490477558191263,0.026604926084671607,0.8160837438423645,0.016382880046911005,0.809090909090909,0.054046469611294855,0.8236806712909074,0.009896962883225446,0.8279485741162131,0.03625927767571512,28.1,0.0,121.0,0.0
3,random_forest,0 vs 1,0,1,0.9101825396825397,0.007687909888637501,0.9052287581699346,0.014856407077326633,0.6790665445665447,0.030791016422740736,0.6823729614956484,0.06620186044585244,0.5407142857142857,0.03893664058888098,0.5266666666666666,0.07825251938515114,0.998,0.006324555320336729,0.982593984962406,0.02856266079250657,0.8939564273985455,0.019828013735158044,0.8821951219512195,0.04057064341573144,0.90154183001697,0.008080976205903381,0.8965218638978127,0.01526950210086905,0.9996428571428572,0.001129384878631525,0.997560975609756,0.003927202370241061,0.9476109818899854,0.004417428409185828,0.9442748901366885,0.008234435847011678,28.5,0.0,123.0,0.0,0.998,0.006324555320336729,0.982593984962406,0.02856266079250657,0.5407142857142857,0.03893664058888098,0.5266666666666666,0.07825251938515114,0.6790665445665447,0.030791016422740736,0.6823729614956484,0.06620186044585244,6.9,0.0,30.0,0.0
4,random_forest,0 vs 2,0,2,0.9601253132832082,0.006780035398965264,0.9563786008230453,0.013607239251179421,0.959189752342229,0.006994305247944695,0.9552916887176227,0.014154534665681638,0.9480295566502462,0.011015113189654159,0.937190082644628,0.022783551656347482,0.9716103572322703,0.007370196310113869,0.9745518639263817,0.017740052169184218,0.9887913441238565,0.003503368609882854,0.9893882942690692,0.007052205767900827,0.9510088865811197,0.010078073756749488,0.9403836176938066,0.02017407815014263,0.9720197044334975,0.007363300847346314,0.9754098360655737,0.017706941798928576,0.9609652360228951,0.006606407787776231,0.9573942922452877,0.013146513980046317,28.600000000000005,3.744889033148481e-15,122.0,0.0,0.9716103572322703,0.007370196310113869,0.9745518639263817,0.017740052169184218,0.9480295566502462,0.011015113189654159,0.937190082644628,0.022783551656347482,0.959189752342229,0.006994305247944695,0.9552916887176227,0.014154534665681638,28.1,0.0,121.0,0.0
5,random_forest,1 vs 2,1,2,0.8262857142857142,0.008497031627884018,0.83841059602649,0.013679411377333023,0.9009671448109507,0.004675013486753803,0.907541455965531,0.007271386480241327,0.9832758620689657,0.004136089850238615,0.9892561983471074,0.008754957896457678,0.8318792792043503,0.0064500702060524325,0.8384166631959911,0.01219182140965995,0.7765247478301666,0.023837968368811056,0.8007300275482094,0.04194048633544001,0.641,0.08486445256196477,0.8502777777777777,0.1165376270503159,0.1869047619047619,0.03581555307792484,0.22999999999999998,0.0710590086903088,0.27747041847041853,0.04727129315694716,0.35635370477475736,0.08977564753856788,6.9,0.0,30.0,0.0,0.8318792792043503,0.0064500702060524325,0.8384166631959911,0.01219182140965995,0.9832758620689657,0.004136089850238615,0.9892561983471074,0.008754957896457678,0.9009671448109507,0.004675013486753803,0.907541455965531,0.007271386480241327,28.1,0.0,121.0,0.0
6,extra_trees,0 vs 1,0,1,0.9233730158730159,0.003212788424752138,0.911764705882353,0.009864253963112647,0.7523472638472638,0.011176545009608888,0.7244130155726989,0.04084132999844498,0.6423809523809524,0.02602884226932852,0.5966666666666667,0.06749485577105527,0.9558214285714286,0.029490105463219313,0.9343797052620582,0.055342632924181505,0.8908667604973024,0.017464495202810036,0.8860433604336043,0.03695227924866302,0.9209680138810954,0.005111723741033601,0.9097607692749712,0.013285682376086745,0.9915517241379309,0.005556660921470913,0.9886178861788618,0.011624721186735609,0.9545096933443565,0.0020771793630336103,0.9474301039689083,0.005663833570612979,28.5,0.0,123.0,0.0,0.9558214285714286,0.029490105463219313,0.9343797052620582,0.055342632924181505,0.6423809523809524,0.02602884226932852,0.5966666666666667,0.06749485577105527,0.7523472638472638,0.011176545009608888,0.7244130155726989,0.04084132999844498,6.9,0.0,30.0,0.0
7,extra_trees,0 vs 2,0,2,0.9599498746867168,0.006139608471876106,0.954320987654321,0.011386285854291994,0.9593085429925784,0.006311209022380402,0.9536576218736226,0.011683628178860013,0.9547906403940886,0.00918448250578409,0.9446280991735538,0.018704402420680933,0.9650856586457254,0.005423213987647012,0.9631525326591855,0.014812801035230175,0.9883336998592542,0.003737555870567977,0.9886973309849614,0.008103584911081613,0.957146034685662,0.008563092246978873,0.9463897653786135,0.01707502999365472,0.965012315270936,0.005770083751234579,0.9639344262295081,0.015064534155289843,0.9604963349791797,0.006015507591484416,0.9549523247489746,0.011135537986576164,28.600000000000005,3.744889033148481e-15,122.0,0.0,0.9650856586457254,0.005423213987647012,0.9631525326591855,0.014812801035230175,0.9547906403940886,0.00918448250578409,0.9446280991735538,0.018704402420680933,0.9593085429925784,0.006311209022380402,0.9536576218736226,0.011683628178860013,28.1,0.0,121.0,0.0
8,extra_trees,1 vs 2,1,2,0.8208571428571428,0.00830812513811973,0.8298013245033111,0.014323292006629866,0.8982921389258436,0.004648798154705474,0.9028478317807138,0.007993909749950966,0.9847044334975369,0.0058239644126048705,0.9867768595041323,0.008884030576637522,0.8263422716593969,0.00579601818927751,0.8321147610490837,0.009407498816045105,0.7654753108139808,0.021423755207513124,0.7811019283746556,0.03361457296120254,0.5841666666666666,0.11259084123881566,0.7913095238095237,0.15364045019807718,0.15404761904761904,0.03255032733358927,0.19666666666666666,0.05079613089183316,0.23236580086580086,0.04615616924406598,0.312967241388294,0.07130275764005066,6.9,0.0,30.0,0.0,0.8263422716593969,0.00579601818927751,0.8321147610490837,0.009407498816045105,0.9847044334975369,0.0058239644126048705,0.9867768595041323,0.008884030576637522,0.8982921389258436,0.004648798154705474,0.9028478317807138,0.007993909749950966,28.1,0.0,121.0,0.0
9,xgboost,0 vs 1,0,1,0.9109047619047621,0.008111923876486541,0.9104575163398693,0.008741787646073555,0.7259473043296573,0.02619740297242777,0.7274879193056533,0.03266639493766875,0.6397619047619048,0.0322587563625124,0.6133333333333333,0.06516834799384523,0.8846190476190477,0.03215088083275476,0.9065493862862283,0.0683211422308341,0.90821135350692,0.017700162039069194,0.899810298102981,0.022722984246884997,0.9192881582240429,0.006972037370968998,0.912742708955044,0.013001036824309802,0.9767241379310343,0.00620235539909888,0.9829268292682928,0.015064435891259944,0.9465544555316164,0.004853228859666476,0.9463757240745011,0.005219027678672755,28.5,0.0,123.0,0.0,0.8846190476190477,0.03215088083275476,0.9065493862862283,0.0683211422308341,0.6397619047619048,0.0322587563625124,0.6133333333333333,0.06516834799384523,0.7259473043296573,0.02619740297242777,0.7274879193056533,0.03266639493766875,6.9,0.0,30.0,0.0
