model,task_name,task_type,target_type,original_classes,n_original_classes,lda_mode,classes_used,accuracy_cv_mean,accuracy_cv_std,accuracy_train_mean,accuracy_train_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_train_mean,f1_train_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_train_mean,recall_train_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_train_mean,precision_train_std,precision_test_mean,precision_test_std,misclassification_cost_mean_cv_mean,misclassification_cost_mean_cv_std,misclassification_cost_mean_train_mean,misclassification_cost_mean_train_std,misclassification_cost_mean_test_mean,misclassification_cost_mean_test_std,misclassification_cost_total_cv_mean,misclassification_cost_total_cv_std,misclassification_cost_total_train_mean,misclassification_cost_total_train_std,misclassification_cost_total_test_mean,misclassification_cost_total_test_std,misclassification_score_cv_mean,misclassification_score_cv_std,misclassification_score_train_mean,misclassification_score_train_std,misclassification_score_test_mean,misclassification_score_test_std,misclassification_cost_mean_true_class_0_cv_mean,misclassification_cost_mean_true_class_0_cv_std,misclassification_cost_mean_true_class_0_train_mean,misclassification_cost_mean_true_class_0_train_std,misclassification_cost_mean_true_class_0_test_mean,misclassification_cost_mean_true_class_0_test_std,misclassification_cost_mean_true_class_1_cv_mean,misclassification_cost_mean_true_class_1_cv_std,misclassification_cost_mean_true_class_1_train_mean,misclassification_cost_mean_true_class_1_train_std,misclassification_cost_mean_true_class_1_test_mean,misclassification_cost_mean_true_class_1_test_std,auc_cv_mean,auc_cv_std,auc_train_mean,auc_train_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_train_mean,precision_class_0_train_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_train_mean,recall_class_0_train_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_train_mean,f1_class_0_train_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_train_mean,support_class_0_train_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_train_mean,precision_class_1_train_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_train_mean,recall_class_1_train_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_train_mean,f1_class_1_train_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_train_mean,support_class_1_train_std,support_class_1_test_mean,support_class_1_test_std,tn_cv_mean,tn_cv_std,tn_train_mean,tn_train_std,tn_test_mean,tn_test_std,fp_cv_mean,fp_cv_std,fp_train_mean,fp_train_std,fp_test_mean,fp_test_std,fn_cv_mean,fn_cv_std,fn_train_mean,fn_train_std,fn_test_mean,fn_test_std,tp_cv_mean,tp_cv_std,tp_train_mean,tp_train_std,tp_test_mean,tp_test_std,specificity_cv_mean,specificity_cv_std,specificity_train_mean,specificity_train_std,specificity_test_mean,specificity_test_std,npv_cv_mean,npv_cv_std,npv_train_mean,npv_train_std,npv_test_mean,npv_test_std,fpr_cv_mean,fpr_cv_std,fpr_train_mean,fpr_train_std,fpr_test_mean,fpr_test_std,fnr_cv_mean,fnr_cv_std,fnr_train_mean,fnr_train_std,fnr_test_mean,fnr_test_std,positive_group,negative_group,X_transfromation,Target,X_Processing
decision_tree,0_vs_1,pairwise_binary_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,binary_lda_1d,"[0, 1]",0.7673118279569893,0.017611664675643787,1.0,0.0,0.8308270676691729,0.022063680277768193,0.7686181164251059,0.018661185142832926,1.0,0.0,0.8364624127897109,0.019695686624336333,0.7219,0.02159963991469403,1.0,0.0,0.8041958041958042,0.03127367800699008,0.8247513167519023,0.01710682564408308,1.0,0.0,0.8737434489629855,0.0435542096094132,0.8307526881720431,0.06301968204678957,0.0,0.0,0.5902255639097744,0.07499976444834588,154.51999999999998,11.721660860702862,0.0,0.0,157.0,19.949937343260004,-0.8307526881720431,0.06301968204678957,0.0,0.0,-0.5902255639097744,0.07499976444834588,0.17988372093023255,0.017980903811234794,0.0,0.0,0.13821138211382114,0.053655799114426375,1.3904999999999998,0.1079981995734702,0.0,0.0,0.979020979020979,0.15636839003495034,0.7710081395348837,0.01744324115982251,1.0,0.0,0.8329922110409915,0.023462272315816067,0.7190685975418561,0.018333420776624886,1.0,0.0,0.7917561132257374,0.022551920039647847,0.8201162790697675,0.017980903811234784,1.0,0.0,0.8617886178861788,0.05365579911442638,0.7652847134704815,0.017075341655008496,1.0,0.0,0.8243683615564027,0.02619582546001013,86.0,0.0,285.0,0.0,123.0,0.0,0.8247513167519023,0.01710682564408308,1.0,0.0,0.8737434489629855,0.0435542096094132,0.7219,0.02159963991469403,1.0,0.0,0.8041958041958042,0.03127367800699008,0.7686181164251059,0.018661185142832926,1.0,0.0,0.8364624127897109,0.019695686624336333,100.0,0.0,333.0,0.0,143.0,0.0,70.53,1.5463577277661917,285.0,0.0,106.0,6.599663291074443,15.469999999999999,1.546357727766193,0.0,0.0,17.0,6.599663291074443,27.809999999999995,2.1599639914694047,0.0,0.0,28.0,4.47213595499958,72.18999999999998,2.1599639914694064,333.0,0.0,115.0,4.47213595499958,0.8201162790697675,0.017980903811234784,1.0,0.0,0.8617886178861788,0.05365579911442638,0.7190685975418561,0.018333420776624886,1.0,0.0,0.7917561132257374,0.022551920039647847,0.17988372093023255,0.017980903811234794,0.0,0.0,0.13821138211382114,0.053655799114426375,0.27810000000000007,0.021599639914694043,0.0,0.0,0.1958041958041958,0.03127367800699007,,,None_sacler,HY3,X_STATS
decision_tree,0_vs_2,pairwise_binary_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,binary_lda_1d,"[0, 2]",0.9536263736263736,0.012343833209513386,1.0,0.0,0.9707692307692308,0.018058273704265663,0.6043032686267981,0.08581545997159014,1.0,0.0,0.7289091790562379,0.18473070924787524,0.602,0.08189424074174362,1.0,0.0,0.675,0.2140872096444188,0.6447905844155843,0.1011496032811415,1.0,0.0,0.8168650793650795,0.18040904864815174,0.13384615384615386,0.028448123143620774,0.0,0.0,0.10923076923076924,0.06925925339952466,12.18,2.58877920606949,0.0,0.0,14.2,9.003702941938204,-0.13384615384615386,0.028448123143620774,0.0,0.0,-0.10923076923076924,0.06925925339952466,0.025930232558139532,0.010003454724438594,0.0,0.0,0.009836065573770491,0.009305675609795847,1.9900000000000002,0.40947120370871837,0.0,0.0,1.625,1.070436048222094,0.7880348837209301,0.043674911525508696,1.0,0.0,0.8325819672131148,0.10867441259313068,0.976797566212565,0.004809200736017067,1.0,0.0,0.9790617802171383,0.013622694227712043,0.9740697674418606,0.010003454724438601,1.0,0.0,0.9901639344262294,0.009305675609795857,0.9752397567188064,0.006741722180138703,1.0,0.0,0.9845388971744253,0.009512767514797921,86.0,0.0,286.0,0.0,122.0,0.0,0.6447905844155843,0.1011496032811415,1.0,0.0,0.8168650793650795,0.18040904864815174,0.602,0.08189424074174362,1.0,0.0,0.675,0.2140872096444188,0.6043032686267981,0.08581545997159014,1.0,0.0,0.7289091790562379,0.18473070924787524,5.0,0.0,17.0,0.0,8.0,0.0,83.77000000000001,0.8602971063017218,286.0,0.0,120.8,1.1352924243950933,2.23,0.860297106301719,0.0,0.0,1.2,1.1352924243950933,1.9900000000000002,0.40947120370871837,0.0,0.0,2.6,1.7126976771553506,3.01,0.4094712037087183,17.0,0.0,5.4,1.7126976771553504,0.9740697674418606,0.010003454724438601,1.0,0.0,0.9901639344262294,0.009305675609795857,0.976797566212565,0.004809200736017067,1.0,0.0,0.9790617802171383,0.013622694227712043,0.025930232558139532,0.010003454724438594,0.0,0.0,0.009836065573770491,0.009305675609795847,0.398,0.08189424074174366,0.0,0.0,0.325,0.21408720964441882,,,None_sacler,HY3,X_STATS
decision_tree,1_vs_2,pairwise_binary_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,binary_lda_1d,"[1, 2]",0.8508571428571429,0.01670939345637714,1.0,0.0,0.8788079470198674,0.03091296020562527,0.1889619286470833,0.04683357182154923,1.0,0.0,0.276605141701595,0.08632152742219218,0.358,0.07568942389058653,1.0,0.0,0.4375,0.15866193970549808,0.13127899141472638,0.03562654130782267,1.0,0.0,0.20972860472860475,0.0753518446986905,0.2714285714285714,0.02671952433333439,0.0,0.0,0.2403973509933775,0.03694522811359907,28.500000000000007,2.805550055000109,0.0,0.0,36.3,5.578729445153459,-0.2714285714285714,0.02671952433333439,0.0,0.0,-0.2403973509933775,0.03694522811359907,0.12449999999999999,0.016112452051475927,0.0,0.0,0.09650349650349652,0.03667904571146097,3.21,0.3784471194529325,0.0,0.0,2.8125,0.7933096985274904,0.6167500000000001,0.04082363830484058,1.0,0.0,0.6704982517482517,0.07090258650986955,0.9646772989308825,0.004237040969744034,1.0,0.0,0.9665522382397171,0.008490692564373832,0.8755,0.016112452051475896,1.0,0.0,0.9034965034965035,0.03667904571146099,0.9174789342689319,0.009902527170580528,1.0,0.0,0.9335280885624005,0.018276057815959985,100.0,0.0,333.0,0.0,143.0,0.0,0.13127899141472638,0.03562654130782267,1.0,0.0,0.20972860472860475,0.0753518446986905,0.358,0.07568942389058653,1.0,0.0,0.4375,0.15866193970549808,0.1889619286470833,0.04683357182154923,1.0,0.0,0.276605141701595,0.08632152742219218,5.0,0.0,17.0,0.0,8.0,0.0,87.55000000000001,1.6112452051475918,333.0,0.0,129.2,5.245103536738918,12.45,1.6112452051475938,0.0,0.0,13.8,5.2451035367389185,3.21,0.3784471194529325,0.0,0.0,4.5,1.2692955176439846,1.7899999999999998,0.37844711945293263,17.0,0.0,3.5,1.2692955176439846,0.8755,0.016112452051475896,1.0,0.0,0.9034965034965035,0.03667904571146099,0.9646772989308825,0.004237040969744034,1.0,0.0,0.9665522382397171,0.008490692564373832,0.12449999999999999,0.016112452051475927,0.0,0.0,0.09650349650349652,0.03667904571146097,0.6419999999999999,0.07568942389058655,0.0,0.0,0.5625,0.15866193970549808,,,None_sacler,HY3,X_STATS
decision_tree,0_vs_1_2,grouped_multiclass_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,multiclass_lda_2d_then_recode,"[0, 1, 2]",0.7679057591623036,0.021745858990144997,1.0,0.0,0.8164835164835165,0.0424883863829182,0.7757778840700821,0.0263804912495647,1.0,0.0,0.8227734284487036,0.04745591803393029,0.7421904761904762,0.04441280052633577,1.0,0.0,0.7826666666666666,0.0719533456527025,0.8208794243045808,0.018113591350769304,1.0,0.0,0.8708619203174871,0.03340916812866189,0.7990052356020942,0.1163941453634385,0.0,0.0,0.6611721611721612,0.19710946092143908,152.60999999999999,22.231281764416757,0.0,0.0,180.5,53.81088283155287,-0.7990052356020942,0.1163941453634385,0.0,0.0,-0.6611721611721612,0.19710946092143908,0.2006976744186047,0.03018879758767606,0.0,0.0,0.14227642276422764,0.04202726942891822,1.289047619047619,0.22206400263167878,0.0,0.0,1.0866666666666667,0.35976672826351264,0.7707464008859357,0.02024576228435802,1.0,0.0,0.8201951219512195,0.04023007983945137,0.7248551218035375,0.032665183915929985,1.0,0.0,0.7675992669567387,0.05626643636687545,0.7993023255813954,0.03018879758767602,1.0,0.0,0.8577235772357724,0.04202726942891823,0.7567954514032226,0.019633060117249752,1.0,0.0,0.8088692645405509,0.03908789113449342,86.0,0.0,285.0,0.0,123.0,0.0,0.8208794243045808,0.018113591350769304,1.0,0.0,0.8708619203174871,0.03340916812866189,0.7421904761904762,0.04441280052633577,1.0,0.0,0.7826666666666666,0.0719533456527025,0.7757778840700821,0.0263804912495647,1.0,0.0,0.8227734284487036,0.04745591803393029,105.0,0.0,351.0,0.0,150.0,0.0,68.74,2.59623659254014,285.0,0.0,105.5,5.1693541397569405,17.259999999999998,2.596236592540141,0.0,0.0,17.5,5.1693541397569405,27.070000000000004,4.663344055265253,0.0,0.0,32.6,10.793001847905378,77.93,4.663344055265254,351.0,0.0,117.4,10.793001847905378,0.7993023255813954,0.03018879758767602,1.0,0.0,0.8577235772357724,0.04202726942891823,0.7248551218035375,0.032665183915929985,1.0,0.0,0.7675992669567387,0.05626643636687545,0.2006976744186047,0.03018879758767606,0.0,0.0,0.14227642276422764,0.04202726942891822,0.2578095238095238,0.04441280052633575,0.0,0.0,0.21733333333333332,0.07195334565270252,"[1, 2]",[0],None_sacler,HY3,X_STATS
decision_tree,1_vs_0_2,grouped_multiclass_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,multiclass_lda_2d_then_recode,"[0, 1, 2]",0.7346596858638743,0.019223843175241975,1.0,0.0,0.787912087912088,0.02797398802436346,0.7209526939117296,0.022865862865859714,1.0,0.0,0.7824710785891592,0.035933950874707375,0.6671,0.028234927149031402,1.0,0.0,0.7328671328671329,0.05995707754134369,0.7952602450844173,0.0189208103700207,1.0,0.0,0.842595935096931,0.02474427901623538,0.9625130890052356,0.0761584469180672,0.0,0.0,0.7717948717948718,0.15077313460014521,183.83999999999997,14.546263361350837,0.0,0.0,210.7,41.16106574583964,-0.9625130890052356,0.0761584469180672,0.0,0.0,-0.7717948717948718,0.15077313460014521,0.1910989010989011,0.02146188825396858,0.0,0.0,0.15153846153846157,0.03162277660168379,1.6644999999999999,0.14117463574515707,0.0,0.0,1.3356643356643356,0.2997853877067184,0.7380005494505495,0.019000816593223807,1.0,0.0,0.7906643356643356,0.0267801887434826,0.6941969619488402,0.019808565377855525,1.0,0.0,0.7450368938299948,0.03895804156772522,0.8089010989010988,0.021461888253968574,1.0,0.0,0.8484615384615385,0.03162277660168379,0.7445234111829684,0.017794886021024484,1.0,0.0,0.7924496700615296,0.022724668425920965,91.0,0.0,303.0,0.0,130.0,0.0,0.7952602450844173,0.0189208103700207,1.0,0.0,0.842595935096931,0.02474427901623538,0.6671,0.028234927149031402,1.0,0.0,0.7328671328671329,0.05995707754134369,0.7209526939117296,0.022865862865859714,1.0,0.0,0.7824710785891592,0.035933950874707375,100.0,0.0,333.0,0.0,143.0,0.0,73.60999999999999,1.9530318311111419,303.0,0.0,110.3,4.110960958218893,17.389999999999997,1.9530318311111396,0.0,0.0,19.7,4.110960958218893,33.290000000000006,2.8234927149031406,0.0,0.0,38.2,8.573862088412149,66.71000000000001,2.823492714903141,333.0,0.0,104.8,8.573862088412149,0.8089010989010988,0.021461888253968574,1.0,0.0,0.8484615384615385,0.03162277660168379,0.6941969619488402,0.019808565377855525,1.0,0.0,0.7450368938299948,0.03895804156772522,0.1910989010989011,0.02146188825396858,0.0,0.0,0.15153846153846157,0.03162277660168379,0.3329,0.0282349271490314,0.0,0.0,0.2671328671328671,0.05995707754134368,[1],"[0, 2]",None_sacler,HY3,X_STATS
decision_tree,2_vs_0_1,grouped_multiclass_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,multiclass_lda_2d_then_recode,"[0, 1, 2]",0.9412041884816753,0.007909630017543632,1.0,0.0,0.9512820512820512,0.009926972710221174,0.21657540726947783,0.05880815056570715,1.0,0.0,0.33318809695711027,0.06955635849646788,0.32199999999999995,0.08715248450592533,1.0,0.0,0.48571428571428565,0.18070158058105024,0.17233470695970693,0.050804089863259974,1.0,0.0,0.2634083850931678,0.05688883872570156,0.12979057591623036,0.013280621846256476,0.0,0.0,0.10146520146520147,0.015924589830977408,24.79,2.536598772634989,0.0,0.0,27.7,4.347413023856832,-0.12979057591623036,0.013280621846256476,0.0,0.0,-0.10146520146520147,0.015924589830977408,0.0421505376344086,0.007963122051325485,0.0,0.0,0.036466165413533834,0.013267830508838521,3.3899999999999997,0.43576242252962655,0.0,0.0,2.5714285714285716,0.9035079029052513,0.6399247311827958,0.04344538610394423,1.0,0.0,0.724624060150376,0.08547638246011353,0.9813831806357746,0.002363298649308038,1.0,0.0,0.9862118668343269,0.004735285546608406,0.9578494623655915,0.007963122051325516,1.0,0.0,0.9635338345864662,0.01326783050883852,0.9693804936209599,0.004257383643344305,1.0,0.0,0.9746727740305362,0.005365595118357488,186.0,0.0,618.0,0.0,266.0,0.0,0.17233470695970693,0.050804089863259974,1.0,0.0,0.2634083850931678,0.05688883872570156,0.32199999999999995,0.08715248450592533,1.0,0.0,0.48571428571428565,0.18070158058105024,0.21657540726947783,0.05880815056570715,1.0,0.0,0.33318809695711027,0.06955635849646788,5.0,0.0,18.0,0.0,7.0,0.0,178.16000000000003,1.4811407015465448,618.0,0.0,256.3,3.5292429153510465,7.839999999999999,1.4811407015465405,0.0,0.0,9.7,3.529242915351047,3.3899999999999997,0.43576242252962655,0.0,0.0,3.6,1.2649110640673518,1.61,0.43576242252962666,18.0,0.0,3.4,1.2649110640673518,0.9578494623655915,0.007963122051325516,1.0,0.0,0.9635338345864662,0.01326783050883852,0.9813831806357746,0.002363298649308038,1.0,0.0,0.9862118668343269,0.004735285546608406,0.0421505376344086,0.007963122051325485,0.0,0.0,0.036466165413533834,0.013267830508838521,0.6779999999999999,0.08715248450592536,0.0,0.0,0.5142857142857142,0.18070158058105026,[2],"[0, 1]",None_sacler,HY3,X_STATS
random_forest,0_vs_1,pairwise_binary_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,binary_lda_1d,"[0, 1]",0.7673118279569893,0.017611664675643787,1.0,0.0,0.8308270676691729,0.022063680277768193,0.7686181164251059,0.018661185142832926,1.0,0.0,0.8364624127897109,0.019695686624336333,0.7219,0.02159963991469403,1.0,0.0,0.8041958041958042,0.03127367800699008,0.8247513167519023,0.01710682564408308,1.0,0.0,0.8737434489629855,0.0435542096094132,0.8307526881720431,0.06301968204678957,0.0,0.0,0.5902255639097744,0.07499976444834588,154.51999999999998,11.721660860702862,0.0,0.0,157.0,19.949937343260004,-0.8307526881720431,0.06301968204678957,0.0,0.0,-0.5902255639097744,0.07499976444834588,0.17988372093023255,0.017980903811234794,0.0,0.0,0.13821138211382114,0.053655799114426375,1.3904999999999998,0.1079981995734702,0.0,0.0,0.979020979020979,0.15636839003495034,0.7924744186046512,0.01847061276312185,1.0,0.0,0.8639945420433225,0.025658675873379534,0.7190685975418561,0.018333420776624886,1.0,0.0,0.7917561132257374,0.022551920039647847,0.8201162790697675,0.017980903811234784,1.0,0.0,0.8617886178861788,0.05365579911442638,0.7652847134704815,0.017075341655008496,1.0,0.0,0.8243683615564027,0.02619582546001013,86.0,0.0,285.0,0.0,123.0,0.0,0.8247513167519023,0.01710682564408308,1.0,0.0,0.8737434489629855,0.0435542096094132,0.7219,0.02159963991469403,1.0,0.0,0.8041958041958042,0.03127367800699008,0.7686181164251059,0.018661185142832926,1.0,0.0,0.8364624127897109,0.019695686624336333,100.0,0.0,333.0,0.0,143.0,0.0,70.53,1.5463577277661917,285.0,0.0,106.0,6.599663291074443,15.469999999999999,1.546357727766193,0.0,0.0,17.0,6.599663291074443,27.809999999999995,2.1599639914694047,0.0,0.0,28.0,4.47213595499958,72.18999999999998,2.1599639914694064,333.0,0.0,115.0,4.47213595499958,0.8201162790697675,0.017980903811234784,1.0,0.0,0.8617886178861788,0.05365579911442638,0.7190685975418561,0.018333420776624886,1.0,0.0,0.7917561132257374,0.022551920039647847,0.17988372093023255,0.017980903811234794,0.0,0.0,0.13821138211382114,0.053655799114426375,0.27810000000000007,0.021599639914694043,0.0,0.0,0.1958041958041958,0.03127367800699007,,,None_sacler,HY3,X_STATS
random_forest,0_vs_2,pairwise_binary_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,binary_lda_1d,"[0, 2]",0.9536263736263736,0.012343833209513386,1.0,0.0,0.9707692307692308,0.018058273704265663,0.6043032686267981,0.08581545997159014,1.0,0.0,0.7289091790562379,0.18473070924787524,0.602,0.08189424074174362,1.0,0.0,0.675,0.2140872096444188,0.6447905844155843,0.1011496032811415,1.0,0.0,0.8168650793650795,0.18040904864815174,0.13384615384615386,0.028448123143620774,0.0,0.0,0.10923076923076924,0.06925925339952466,12.18,2.58877920606949,0.0,0.0,14.2,9.003702941938204,-0.13384615384615386,0.028448123143620774,0.0,0.0,-0.10923076923076924,0.06925925339952466,0.025930232558139532,0.010003454724438594,0.0,0.0,0.009836065573770491,0.009305675609795847,1.9900000000000002,0.40947120370871837,0.0,0.0,1.625,1.070436048222094,0.7880348837209301,0.043674911525508696,1.0,0.0,0.8325819672131148,0.10867441259313068,0.976797566212565,0.004809200736017067,1.0,0.0,0.9790617802171383,0.013622694227712043,0.9740697674418606,0.010003454724438601,1.0,0.0,0.9901639344262294,0.009305675609795857,0.9752397567188064,0.006741722180138703,1.0,0.0,0.9845388971744253,0.009512767514797921,86.0,0.0,286.0,0.0,122.0,0.0,0.6447905844155843,0.1011496032811415,1.0,0.0,0.8168650793650795,0.18040904864815174,0.602,0.08189424074174362,1.0,0.0,0.675,0.2140872096444188,0.6043032686267981,0.08581545997159014,1.0,0.0,0.7289091790562379,0.18473070924787524,5.0,0.0,17.0,0.0,8.0,0.0,83.77000000000001,0.8602971063017218,286.0,0.0,120.8,1.1352924243950933,2.23,0.860297106301719,0.0,0.0,1.2,1.1352924243950933,1.9900000000000002,0.40947120370871837,0.0,0.0,2.6,1.7126976771553506,3.01,0.4094712037087183,17.0,0.0,5.4,1.7126976771553504,0.9740697674418606,0.010003454724438601,1.0,0.0,0.9901639344262294,0.009305675609795857,0.976797566212565,0.004809200736017067,1.0,0.0,0.9790617802171383,0.013622694227712043,0.025930232558139532,0.010003454724438594,0.0,0.0,0.009836065573770491,0.009305675609795847,0.398,0.08189424074174366,0.0,0.0,0.325,0.21408720964441882,,,None_sacler,HY3,X_STATS
random_forest,1_vs_2,pairwise_binary_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,binary_lda_1d,"[1, 2]",0.8508571428571429,0.01670939345637714,1.0,0.0,0.8788079470198674,0.03091296020562527,0.1889619286470833,0.04683357182154923,1.0,0.0,0.276605141701595,0.08632152742219218,0.358,0.07568942389058653,1.0,0.0,0.4375,0.15866193970549808,0.13127899141472638,0.03562654130782267,1.0,0.0,0.20972860472860475,0.0753518446986905,0.2714285714285714,0.02671952433333439,0.0,0.0,0.2403973509933775,0.03694522811359907,28.500000000000007,2.805550055000109,0.0,0.0,36.3,5.578729445153459,-0.2714285714285714,0.02671952433333439,0.0,0.0,-0.2403973509933775,0.03694522811359907,0.12449999999999999,0.016112452051475927,0.0,0.0,0.09650349650349652,0.03667904571146097,3.21,0.3784471194529325,0.0,0.0,2.8125,0.7933096985274904,0.6211,0.04016811892257063,1.0,0.0,0.6763111888111888,0.07431532375842675,0.9646772989308825,0.004237040969744034,1.0,0.0,0.9665522382397171,0.008490692564373832,0.8755,0.016112452051475896,1.0,0.0,0.9034965034965035,0.03667904571146099,0.9174789342689319,0.009902527170580528,1.0,0.0,0.9335280885624005,0.018276057815959985,100.0,0.0,333.0,0.0,143.0,0.0,0.13127899141472638,0.03562654130782267,1.0,0.0,0.20972860472860475,0.0753518446986905,0.358,0.07568942389058653,1.0,0.0,0.4375,0.15866193970549808,0.1889619286470833,0.04683357182154923,1.0,0.0,0.276605141701595,0.08632152742219218,5.0,0.0,17.0,0.0,8.0,0.0,87.55000000000001,1.6112452051475918,333.0,0.0,129.2,5.245103536738918,12.45,1.6112452051475938,0.0,0.0,13.8,5.2451035367389185,3.21,0.3784471194529325,0.0,0.0,4.5,1.2692955176439846,1.7899999999999998,0.37844711945293263,17.0,0.0,3.5,1.2692955176439846,0.8755,0.016112452051475896,1.0,0.0,0.9034965034965035,0.03667904571146099,0.9646772989308825,0.004237040969744034,1.0,0.0,0.9665522382397171,0.008490692564373832,0.12449999999999999,0.016112452051475927,0.0,0.0,0.09650349650349652,0.03667904571146097,0.6419999999999999,0.07568942389058655,0.0,0.0,0.5625,0.15866193970549808,,,None_sacler,HY3,X_STATS
random_forest,0_vs_1_2,grouped_multiclass_lda,binary_derived_from_multiclass,"[0, 1, 2]",3,multiclass_lda_2d_then_recode,"[0, 1, 2]",0.7837696335078534,0.016127769706314708,1.0,0.0,0.8443223443223443,0.028228639857623652,0.7950562741698667,0.017821123827993716,1.0,0.0,0.8508731333904942,0.029405176931463585,0.7676190476190475,0.030343627035805728,1.0,0.0,0.8113333333333334,0.047250318439060204,0.8289279041559251,0.014660134083030817,1.0,0.0,0.896312216037756,0.028929609012731873,0.7272251308900525,0.08041493955015677,0.0,0.0,0.5703296703296703,0.1281766350103758,138.90000000000003,15.359253454079944,0.0,0.0,155.7,34.99222135783259,-0.7272251308900525,0.08041493955015677,0.0,0.0,-0.5703296703296703,0.1281766350103758,0.19651162790697674,0.02218463259109176,0.0,0.0,0.11544715447154472,0.03570659965745389,1.1619047619047618,0.15171813517902882,0.0,0.0,0.9433333333333334,0.23625159219530104,0.844861018826135,0.01964101392791567,1.0,0.0,0.9140243902439025,0.01556472922472192,0.7428706109960127,0.024146764723560695,1.0,0.0,0.7954368545900976,0.04053522239552034,0.8034883720930232,0.022184632591091775,1.0,0.0,0.8845528455284553,0.035706599657453875,0.7698736695738095,0.015323563882964502,1.0,0.0,0.8368398300724303,0.02759195921824457,86.0,0.0,285.0,0.0,123.0,0.0,0.8289279041559251,0.014660134083030817,1.0,0.0,0.896312216037756,0.028929609012731873,0.7676190476190475,0.030343627035805728,1.0,0.0,0.8113333333333334,0.047250318439060204,0.7950562741698667,0.017821123827993716,1.0,0.0,0.8508731333904942,0.029405176931463585,105.0,0.0,351.0,0.0,150.0,0.0,69.10000000000001,1.9078784028338907,285.0,0.0,108.8,4.391911757866827,16.9,1.9078784028338909,0.0,0.0,14.2,4.391911757866828,24.4,3.1860808387596062,0.0,0.0,28.3,7.08754776585903,80.6,3.186080838759603,351.0,0.0,121.7,7.08754776585903,0.8034883720930232,0.022184632591091775,1.0,0.0,0.8845528455284553,0.035706599657453875,0.7428706109960127,0.024146764723560695,1.0,0.0,0.7954368545900976,0.04053522239552034,0.19651162790697674,0.02218463259109176,0.0,0.0,0.11544715447154472,0.03570659965745389,0.23238095238095235,0.03034362703580577,0.0,0.0,0.18866666666666668,0.047250318439060204,"[1, 2]",[0],None_sacler,HY3,X_STATS
