model,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_test_mean,precision_test_std,misclassification_cost_mean_cv_mean,misclassification_cost_mean_cv_std,misclassification_cost_mean_test_mean,misclassification_cost_mean_test_std,misclassification_cost_total_cv_mean,misclassification_cost_total_cv_std,misclassification_cost_total_test_mean,misclassification_cost_total_test_std,misclassification_score_cv_mean,misclassification_score_cv_std,misclassification_score_test_mean,misclassification_score_test_std,misclassification_cost_mean_true_class_0_cv_mean,misclassification_cost_mean_true_class_0_cv_std,misclassification_cost_mean_true_class_0_test_mean,misclassification_cost_mean_true_class_0_test_std,misclassification_cost_mean_true_class_1_cv_mean,misclassification_cost_mean_true_class_1_cv_std,misclassification_cost_mean_true_class_1_test_mean,misclassification_cost_mean_true_class_1_test_std,auc_cv_mean,auc_cv_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std,tn_cv_mean,tn_cv_std,tn_test_mean,tn_test_std,fp_cv_mean,fp_cv_std,fp_test_mean,fp_test_std,fn_cv_mean,fn_cv_std,fn_test_mean,fn_test_std,tp_cv_mean,tp_cv_std,tp_test_mean,tp_test_std,specificity_cv_mean,specificity_cv_std,specificity_test_mean,specificity_test_std,npv_cv_mean,npv_cv_std,npv_test_mean,npv_test_std,fpr_cv_mean,fpr_cv_std,fpr_test_mean,fpr_test_std,fnr_cv_mean,fnr_cv_std,fnr_test_mean,fnr_test_std,X_transfromation,Pair,Target,X_Processing
decision_tree,binary,"[0, 1]",2,0.8702150537634408,0.011278084053510083,0.8744360902255638,0.016261782654143703,0.8797873140723184,0.01097936917741116,0.8810859317810245,0.015609961255527204,0.884,0.01744196726926814,0.8657342657342657,0.023028604261498314,0.877025323225926,0.012016973903522564,0.8974407433240325,0.01926868978073737,0.379247311827957,0.04677673402513252,0.41428571428571426,0.06245078966688914,70.54,8.700472528674648,110.2,16.61191005139251,-0.379247311827957,0.04677673402513252,-0.41428571428571426,0.06245078966688914,0.14581395348837206,0.015544520367470989,0.11544715447154472,0.023872862379994843,0.58,0.0872098363463408,0.6713286713286714,0.11514302130749156,0.8690930232558138,0.011135343895041526,0.8751435556313604,0.016257875260391144,0.8652920416166292,0.01806590551014591,0.850441029412945,0.022111628908271334,0.854186046511628,0.015544520367470982,0.8845528455284553,0.023872862379994825,0.8586786142196867,0.011707487375971692,0.8669265180528845,0.01726623676723448,86.0,0.0,123.0,0.0,0.877025323225926,0.012016973903522564,0.8974407433240325,0.01926868978073737,0.884,0.01744196726926814,0.8657342657342657,0.023028604261498314,0.8797873140723184,0.01097936917741116,0.8810859317810245,0.015609961255527204,100.0,0.0,143.0,0.0,73.46,1.3368287516025055,108.8,2.9363620727393656,12.540000000000001,1.3368287516025046,14.2,2.936362072739365,11.599999999999998,1.744196726926817,19.2,3.2930904093942583,88.4,1.7441967269268168,123.8,3.2930904093942583,0.854186046511628,0.015544520367470982,0.8845528455284553,0.023872862379994825,0.8652920416166292,0.01806590551014591,0.850441029412945,0.022111628908271334,0.14581395348837206,0.015544520367470989,0.11544715447154472,0.023872862379994843,0.11600000000000002,0.017441967269268173,0.1342657342657343,0.02302860426149831,None_sacler,0 vs 1,HY3,X_STATS
random_forest,binary,"[0, 1]",2,0.9263440860215054,0.006481412659507201,0.9218045112781953,0.008825472111107291,0.9299049845951449,0.0064251232210532664,0.9245895758531294,0.008875720134440629,0.9101000000000001,0.011039826890752296,0.8923076923076924,0.018115952659883867,0.9512385788837291,0.0036521544609357448,0.9596869710407875,0.013609633427312959,0.26698924731182794,0.029976245611049356,0.3097744360902256,0.04550097530991566,49.660000000000004,5.5755816836551775,82.4,12.103259432437566,-0.26698924731182794,0.029976245611049356,-0.3097744360902256,0.04550097530991566,0.054767441860465116,0.004331731339828998,0.04390243902439024,0.015894719022889085,0.4495,0.05519913445376154,0.5384615384615385,0.09057976329941933,0.9698738372093023,0.005184313949418431,0.9671584513047927,0.005339880107488889,0.9012154944996149,0.011488062680219624,0.8845890408003939,0.016495239901251207,0.945232558139535,0.004331731339829002,0.9560975609756097,0.015894719022889078,0.9223456238718988,0.006518691361027573,0.9187720997369156,0.00890360602433232,86.0,0.0,123.0,0.0,0.9512385788837291,0.0036521544609357448,0.9596869710407875,0.013609633427312959,0.9101000000000001,0.011039826890752296,0.8923076923076924,0.018115952659883867,0.9299049845951449,0.0064251232210532664,0.9245895758531294,0.008875720134440629,100.0,0.0,143.0,0.0,81.28999999999999,0.37252889522529414,117.6,1.955050439815357,4.71,0.3725288952252936,5.4,1.9550504398153574,8.99,1.103982689075231,15.4,2.590581230363393,91.01,1.1039826890752318,127.6,2.590581230363393,0.945232558139535,0.004331731339829002,0.9560975609756097,0.015894719022889078,0.9012154944996149,0.011488062680219624,0.8845890408003939,0.016495239901251207,0.054767441860465116,0.004331731339828998,0.04390243902439024,0.015894719022889085,0.0899,0.011039826890752311,0.10769230769230768,0.018115952659883867,None_sacler,0 vs 1,HY3,X_STATS
extra_trees,binary,"[0, 1]",2,0.9224731182795699,0.006999808214489315,0.9203007518796993,0.011861814101452855,0.926749417863953,0.006783743916352263,0.9233942522836829,0.011391516238991596,0.9132000000000001,0.010464755664185877,0.8937062937062936,0.01858965224930244,0.9413416571355564,0.0057394710234872645,0.9555791491902358,0.018697838315674776,0.26419354838709685,0.028929416505934794,0.3082706766917293,0.047947685387741835,49.14,5.38087147010387,82.0,12.754084313139327,-0.26419354838709685,0.028929416505934794,-0.3082706766917293,0.047947685387741835,0.06674418604651162,0.006937876227988977,0.04878048780487805,0.021680216802168018,0.434,0.052323778320929576,0.5314685314685315,0.09294826124651229,0.9699098837209302,0.005366787687857024,0.9676388651998409,0.00545958834577452,0.9032019082511896,0.011200469517719235,0.8853861880935641,0.0173401138189405,0.9332558139534883,0.0069378762279889835,0.9512195121951219,0.021680216802168025,0.9176034055226452,0.0072389025502385285,0.9169059768107897,0.012534525192794368,86.0,0.0,123.0,0.0,0.9413416571355564,0.0057394710234872645,0.9555791491902358,0.018697838315674776,0.9132000000000001,0.010464755664185877,0.8937062937062936,0.01858965224930244,0.926749417863953,0.006783743916352263,0.9233942522836829,0.011391516238991596,100.0,0.0,143.0,0.0,80.26,0.5966573556070528,117.0,2.6666666666666665,5.74,0.596657355607052,6.0,2.6666666666666665,8.679999999999998,1.046475566418591,15.2,2.6583202716502514,91.32000000000001,1.0464755664185916,127.8,2.6583202716502514,0.9332558139534883,0.0069378762279889835,0.9512195121951219,0.021680216802168025,0.9032019082511896,0.011200469517719235,0.8853861880935641,0.0173401138189405,0.06674418604651162,0.006937876227988977,0.04878048780487805,0.021680216802168018,0.08679999999999999,0.010464755664185916,0.1062937062937063,0.018589652249302462,None_sacler,0 vs 1,HY3,X_STATS
xgboost,binary,"[0, 1]",2,0.9181720430107527,0.006593423534088547,0.9157894736842105,0.010808951705688125,0.9225219711098086,0.006582208469234781,0.9197108778430444,0.009703703262574949,0.9069999999999998,0.01187901978747032,0.8965034965034967,0.015034513283540388,0.9393852862909247,0.005043687845606887,0.9447062739746859,0.022712170394203958,0.2818279569892473,0.031623385968314266,0.3067669172932331,0.03531967725303823,52.42,5.881949790106451,81.6,9.395034149308168,-0.2818279569892473,0.031623385968314266,-0.3067669172932331,0.03531967725303823,0.06883720930232558,0.006220900045810506,0.06178861788617886,0.02742354610444123,0.465,0.05939509893735155,0.5174825174825174,0.0751725664177021,0.9647976744186046,0.006077539649546953,0.9676445505713798,0.00510231609089877,0.896848880071557,0.012207792694506793,0.8866366750123016,0.013203494164200734,0.9311627906976744,0.0062209000458104515,0.938211382113821,0.027423546104441227,0.9132225588839106,0.006587124734415556,0.9114063620872086,0.012334866613596777,86.0,0.0,123.0,0.0,0.9393852862909247,0.005043687845606887,0.9447062739746859,0.022712170394203958,0.9069999999999998,0.01187901978747032,0.8965034965034967,0.015034513283540388,0.9225219711098086,0.006582208469234781,0.9197108778430444,0.009703703262574949,100.0,0.0,143.0,0.0,80.08,0.5349974039397036,115.4,3.3730961708462712,5.92,0.5349974039397035,7.6,3.3730961708462712,9.3,1.1879019787470306,14.8,2.1499353995462798,90.7,1.1879019787470297,128.2,2.14993539954628,0.9311627906976744,0.0062209000458104515,0.938211382113821,0.027423546104441227,0.896848880071557,0.012207792694506793,0.8866366750123016,0.013203494164200734,0.06883720930232558,0.006220900045810506,0.06178861788617886,0.02742354610444123,0.093,0.011879019787470312,0.1034965034965035,0.015034513283540421,None_sacler,0 vs 1,HY3,X_STATS
adaboost,binary,"[0, 1]",2,0.9142473118279568,0.008360748061239693,0.9116541353383459,0.012562617578799125,0.9190046205952512,0.008103831813892945,0.9166265534830321,0.01164808776702917,0.9052999999999999,0.01284133949399357,0.9034965034965037,0.02206463322368156,0.9339014535023914,0.006778574663695744,0.9308784718098847,0.02253250830821974,0.2894086021505376,0.035270574671367926,0.29586466165413533,0.05419129429655023,53.830000000000005,6.560326888874433,78.7,14.41488428288236,-0.2894086021505376,0.035270574671367926,-0.29586466165413533,0.05419129429655023,0.07534883720930233,0.008291312841625386,0.07886178861788619,0.027914594648928114,0.4734999999999999,0.06420669746996803,0.4825174825174825,0.11032316611840777,0.9642651162790697,0.006343620491663336,0.9672721587355735,0.008603654067585115,0.8943567214428821,0.013382294412694905,0.8920551076499577,0.020639921392170326,0.9246511627906976,0.008291312841625379,0.9211382113821138,0.027914594648928124,0.9088099804382246,0.008677699800372083,0.9059677238608665,0.013954581400610708,86.0,0.0,123.0,0.0,0.9339014535023914,0.006778574663695744,0.9308784718098847,0.02253250830821974,0.9052999999999999,0.01284133949399357,0.9034965034965037,0.02206463322368156,0.9190046205952512,0.008103831813892945,0.9166265534830321,0.01164808776702917,100.0,0.0,143.0,0.0,79.52,0.7130529043797842,113.3,3.4334951418181574,6.480000000000001,0.7130529043797834,9.7,3.4334951418181574,9.47,1.2841339493993609,13.8,3.155242550986462,90.53,1.284133949399358,129.2,3.155242550986462,0.9246511627906976,0.008291312841625379,0.9211382113821138,0.027914594648928124,0.8943567214428821,0.013382294412694905,0.8920551076499577,0.020639921392170326,0.07534883720930233,0.008291312841625386,0.07886178861788619,0.027914594648928114,0.09469999999999999,0.012841339493993612,0.0965034965034965,0.02206463322368155,None_sacler,0 vs 1,HY3,X_STATS
svm,binary,"[0, 1]",2,0.9173655913978495,0.006866629585750928,0.9184210526315789,0.006402024949596387,0.9170062010377229,0.0074281757471510316,0.9185972286955868,0.006866120260790094,0.8522000000000001,0.01283917615910171,0.8566433566433564,0.012873381138912897,0.9931947220088823,0.0034670304229001627,0.9903843302135819,0.007261819987688117,0.40048387096774196,0.03432678631749123,0.38984962406015045,0.03339310976120669,74.49,6.384782255053373,103.7,8.882567196480982,-0.40048387096774196,0.03432678631749123,-0.38984962406015045,0.03339310976120669,0.00686046511627907,0.0034862181119021487,0.00975609756097561,0.0074710291339242394,0.739,0.06419588079550832,0.7167832167832168,0.06436690569456445,0.9693552325581397,0.0057446793156168945,0.9679401898914094,0.007566859549715926,0.8532611503363026,0.010935930385638436,0.8560830127571496,0.01074855768874965,0.993139534883721,0.0034862181119021452,0.9902439024390244,0.007471029133924234,0.9176767393487566,0.006327232671865401,0.918232494240689,0.005984302644605581,86.0,0.0,123.0,0.0,0.9931947220088823,0.0034670304229001627,0.9903843302135819,0.007261819987688117,0.8522000000000001,0.01283917615910171,0.8566433566433564,0.012873381138912897,0.9170062010377229,0.0074281757471510316,0.9185972286955868,0.006866120260790094,100.0,0.0,143.0,0.0,85.41,0.2998147576235854,121.8,0.9189365834726815,0.5900000000000001,0.2998147576235848,1.2,0.9189365834726815,14.780000000000001,1.2839176159101657,20.5,1.8408935028645435,85.22,1.283917615910166,122.5,1.8408935028645435,0.993139534883721,0.0034862181119021452,0.9902439024390244,0.007471029133924234,0.8532611503363026,0.010935930385638436,0.8560830127571496,0.01074855768874965,0.00686046511627907,0.0034862181119021487,0.00975609756097561,0.0074710291339242394,0.1478,0.01283917615910165,0.14335664335664336,0.012873381138912886,None_sacler,0 vs 1,HY3,X_STATS
logistic_regression,binary,"[0, 1]",2,0.90758064516129,0.009334320183033004,0.9037593984962407,0.007965036883243456,0.9125455049876263,0.00878127064601755,0.9081560786073946,0.006825965358549737,0.8971,0.012870724748651693,0.8846153846153847,0.014463489097891425,0.9295456532003072,0.011754278149387372,0.9335599134986603,0.021340210747886786,0.3137096774193549,0.03487148516539437,0.3443609022556391,0.030705590267251684,58.35,6.48609624076335,91.6,8.167687011088947,-0.3137096774193549,0.03487148516539437,-0.3443609022556391,0.030705590267251684,0.08023255813953488,0.01439858575271838,0.07398373983739837,0.02612050029272952,0.5145000000000001,0.06435362374325854,0.5769230769230769,0.07231744548945722,0.9553220930232559,0.009126446253206546,0.951066007163568,0.007310121817595217,0.8858134850707404,0.013107836670911144,0.8738008164694302,0.011861426632436887,0.9197674418604652,0.014398585752718395,0.9260162601626014,0.02612050029272953,0.901890597075073,0.010075702636491874,0.8988542764574688,0.009606410159238923,86.0,0.0,123.0,0.0,0.9295456532003072,0.011754278149387372,0.9335599134986603,0.021340210747886786,0.8971,0.012870724748651693,0.8846153846153847,0.014463489097891425,0.9125455049876263,0.00878127064601755,0.9081560786073946,0.006825965358549737,100.0,0.0,143.0,0.0,79.1,1.2382783747337793,113.9,3.212821536005731,6.9,1.2382783747337809,9.1,3.212821536005731,10.290000000000001,1.2870724748651707,16.5,2.068278940998476,89.71000000000001,1.2870724748651718,126.5,2.068278940998476,0.9197674418604652,0.014398585752718395,0.9260162601626014,0.02612050029272953,0.8858134850707404,0.013107836670911144,0.8738008164694302,0.011861426632436887,0.08023255813953488,0.01439858575271838,0.07398373983739837,0.02612050029272952,0.10290000000000002,0.01287072474865171,0.11538461538461538,0.014463489097891444,None_sacler,0 vs 1,HY3,X_STATS
knn,binary,"[0, 1]",2,0.8806451612903226,0.009674100054670785,0.8774436090225564,0.016453782017212887,0.875311001900992,0.011084951964522987,0.8719679797815463,0.019282471572751095,0.7835,0.017386137517510274,0.7783216783216782,0.03022223404822928,0.9931296372999799,0.005143556514619009,0.9919605881260367,0.002845102971820428,0.5849462365591398,0.04686234295317302,0.599248120300752,0.08140928038603171,108.8,8.716395789290178,159.4,21.654868582684433,-0.5849462365591398,0.04686234295317302,-0.599248120300752,0.08140928038603171,0.006395348837209301,0.00475497835131213,0.007317073170731709,0.0025709574472913654,1.0825,0.08693068758755125,1.108391608391608,0.15111117024114631,0.9339784883720931,0.006469814329723106,0.9332366820171698,0.012558504003846787,0.7990369452070782,0.013253763002897913,0.7944492314924032,0.02243686040150343,0.9936046511627905,0.004754978351312117,0.9926829268292684,0.0025709574472913793,0.8854220120231717,0.008482411011762477,0.8824184305847178,0.014016040591123045,86.0,0.0,123.0,0.0,0.9931296372999799,0.005143556514619009,0.9919605881260367,0.002845102971820428,0.7835,0.017386137517510274,0.7783216783216782,0.03022223404822928,0.875311001900992,0.011084951964522987,0.8719679797815463,0.019282471572751095,100.0,0.0,143.0,0.0,85.45,0.40892813821284274,122.1,0.31622776601683794,0.55,0.40892813821284324,0.9,0.31622776601683794,21.65,1.7386137517510258,31.7,4.321779468896785,78.35,1.7386137517510265,111.3,4.321779468896785,0.9936046511627905,0.004754978351312117,0.9926829268292684,0.0025709574472913793,0.7990369452070782,0.013253763002897913,0.7944492314924032,0.02243686040150343,0.006395348837209301,0.00475497835131213,0.007317073170731709,0.0025709574472913654,0.2165,0.017386137517510263,0.22167832167832166,0.030222234048229265,None_sacler,0 vs 1,HY3,X_STATS
gaussian_nb,binary,"[0, 1]",2,0.912043010752688,0.005347593376790862,0.9071428571428571,0.008690997937042463,0.9172613907290577,0.0055352360759770005,0.9115070785338153,0.007101025460022603,0.9067999999999999,0.0122456341426467,0.8888111888111888,0.012531170215119425,0.9288303701978121,0.005912550640857911,0.9359304452925384,0.02173659528348351,0.28838709677419355,0.03098358482305685,0.331954887218045,0.02519077528985106,53.64,5.762946777088573,88.3,6.700746227100382,-0.28838709677419355,0.03098358482305685,-0.331954887218045,0.02519077528985106,0.08186046511627906,0.007638707926248069,0.07154471544715447,0.027583762926828126,0.466,0.06122817071323371,0.5559440559440558,0.06265585107559726,0.9364151162790698,0.0036187087312240457,0.9406390357609868,0.012430956491183587,0.8952108627068075,0.012046943845842106,0.8780586595113296,0.010012204594527629,0.918139534883721,0.007638707926248025,0.9284552845528455,0.027583762926828116,0.9060083758147683,0.0051206035920728634,0.9022559642298574,0.010874727324281314,86.0,0.0,123.0,0.0,0.9288303701978121,0.005912550640857911,0.9359304452925384,0.02173659528348351,0.9067999999999999,0.0122456341426467,0.8888111888111888,0.012531170215119425,0.9172613907290577,0.0055352360759770005,0.9115070785338153,0.007101025460022603,100.0,0.0,143.0,0.0,78.96,0.6569288816573342,114.2,3.3928028399998595,7.040000000000001,0.656928881657334,8.8,3.3928028399998595,9.32,1.2245634142646737,15.9,1.7919573407620815,90.67999999999999,1.224563414264674,127.1,1.7919573407620815,0.918139534883721,0.007638707926248025,0.9284552845528455,0.027583762926828116,0.8952108627068075,0.012046943845842106,0.8780586595113296,0.010012204594527629,0.08186046511627906,0.007638707926248069,0.07154471544715447,0.027583762926828126,0.09319999999999999,0.012245634142646742,0.11118881118881119,0.012531170215119455,None_sacler,0 vs 1,HY3,X_STATS
decision_tree,binary,"[0, 1]",2,0.9805494505494506,0.0051295131769773595,0.9738461538461538,0.012135548273024868,0.7971825396825396,0.052416107643126264,0.758357035121741,0.12889963584244887,0.7340000000000001,0.0632806798671162,0.7,0.17873008824606013,0.9163095238095238,0.042653875692778724,0.8564285714285715,0.1276692551302911,0.07791208791208791,0.018580132487237586,0.1,0.054754247446314415,7.089999999999999,1.6907920563386196,13.0,7.118052168020874,-0.07791208791208791,0.018580132487237586,-0.1,0.054754247446314415,0.0051162790697674414,0.0028057303985819936,0.008196721311475409,0.006692594925637099,1.3299999999999998,0.3164033993355809,1.5,0.8936504412303007,0.8644418604651163,0.032213420570872425,0.8459016393442622,0.08910884996478542,0.9848182880663543,0.00360331014545275,0.9806753156972687,0.01135626036348505,0.9948837209302324,0.002805730398581967,0.9918032786885245,0.0066925949256371065,0.9897692143572943,0.0027104199871889807,0.9861650749988871,0.006370379307045854,86.0,0.0,122.0,0.0,0.9163095238095238,0.042653875692778724,0.8564285714285715,0.1276692551302911,0.7340000000000001,0.0632806798671162,0.7,0.17873008824606013,0.7971825396825396,0.052416107643126264,0.758357035121741,0.12889963584244887,5.0,0.0,8.0,0.0,85.56,0.24129281427805227,121.0,0.816496580927726,0.43999999999999995,0.24129281427805147,1.0,0.816496580927726,1.3299999999999998,0.3164033993355809,2.4,1.4298407059684812,3.6699999999999995,0.3164033993355809,5.6,1.429840705968481,0.9948837209302324,0.002805730398581967,0.9918032786885245,0.0066925949256371065,0.9848182880663543,0.00360331014545275,0.9806753156972687,0.01135626036348505,0.0051162790697674414,0.0028057303985819936,0.008196721311475409,0.006692594925637099,0.26600000000000007,0.0632806798671162,0.3,0.17873008824606015,None_sacler,0 vs 2,HY3,X_STATS
