modelo,n_samples,n_samples_evaluadas,n_clusters,samples_por_grupo,silhouette,calinski_harabasz,davies_bouldin,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info,normalized_mutual_info,X_processing
agglo,986,986,3,"{0: 461, 1: 518, 2: 7}",0.13751918286251993,87.90011168029065,2.5388490713812115,0.41821713986055964,0.5459870768466346,0.47363649675672154,0.4649315016442198,0.4722766052897021,0.47363649675672154,X_STATS_V2_SMOTE
kmeans,986,986,3,"{0: 473, 1: 169, 2: 344}",0.14588688560191268,133.23887305569048,2.860095910892332,0.5277519453591423,0.49125222356859843,0.508848392491153,0.5372400790242001,0.5078309926536488,0.508848392491153,X_STATS_V2_SMOTE
gmm,986,986,3,"{0: 473, 1: 172, 2: 341}",0.14545912847729026,132.81181293922944,2.8763870832803526,0.5360026033209891,0.49789836115697367,0.5162483195944059,0.5412141746466965,0.5152473738693641,0.516248319594406,X_STATS_V2_SMOTE
agglo,986,986,3,"{0: 523, 1: 443, 2: 20}",0.10729853758027257,88.01447990017995,3.2563345395545813,0.4126313482906759,0.506629160848668,0.45482444126765176,0.4417213043602009,0.4534838363676706,0.45482444126765176,X_STATS_V2_ROS
kmeans,986,986,3,"{0: 353, 1: 160, 2: 473}",0.14652754734361623,135.20658704465203,2.8124191439451303,0.5380179152100817,0.5041889757064235,0.52055441956046,0.5506868093418039,0.5195576445311705,0.52055441956046,X_STATS_V2_ROS
gmm,986,986,3,"{0: 336, 1: 178, 2: 472}",0.14356163831403917,135.10372492540787,2.848152921776858,0.540777229695211,0.5002075208401083,0.5197018251295614,0.5389760003664638,0.5187103025476067,0.5197018251295614,X_STATS_V2_ROS
agglo,986,986,3,"{0: 495, 1: 459, 2: 32}",0.08404574372371157,78.95886443998053,3.7889680028730446,0.46176403530607346,0.5402712955908521,0.49794223001850385,0.5399841066753663,0.4967545864116662,0.49794223001850385,X_VX_STATS_V2_SMOTE
kmeans,986,986,3,"{0: 164, 1: 336, 2: 486}",0.14057854745901435,116.9928372756239,3.0074350570135397,0.5424686562711016,0.5090116055080153,0.525207845935455,0.5408804897152317,0.5242201320625103,0.5252078459354549,X_VX_STATS_V2_SMOTE
gmm,986,986,3,"{0: 6, 1: 627, 2: 353}",0.21798196125212252,92.94251118721853,2.2282292531355274,0.3050781081388155,0.42268495609199785,0.35437887158941417,0.28796397837676685,0.35266628064744854,0.35437887158941417,X_VX_STATS_V2_SMOTE
agglo,986,986,3,"{0: 24, 1: 451, 2: 511}",0.09466244775600777,81.8714603678351,3.636033996498773,0.37461280220378534,0.4517911547153602,0.40959811254960854,0.41675143945378695,0.40816771539643343,0.40959811254960854,X_VX_STATS_V2_ROS
kmeans,986,986,3,"{0: 499, 1: 128, 2: 359}",0.15159780371021242,118.10231657222116,2.9303699383795654,0.5345504599772207,0.5202311409462463,0.5272936036120106,0.5488985761484556,0.5262907598755788,0.5272936036120106,X_VX_STATS_V2_ROS
gmm,986,986,3,"{0: 487, 1: 347, 2: 152}",0.14409015524992363,118.40451541540676,2.979342265602251,0.5418314801306658,0.513345964666014,0.5272042256507604,0.5453877329903506,0.52621552582868,0.5272042256507605,X_VX_STATS_V2_ROS
agglo,986,986,3,"{0: 90, 1: 535, 2: 361}",0.0779499193105849,33.70806413734291,5.453385034751668,0.35889200851630065,0.3718945280773877,0.3652775946312315,0.3430759014572388,0.3638853217118548,0.3652775946312315,X_VX_DELTA_V2_SMOTE
kmeans,986,986,3,"{0: 542, 1: 316, 2: 128}",0.1067732110788374,46.73199080746164,4.608381033916589,0.41152730603195686,0.4084037262561401,0.4099595664054536,0.4008273213757747,0.4086952206493903,0.4099595664054536,X_VX_DELTA_V2_SMOTE
gmm,986,986,3,"{0: 236, 1: 628, 2: 122}",0.13370664207862465,45.52387992345957,4.623737049270869,0.3292806439065409,0.35274005351047505,0.3406068830211399,0.2763922186765294,0.3391385757474909,0.34060688302113995,X_VX_DELTA_V2_SMOTE
