model,target_type,classes,n_classes,bayes_best_cv_score_cv_mean,bayes_best_cv_score_cv_std,accuracy_cv_mean,accuracy_cv_std,f1_cv_mean,f1_cv_std,recall_cv_mean,recall_cv_std,precision_cv_mean,precision_cv_std,misclassification_cost_mean_cv_mean,misclassification_cost_mean_cv_std,misclassification_cost_total_cv_mean,misclassification_cost_total_cv_std,misclassification_score_cv_mean,misclassification_score_cv_std,misclassification_cost_mean_true_class_0_cv_mean,misclassification_cost_mean_true_class_0_cv_std,misclassification_cost_mean_true_class_1_cv_mean,misclassification_cost_mean_true_class_1_cv_std,roc_auc_cv_mean,roc_auc_cv_std,aucpr_cv_mean,aucpr_cv_std,aucpr_baseline_cv_mean,aucpr_baseline_cv_std,precision_class_0_cv_mean,precision_class_0_cv_std,recall_class_0_cv_mean,recall_class_0_cv_std,f1_class_0_cv_mean,f1_class_0_cv_std,support_class_0_cv_mean,support_class_0_cv_std,precision_class_1_cv_mean,precision_class_1_cv_std,recall_class_1_cv_mean,recall_class_1_cv_std,f1_class_1_cv_mean,f1_class_1_cv_std,support_class_1_cv_mean,support_class_1_cv_std,tn_cv_mean,tn_cv_std,fp_cv_mean,fp_cv_std,fn_cv_mean,fn_cv_std,tp_cv_mean,tp_cv_std,specificity_cv_mean,specificity_cv_std,npv_cv_mean,npv_cv_std,fpr_cv_mean,fpr_cv_std,fnr_cv_mean,fnr_cv_std,accuracy_test_mean,accuracy_test_std,f1_test_mean,f1_test_std,recall_test_mean,recall_test_std,precision_test_mean,precision_test_std,misclassification_cost_mean_test_mean,misclassification_cost_mean_test_std,misclassification_cost_total_test_mean,misclassification_cost_total_test_std,misclassification_score_test_mean,misclassification_score_test_std,misclassification_cost_mean_true_class_0_test_mean,misclassification_cost_mean_true_class_0_test_std,misclassification_cost_mean_true_class_1_test_mean,misclassification_cost_mean_true_class_1_test_std,roc_auc_test_mean,roc_auc_test_std,aucpr_test_mean,aucpr_test_std,aucpr_baseline_test_mean,aucpr_baseline_test_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_test_mean,support_class_1_test_std,tn_test_mean,tn_test_std,fp_test_mean,fp_test_std,fn_test_mean,fn_test_std,tp_test_mean,tp_test_std,specificity_test_mean,specificity_test_std,npv_test_mean,npv_test_std,fpr_test_mean,fpr_test_std,fnr_test_mean,fnr_test_std,OVR_Label
decision_tree_gini,binary,"[0, 1]",2,0.22684497268600062,0.04260028594943311,0.8996855345911949,0.053903280849937396,0.38610116937830447,0.1414094544869161,0.9941176470588236,0.018601633295108118,0.2491777944874775,0.12418278043473525,0.1009433962264151,0.054086425145818365,64.2,34.39896639274048,-0.1009433962264151,0.054086425145818365,0.10290791599353796,0.0553483078776521,0.029411764705882353,0.09300816647554057,0.9720992112515443,0.015730313718110032,0.4392926918450978,0.20593946268357893,0.026729559748427674,0.0,0.9998181818181818,0.0005749595745760727,0.8970920840064618,0.05534830787765208,0.94484757849266,0.0315214973139295,619.0,0.0,0.2491777944874775,0.12418278043473525,0.9941176470588236,0.018601633295108118,0.38610116937830447,0.1414094544869161,17.0,0.0,555.3,34.26060257626665,63.7,34.26060257626665,0.1,0.31622776601683794,16.9,0.3162277660168379,0.8970920840064618,0.05534830787765208,0.9998181818181818,0.0005749595745760727,0.10290791599353796,0.0553483078776521,0.0058823529411764705,0.018601633295108114,0.8930402930402931,0.0609963133369285,0.2766100676477311,0.14853006811737335,0.65,0.32702361450580975,0.18300959355717356,0.09395434768598414,0.14798534798534796,0.07570601431323323,40.4,20.667741907512674,-0.14798534798534796,0.07570601431323323,0.09962264150943397,0.062469010552271206,1.75,1.6351180725290486,0.7870990566037737,0.16390693274102103,0.23404377685724437,0.11257232629074876,0.029304029304029304,0.0,0.9884501907395269,0.010363087094528167,0.9003773584905661,0.06246901055227119,0.9413087106462559,0.036040701422502056,265.0,0.0,0.18300959355717356,0.09395434768598414,0.65,0.32702361450580975,0.2766100676477311,0.14853006811737335,8.0,0.0,238.6,16.554287796351872,26.4,16.554287796351872,2.8,2.616188916046478,5.2,2.616188916046478,0.9003773584905661,0.06246901055227119,0.9884501907395269,0.010363087094528167,0.09962264150943397,0.062469010552271206,0.35,0.32702361450580975,y_2_vs_rest
decision_tree_entropy,binary,"[0, 1]",2,0.2241111521626713,0.051483806987548245,0.9081761006289307,0.047495960724853584,0.40208364217774817,0.12701830855245297,1.0,0.0,0.25934343768187834,0.10843907434206139,0.09182389937106919,0.04749596072485359,58.4,30.20743102100688,-0.09182389937106919,0.04749596072485359,0.09434571890145396,0.048800373216489314,0.0,0.0,0.9756105673287087,0.012089341795779855,0.47269173105750983,0.16726697385878622,0.026729559748427674,0.0,1.0,0.0,0.9056542810985458,0.0488003732164893,0.9498555225057921,0.027617819612248354,619.0,0.0,0.25934343768187834,0.10843907434206139,1.0,0.0,0.40208364217774817,0.12701830855245297,17.0,0.0,560.6,30.207431021006887,58.4,30.20743102100688,0.0,0.0,17.0,0.0,0.9056542810985458,0.0488003732164893,1.0,0.0,0.09434571890145396,0.048800373216489314,0.0,0.0,0.8908424908424909,0.053690743364093636,0.27156306957796794,0.14539231652223042,0.6125,0.30305160909946965,0.18235193715638803,0.10376343860136808,0.15457875457875456,0.07460707131381458,42.2,20.36773046867138,-0.15457875457875456,0.07460707131381458,0.10075471698113207,0.052591554485299764,1.9375,1.5152580454973485,0.7652594339622643,0.16018432588664938,0.2270384644345745,0.11065115692180359,0.029304029304029304,0.0,0.9870842665285027,0.010068165291726702,0.8992452830188679,0.05259155448529976,0.9404453406117599,0.030879632562833163,265.0,0.0,0.18235193715638803,0.10376343860136808,0.6125,0.30305160909946965,0.27156306957796794,0.14539231652223042,8.0,0.0,238.3,13.936761938604437,26.7,13.936761938604437,3.1,2.4244128727957577,4.9,2.4244128727957572,0.8992452830188679,0.05259155448529976,0.9870842665285027,0.010068165291726702,0.10075471698113207,0.052591554485299764,0.3875,0.3030516090994697,y_2_vs_rest
decision_tree_gini,binary,"[0, 1]",2,0.9236934801644414,0.01130899309219405,0.8970125786163521,0.010383444840754168,0.9011601080224645,0.009890028270981692,0.8966966966966966,0.014588537899689035,0.9059033097954116,0.014695527853289115,0.31933962264150945,0.03770271373075796,203.1,23.97892593276206,-0.31933962264150945,0.03770271373075796,0.10264026402640263,0.017701176887408455,0.5165165165165165,0.07294268949844517,0.9627369944201627,0.008820803720526191,0.9625838851381753,0.008142961124932463,0.5235849056603774,0.0,0.887890390282055,0.013831163137944028,0.8973597359735974,0.017701176887408437,0.8924714396148878,0.011087934529074119,303.0,0.0,0.9059033097954116,0.014695527853289115,0.8966966966966966,0.014588537899689035,0.9011601080224645,0.009890028270981692,333.0,0.0,271.9,5.363456596884761,31.1,5.363456596884761,34.4,4.857983120596447,298.6,4.857983120596447,0.8973597359735974,0.017701176887408437,0.887890390282055,0.013831163137944028,0.10264026402640263,0.017701176887408455,0.10330330330330331,0.014588537899689029,0.8670329670329672,0.029509353935711104,0.8733576237232412,0.025872140745401628,0.8727272727272728,0.026740569509930038,0.8753623185858561,0.04400707642237824,0.3996336996336996,0.07347242321639152,109.1,20.057971538074888,-0.3996336996336996,0.07347242321639152,0.1392307692307692,0.056346117382795005,0.6363636363636364,0.13370284754965023,0.9144835933297472,0.028787026490494045,0.905890773162098,0.0358927575941456,0.5238095238095238,0.0,0.8604332400198766,0.026614963933893766,0.8607692307692307,0.056346117382795005,0.8597775785330564,0.034288245208668994,130.0,0.0,0.8753623185858561,0.04400707642237824,0.8727272727272728,0.026740569509930038,0.8733576237232412,0.025872140745401628,143.0,0.0,111.9,7.324995259763351,18.1,7.324995259763351,18.2,3.823901439919996,124.8,3.8239014399199958,0.8607692307692307,0.056346117382795005,0.8604332400198766,0.026614963933893766,0.1392307692307692,0.056346117382795005,0.12727272727272726,0.026740569509930045,y_1_vs_rest
decision_tree_entropy,binary,"[0, 1]",2,0.9237224004039147,0.009315658541176679,0.8955974842767296,0.013242441674929762,0.8980173577667088,0.012050749162356125,0.8771771771771771,0.018318591813817887,0.9206751968603651,0.02739516073772675,0.36163522012578614,0.04244959482456309,230.0,26.997942308422115,-0.36163522012578614,0.04244959482456309,0.08415841584158415,0.03174155785754348,0.6141141141141141,0.09159295906908951,0.9634342263055133,0.012078671673741864,0.9628207498344071,0.012734329404298715,0.5235849056603774,0.0,0.8719188576590341,0.0151225096951357,0.9158415841584159,0.031741557857543484,0.892969296840497,0.014834009813846057,303.0,0.0,0.9206751968603651,0.02739516073772675,0.8771771771771771,0.018318591813817887,0.8980173577667088,0.012050749162356125,333.0,0.0,277.5,9.617692030835672,25.5,9.617692030835672,40.9,6.100091074001364,292.1,6.100091074001363,0.9158415841584159,0.031741557857543484,0.8719188576590341,0.0151225096951357,0.08415841584158415,0.03174155785754348,0.12282282282282282,0.018318591813817908,0.8553113553113555,0.02637193048407226,0.8588187600802213,0.026271395283688877,0.8412587412587413,0.04011085426489506,0.8785551826743736,0.032633093196686266,0.47728937728937726,0.10377863945967516,130.3,28.33156857249132,-0.47728937728937726,0.10377863945967516,0.12923076923076926,0.04115364645690027,0.7937062937062936,0.20055427132447537,0.9077030661646045,0.02321211974667607,0.8969433161115749,0.02839863681682723,0.5238095238095238,0.0,0.8343479376391782,0.03623659697608462,0.8707692307692309,0.04115364645690028,0.8513611732085755,0.02725789203371117,130.0,0.0,0.8785551826743736,0.032633093196686266,0.8412587412587413,0.04011085426489506,0.8588187600802213,0.026271395283688877,143.0,0.0,113.2,5.3499740393970345,16.8,5.3499740393970345,22.7,5.735852159879995,120.3,5.735852159879995,0.8707692307692309,0.04115364645690028,0.8343479376391782,0.03623659697608462,0.12923076923076926,0.04115364645690027,0.15874125874125872,0.04011085426489506,y_1_vs_rest
decision_tree_gini,binary,"[0, 1]",2,0.9104506928253396,0.014990884463545807,0.9174528301886792,0.00995117271805426,0.910998402966815,0.010869564324642375,0.943157894736842,0.021930994120859342,0.8814150724177452,0.016286126649874662,0.18443396226415093,0.04550431455758181,117.3,28.940744058622034,-0.18443396226415093,0.04550431455758181,0.10341880341880343,0.017096654856102702,0.28421052631578947,0.10965497060429681,0.9751946818613485,0.008136172482675877,0.962128924207887,0.014972408184571748,0.44811320754716977,5.851389114294502e-17,0.9514611174851184,0.01754835844928338,0.8965811965811966,0.017096654856102695,0.9229986043040878,0.009351549456008,351.0,0.0,0.8814150724177452,0.016286126649874662,0.943157894736842,0.021930994120859342,0.910998402966815,0.010869564324642375,285.0,0.0,314.7,6.000925854492047,36.3,6.000925854492047,16.2,6.250333324444918,268.8,6.250333324444918,0.8965811965811966,0.017096654856102695,0.9514611174851184,0.01754835844928338,0.10341880341880343,0.017096654856102702,0.0568421052631579,0.021930994120859363,0.8989010989010989,0.013942957190349417,0.8899905766303045,0.0145668914640883,0.9073170731707316,0.02898589042194241,0.8745540041689338,0.028855437882964702,0.2681318681318682,0.056715473857552615,73.2,15.483324363111862,-0.2681318681318682,0.056715473857552615,0.10800000000000001,0.031079348865861493,0.46341463414634154,0.14492945210971206,0.946661246612466,0.01237528137738118,0.9116677750017214,0.019928723440182494,0.45054945054945056,0.0,0.9222882751635554,0.021159761689505945,0.892,0.031079348865861493,0.9063533422399465,0.013907989094115138,150.0,0.0,0.8745540041689338,0.028855437882964702,0.9073170731707316,0.02898589042194241,0.8899905766303045,0.0145668914640883,123.0,0.0,133.8,4.661902329879223,16.2,4.661902329879224,11.4,3.5652645218989165,111.6,3.5652645218989165,0.892,0.031079348865861493,0.9222882751635554,0.021159761689505945,0.10800000000000001,0.031079348865861493,0.09268292682926829,0.02898589042194241,y_0_vs_rest
decision_tree_entropy,binary,"[0, 1]",2,0.9078422607829216,0.013068299477111805,0.9194968553459117,0.007976105819600348,0.9142870632389869,0.009301504777395025,0.959298245614035,0.030283138868177302,0.8742362998593232,0.018321628332996616,0.15345911949685534,0.058410297860551026,97.6,37.14894943931046,-0.15345911949685534,0.058410297860551026,0.11282051282051282,0.02199459722577639,0.20350877192982458,0.15141569434088661,0.974880791722897,0.006528354911713279,0.956727833932483,0.01822188696934138,0.44811320754716977,5.851389114294502e-17,0.9651108683750724,0.024587367490147668,0.887179487179487,0.02199459722577638,0.924025631106467,0.007448380032633249,351.0,0.0,0.8742362998593232,0.018321628332996616,0.959298245614035,0.030283138868177302,0.9142870632389869,0.009301504777395025,285.0,0.0,311.4,7.7201036262475125,39.6,7.7201036262475125,11.6,8.630694577430537,273.4,8.630694577430537,0.887179487179487,0.02199459722577638,0.9651108683750724,0.024587367490147668,0.11282051282051282,0.02199459722577639,0.04070175438596491,0.03028313886817732,0.9047619047619048,0.01591990819341306,0.8984131327034011,0.01671374755734706,0.9349593495934959,0.03615627117649413,0.8661356211499361,0.029725521092376295,0.21245421245421245,0.0719666033127784,58.0,19.6468827043885,-0.21245421245421245,0.0719666033127784,0.12000000000000002,0.033993463423951896,0.3252032520325203,0.18078135588247063,0.9498346883468833,0.009477094315858888,0.9087528206068546,0.02108373170567418,0.45054945054945056,0.0,0.9441857510962987,0.02841222622985409,0.8800000000000001,0.03399346342395189,0.910202104120043,0.01585988931979688,150.0,0.0,0.8661356211499361,0.029725521092376295,0.9349593495934959,0.03615627117649413,0.8984131327034011,0.01671374755734706,123.0,0.0,132.0,5.0990195135927845,18.0,5.0990195135927845,8.0,4.447221354708778,115.0,4.447221354708778,0.8800000000000001,0.03399346342395189,0.9441857510962987,0.02841222622985409,0.12000000000000002,0.033993463423951896,0.06504065040650406,0.03615627117649413,y_0_vs_rest
random_forest_gini,binary,"[0, 1]",2,0.5246052851655985,0.1035985901566103,0.963679245283019,0.01588750701769702,0.6106371816180465,0.10553781870493441,0.9941176470588236,0.018601633295108118,0.4486587221299785,0.11386404439673037,0.036949685534591194,0.015657619755020603,23.5,9.958246164193104,-0.036949685534591194,0.015657619755020603,0.03715670436187399,0.016422133206221764,0.029411764705882353,0.09300816647554057,0.9948018625867148,0.0026657548146037818,0.8729623787699052,0.05662698288242471,0.026729559748427674,0.0,0.9998341625207298,0.0005244241559151518,0.9628432956381261,0.016422133206221774,0.9809248230784219,0.008509076093351721,619.0,0.0,0.4486587221299785,0.11386404439673037,0.9941176470588236,0.018601633295108118,0.6106371816180465,0.10553781870493441,17.0,0.0,596.0,10.16530045465127,23.0,10.16530045465127,0.1,0.31622776601683794,16.9,0.3162277660168379,0.9628432956381261,0.016422133206221774,0.9998341625207298,0.0005244241559151518,0.03715670436187399,0.016422133206221764,0.0058823529411764705,0.018601633295108114,0.9465201465201465,0.018290581988839084,0.4289342245884947,0.09457345539322536,0.65,0.09860132971832694,0.3297374726722553,0.10103730683986795,0.09450549450549453,0.020562182598310996,25.8,5.6134758493389025,-0.09450549450549453,0.020562182598310996,0.04452830188679245,0.01938903030741906,1.75,0.4930066485916347,0.9449528301886791,0.01842784736002642,0.555875997817407,0.11521466247313997,0.029304029304029304,0.0,0.9890813866396548,0.0029903443666066676,0.9554716981132074,0.019389030307419057,0.9718885212861423,0.009882130175718805,265.0,0.0,0.3297374726722553,0.10103730683986795,0.65,0.09860132971832694,0.4289342245884947,0.09457345539322536,8.0,0.0,253.2,5.138093031466052,11.8,5.138093031466052,2.8,0.7888106377466155,5.2,0.7888106377466155,0.9554716981132074,0.019389030307419057,0.9890813866396548,0.0029903443666066676,0.04452830188679245,0.01938903030741906,0.35,0.09860132971832694,y_2_vs_rest
random_forest_entropy,binary,"[0, 1]",2,0.5272212202834425,0.1024681758928104,0.9680817610062892,0.021082606777021628,0.6620472061785072,0.1638267662054703,1.0,0.0,0.5158973901110997,0.19195794737200533,0.03191823899371069,0.021082606777021645,20.3,13.408537910185766,-0.03191823899371069,0.021082606777021645,0.03279483037156704,0.021661612132771835,0.0,0.0,0.9952865152523044,0.003909519131521491,0.8890138768861433,0.07547134939412582,0.026729559748427674,0.0,1.0,0.0,0.9672051696284332,0.021661612132771825,0.9832180701154138,0.01121669556341582,619.0,0.0,0.5158973901110997,0.19195794737200533,1.0,0.0,0.6620472061785072,0.1638267662054703,17.0,0.0,598.7,13.408537910185768,20.3,13.408537910185766,0.0,0.0,17.0,0.0,0.9672051696284332,0.021661612132771825,1.0,0.0,0.03279483037156704,0.021661612132771835,0.0,0.0,0.9549450549450549,0.018840646274465994,0.45277144690959836,0.10072628276364555,0.6,0.12909944487358055,0.38496031746031745,0.12935350815477126,0.09194139194139195,0.019029608591656425,25.1,5.195083145522204,-0.09194139194139195,0.019029608591656425,0.03433962264150943,0.02123142265647498,2.0,0.6454972243679028,0.9443867924528302,0.019567039936002707,0.5682749439232008,0.11069345543213086,0.029304029304029304,0.0,0.9877004937819998,0.003811259288455109,0.9656603773584905,0.02123142265647497,0.9764267915125263,0.010185311941295228,265.0,0.0,0.38496031746031745,0.12935350815477126,0.6,0.12909944487358055,0.45277144690959836,0.10072628276364555,8.0,0.0,255.9,5.626327003965869,9.1,5.626327003965869,3.2,1.0327955589886444,4.8,1.0327955589886444,0.9656603773584905,0.02123142265647497,0.9877004937819998,0.003811259288455109,0.03433962264150943,0.02123142265647498,0.4,0.12909944487358055,y_2_vs_rest
random_forest_gini,binary,"[0, 1]",2,0.960479242481887,0.005429360304432948,0.9336477987421384,0.0053858417520608395,0.936250916369248,0.005207041973987577,0.9306306306306306,0.006401712494622421,0.9419560347184073,0.005465485634353368,0.21163522012578614,0.018324338267012293,134.6,11.654279137819817,-0.21163522012578614,0.018324338267012293,0.06303630363036304,0.0061152660548678996,0.3468468468468468,0.03200856247311207,0.9873001714585874,0.002353881064986631,0.9895941853746191,0.0019084618936174346,0.5235849056603774,0.0,0.9247780529225753,0.006640357766754811,0.9369636963696368,0.00611526605486789,0.9308216182217361,0.005587897541772678,303.0,0.0,0.9419560347184073,0.005465485634353368,0.9306306306306306,0.006401712494622421,0.936250916369248,0.005207041973987577,333.0,0.0,283.9,1.8529256146249728,19.1,1.8529256146249728,23.1,2.131770260709264,309.9,2.1317702607092643,0.9369636963696368,0.00611526605486789,0.9247780529225753,0.006640357766754811,0.06303630363036304,0.0061152660548678996,0.06936936936936937,0.006401712494622417,0.8989010989010989,0.0196273809986912,0.9026751155007913,0.018435835096584988,0.8944055944055945,0.019348723514636016,0.9114459289252762,0.025623331420733877,0.3223443223443223,0.05637800430092891,88.0,15.391195174153594,-0.3223443223443223,0.05637800430092891,0.09615384615384615,0.029736957704469748,0.5279720279720279,0.0967436175731801,0.9525766541151157,0.013520317665172291,0.9591662790037274,0.01181405441746429,0.5238095238095238,0.0,0.8862655133676023,0.019901172576055667,0.9038461538461539,0.02973695770446975,0.8947797187693955,0.02105725938729689,130.0,0.0,0.9114459289252762,0.025623331420733877,0.8944055944055945,0.019348723514636016,0.9026751155007913,0.018435835096584988,143.0,0.0,117.5,3.865804501581067,12.5,3.865804501581067,15.1,2.766867462592951,127.9,2.766867462592951,0.9038461538461539,0.02973695770446975,0.8862655133676023,0.019901172576055667,0.09615384615384615,0.029736957704469748,0.10559440559440561,0.01934872351463602,y_1_vs_rest
random_forest_entropy,binary,"[0, 1]",2,0.9595485310540045,0.005853919179718451,0.9364779874213838,0.005798455633517555,0.9388376536464623,0.005639351821285557,0.9312312312312312,0.008187429448119529,0.9466171351411589,0.006669362971838576,0.20754716981132076,0.021962606750269353,132.0,13.968217893171309,-0.20754716981132076,0.021962606750269353,0.057755775577557754,0.007661379690420309,0.3438438438438438,0.04093714724059765,0.9894498458854895,0.0020186215477097803,0.9912154053801918,0.0016520824845263403,0.5235849056603774,0.0,0.925803816266862,0.008212497458782882,0.9422442244224423,0.007661379690420312,0.9339250317343865,0.005993328486844793,303.0,0.0,0.9466171351411589,0.006669362971838576,0.9312312312312312,0.008187429448119529,0.9388376536464623,0.005639351821285557,333.0,0.0,285.5,2.3213980461973533,17.5,2.3213980461973533,22.9,2.7264140062238043,310.1,2.7264140062238043,0.9422442244224423,0.007661379690420312,0.925803816266862,0.008212497458782882,0.057755775577557754,0.007661379690420309,0.06876876876876878,0.008187429448119534,0.8989010989010989,0.02151181005669865,0.9024758130107731,0.02032430864092031,0.8923076923076924,0.020106161914077204,0.9131747206827618,0.02690083469503682,0.3267399267399267,0.06062858171890685,89.2,16.55160280926157,-0.3267399267399267,0.06062858171890685,0.09384615384615384,0.030726466008092805,0.5384615384615384,0.10053080957038613,0.9524421732114041,0.012819257603964346,0.9586600759333572,0.011241780599179676,0.5238095238095238,0.0,0.8844631890297526,0.0209800099302497,0.9061538461538461,0.0307264660080928,0.8950178703297691,0.022907499625401555,130.0,0.0,0.9131747206827618,0.02690083469503682,0.8923076923076924,0.020106161914077204,0.9024758130107731,0.02032430864092031,143.0,0.0,117.8,3.9944405810520647,12.2,3.9944405810520647,15.4,2.8751811537130427,127.6,2.8751811537130436,0.9061538461538461,0.0307264660080928,0.8844631890297526,0.0209800099302497,0.09384615384615384,0.030726466008092805,0.10769230769230768,0.020106161914077228,y_1_vs_rest
